 (Half Day),(نصف يوم)
From Purchase Receipt,من إيصال الشراء
From Sales Order,من ترتيب المبيعات
From Time,من وقت
From Value,من القيمة
From Value should be less than To Value,من القيمة يجب أن تكون أقل من أن القيمة
Frozen,تجميد
Fulfilled,الوفاء
Full Name,بدر تام
Fully Completed,يكتمل
GL Entry,GL الدخول
GL Entry: Debit or Credit amount is mandatory for ,GL الاشتراك: الخصم أو الائتمان مبلغ إلزامي لل
GRN,GRN
Gantt Chart,مخطط جانت
Gantt chart of all tasks.,مخطط جانت لجميع المهام.
Gender,جنس
General,عام
General Ledger,دفتر الأستاذ العام
Generate Description HTML,توليد HTML وصف
Generate Material Requests (MRP) and Production Orders.,إنشاء طلبات المواد (MRP) وأوامر الإنتاج.
Generate Salary Slips,توليد قسائم راتب
Generate Schedule,توليد جدول
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",توليد التعبئة زلات لحزم ليتم تسليمها. المستخدمة لإخطار عدد حزمة، حزمة المحتويات وزنه.
Generates HTML to include selected image in the description,يولد HTML لتشمل الصورة المحددة في الوصف
Georgia,جورجيا
Get,الحصول على
Get Advances Paid,الحصول على السلف المدفوعة
Get Advances Received,الحصول على السلف المتلقاة
Get Current Stock,الحصول على المخزون الحالي
Get From ,عليه من
Get Items,الحصول على العناصر
Get Items From Sales Orders,الحصول على سلع من أوامر المبيعات
Get Last Purchase Rate,الحصول على آخر سعر شراء
Get Non Reconciled Entries,الحصول على مقالات غير التوفيق
Get Outstanding Invoices,الحصول على الفواتير المستحقة
Get Purchase Receipt,الحصول على إيصال الشراء
Get Sales Orders,الحصول على أوامر المبيعات
Get Specification Details,الحصول على تفاصيل المواصفات
Get Stock and Rate,الحصول على الأسهم وقيم
Get Template,الحصول على قالب
Get Terms and Conditions,الحصول على الشروط والأحكام
Get Weekly Off Dates,الحصول على مواعيد معطلة أسبوعي
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",يذكر الحصول على معدل التقييم والمخزون المتوفر في المصدر / الهدف مستودع تاريخ عرضها على الوقت. إذا تسلسل البند، يرجى الضغط على هذا الزر بعد دخول NOS المسلسل.
Give additional details about the indent.,إعطاء تفاصيل إضافية حول المسافة البادئة.
Global Defaults,افتراضيات العالمية
Go back to home,العودة إلى الصفحة الرئيسية
Go to Setup > <a href='#user-properties'>User Properties</a> to set \			'territory' for diffent Users.,انتقل إلى الإعداد&gt; <a href='#user-properties'>خصائص المستخدم</a> لضبط \ &quot;الأرض&quot; لمستخدمي diffent.
Goal,هدف
Goals,الأهداف
Goods received from Suppliers.,تلقى السلع من الموردين.
Google Analytics ID,جوجل تحليلات ID
Google Drive,محرك جوجل
Google Drive Access Allowed,جوجل محرك الوصول الأليفة
Google Plus One,جوجل زائد واحد
Google Web Font (Heading),Google ويب الخط (العنوان)
Google Web Font (Text),Google ويب الخط (نص)
Grade,درجة
Graduate,تخريج
Grand Total,المجموع الإجمالي
Grand Total (Company Currency),المجموع الكلي (العملات شركة)
Gratuity LIC ID,مكافأة LIC ID
Gross Margin %,هامش إجمالي٪
Gross Margin Value,هامش إجمالي القيمة
Gross Pay,إجمالي الأجور
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,إجمالي المبلغ المتأخر الدفع + + المبلغ التحصيل - خصم إجمالي
Gross Profit,الربح الإجمالي
Gross Profit (%),إجمالي الربح (٪)
Gross Weight,الوزن الإجمالي
Gross Weight UOM,الوزن الإجمالي UOM
Group,مجموعة
Group or Ledger,مجموعة أو ليدجر
Groups,مجموعات
HR,HR
HR Settings,إعدادات HR
HTML,HTML
HTML / Banner that will show on the top of product list.,HTML / بانر التي سوف تظهر في الجزء العلوي من قائمة المنتجات.
Half Day,نصف يوم
Half Yearly,نصف سنوي
Half-yearly,نصف سنوية
Has Batch No,ودفعة واحدة لا
Has Child Node,وعقدة الطفل
Has Serial No,ورقم المسلسل
Header,رأس
Heading,عنوان
Heading Text As,عنوان النص
Heads (or groups) against which Accounting Entries are made and balances are maintained.,رؤساء (أو مجموعات) والتي تتم ضد القيود المحاسبية ويتم الاحتفاظ أرصدة.
Health Concerns,الاهتمامات الصحية
Health Details,الصحة التفاصيل
Held On,عقدت في
Help,مساعدة
Help HTML,مساعدة HTML
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",مساعدة: لربط إلى سجل آخر في النظام، استخدم &quot;# نموذج / ملاحظة / [اسم ملاحظة]&quot;، كما URL رابط. (لا تستخدم &quot;الإلكتروني http://&quot;)
Helvetica Neue,هلفتيكا نويه
"Hence, maximum allowed Manufacturing Quantity",وبالتالي، الحد الأقصى المسموح الكمية التصنيع
"Here you can maintain family details like name and occupation of parent, spouse and children",هنا يمكنك الحفاظ على تفاصيل مثل اسم العائلة واحتلال الزوج، الوالدين والأطفال
"Here you can maintain height, weight, allergies, medical concerns etc",هنا يمكنك الحفاظ على الطول والوزن، والحساسية، الخ المخاوف الطبية
Hey there! You need to put at least one item in \				the item table.,يا هناك! تحتاج إلى وضع بند واحد على الأقل في الجدول العنصر \.
Hey! All these items have already been invoiced.,مهلا! وقد تم بالفعل فواتير كل هذه العناصر.
Hey! There should remain at least one System Manager,مهلا! هناك ينبغي أن تظل إدارة نظام واحد على الأقل
Hidden,مخفي
Hide Actions,إخفاء عمليات
Hide Copy,إخفاء نسخة
Hide Currency Symbol,إخفاء رمز العملة
Hide Email,إخفاء البريد الإلكتروني
Hide Heading,إخفاء عنوان
Hide Print,إخفاء طباعة
Hide Toolbar,إخفاء شريط الأدوات
High,ارتفاع
Highlight,تسليط الضوء على
History,تاريخ
History In Company,وفي تاريخ الشركة
Hold,عقد
Holiday,عطلة
Holiday List,عطلة قائمة
