 (Half Day),(Poludnevni)
Issue Details,Issue Detalji
Issued Items Against Production Order,Izdana Proizvodi prema proizvodnji Reda
It is needed to fetch Item Details.,To je potrebno kako bi dohvatili Stavka Brodu.
It was raised because the (actual + ordered + indented - reserved) 						quantity reaches re-order level when the following record was created,To je zbog toga podigao (stvarna + + naredio razvedena - rezervirana) količina dosegne ponovno bi razinu kada se sljedeći zapis nastao
Item,Stavka
Item Advanced,Stavka Napredna
Item Barcode,Stavka Barkod
Item Batch Nos,Stavka Batch Nos
Item Classification,Stavka klasifikacija
Item Code,Stavka Šifra
Item Code (item_code) is mandatory because Item naming is not sequential.,Šifra (item_code) je obvezno jer Stavka imena nije sekvencijalno.
Item Customer Detail,Stavka Kupac Detalj
Item Description,Stavka Opis
Item Desription,Stavka Desription
Item Details,Stavka Detalji
Item Group,Stavka Grupa
Item Group Name,Stavka Ime grupe
Item Groups in Details,Stavka Grupe u detaljima
Item Image (if not slideshow),Stavka slike (ako ne Slideshow)
Item Name,Stavka Ime
Item Naming By,Stavka nazivanje
Item Price,Stavka Cijena
Item Prices,Stavka Cijene
Item Quality Inspection Parameter,Stavka Provera kvaliteta parametara
Item Reorder,Stavka redoslijeda
Item Serial No,Stavka rednim brojem
Item Serial Nos,Stavka Serijski br
Item Supplier,Stavka Dobavljač
Item Supplier Details,Stavka Supplier Detalji
Item Tax,Stavka poreza
Item Tax Amount,Stavka Iznos poreza
Item Tax Rate,Stavka Porezna stopa
Item Tax1,Stavka Tax1
Item To Manufacture,Stavka za proizvodnju
Item UOM,Stavka UOM
Item Website Specification,Stavka Web Specifikacija
Item Website Specifications,Stavka Website Specifikacije
Item Wise Tax Detail ,Stavka Wise Porezna Detalj
Item classification.,Stavka klasifikacija.
Item to be manufactured or repacked,Stavka biti proizvedeni ili prepakirani
Item will be saved by this name in the data base.,Stavka će biti spremljena pod ovim imenom u bazi podataka.
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.","Stavka, jamstvo, AMC (Godišnje održavanje Ugovor) pojedinosti će biti automatski dohvatio kada serijski broj je odabran."
Item-Wise Price List,Stavka-Wise Cjenik
Item-wise Last Purchase Rate,Stavka-mudar Zadnja Kupnja Ocijenite
Item-wise Purchase History,Stavka-mudar Kupnja Povijest
Item-wise Purchase Register,Stavka-mudar Kupnja Registracija
Item-wise Sales History,Stavka-mudar Prodaja Povijest
Item-wise Sales Register,Stavka-mudri prodaja registar
Items,Proizvodi
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",Proizvodi se traži što su &quot;Out of Stock&quot; s obzirom na sve skladišta na temelju projicirane Qty i minimalne narudžbe Kol
Items which do not exist in Item master can also be entered on customer's request,Proizvodi koji ne postoje u artikla gospodara također može unijeti na zahtjev kupca
Itemwise Discount,Itemwise Popust
Itemwise Recommended Reorder Level,Itemwise Preporučio redoslijeda Level
JSON,JSON
JV,JV
Javascript,Javascript
Javascript to append to the head section of the page.,Javascript da doda glave dijelu stranice.
Job Applicant,Posao podnositelj
Job Opening,Posao Otvaranje
Job Profile,Posao Profil
Job Title,Titula
"Job profile, qualifications required etc.","Posao profil, kvalifikacije potrebne, itd."
Jobs Email Settings,Poslovi Postavke e-pošte
Journal Entries,Časopis upisi
Journal Entry,Časopis Stupanje
Journal Entry for inventory that is received but not yet invoiced,"Časopis Ulaz za popis koji je dobila, ali još nisu fakturirani"
Journal Voucher,Časopis bon
Journal Voucher Detail,Časopis bon Detalj
Journal Voucher Detail No,Časopis bon Detalj Ne
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Pratite prodaje kampanje. Pratite ponude, ponuda, prodajnog naloga itd. iz kampanje radi vrjednovanja povrat na investiciju."
Keep a track of all communications,Držite praćenje svih komunikacija
Keep a track of communication related to this enquiry which will help for future reference.,Držite pratiti komunikacije vezane uz ovaj upit koji će vam pomoći za buduću referencu.
Key,Ključ
Key Performance Area,Key Performance Area
Key Responsibility Area,Ključ Odgovornost Površina
LEAD,OLOVO
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,OLOVO / MUMBAI /
LR Date,LR Datum
LR No,LR Ne
Label,Oznaka
Label Help,Oznaka Pomoć
Lacs,Lacs
Landed Cost Item,Sletio Troškovi artikla
Landed Cost Items,Sletio troškova Proizvodi
Landed Cost Purchase Receipt,Sletio Trošak Kupnja Potvrda
Landed Cost Purchase Receipts,Sletio troškova kupnje Primici
Landed Cost Wizard,Sletio Trošak Čarobnjak
Landing Page,Odredišna stranica
Language,Jezik
Language preference for user interface (only if available).,Jezik sklonost za korisničko sučelje (samo ako je dostupan).
Last Contact Date,Zadnji kontakt Datum
Last IP,Posljednja IP
Last Login,Zadnji Login
Last Name,Prezime
Last Purchase Rate,Zadnja Kupnja Ocijenite
Lato,Lato
Lead,Dovesti
Lead Details,Olovo Detalji
Lead Lost,Olovo Lost
Lead Name,Olovo Ime
Lead Owner,Olovo Vlasnik
Lead Source,Olovo Source
Lead Status,Olovo Status
Lead Time Date,Olovo Time Date
Lead Time Days,Olovo vrijeme Dane
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,Olovo vrijeme dana je broj dana koji ovaj predmet se očekuje u skladištu. Ovih dana je preuzeta u Materijal Zahtjev kada odaberete ovu stavku.
Lead Type,Olovo Vid
Leave Allocation,Ostavite Raspodjela
Leave Allocation Tool,Ostavite raspodjele alat
Leave Application,Ostavite aplikaciju
Leave Approver,Ostavite odobravatelju
Leave Approver can be one of,Ostavite Odobritelj može biti jedan od
Leave Approvers,Ostavite odobravateljima
Leave Balance Before Application,Ostavite Balance Prije primjene
Leave Block List,Ostavite Block List
Leave Block List Allow,Ostavite Blok Popis Dopustite
Leave Block List Allowed,Ostavite Block List dopuštenih
Leave Block List Date,Ostavite Date Popis Block
Leave Block List Dates,Ostavite datumi lista blokiranih
Leave Block List Name,Ostavite popis imena Block
Leave Blocked,Ostavite blokirani
Leave Control Panel,Ostavite Upravljačka ploča
Leave Encashed?,Ostavite Encashed?
Leave Encashment Amount,Ostavite Encashment Iznos
Leave Setup,Ostavite Setup
Leave Type,Ostavite Vid
Leave Type Name,Ostavite ime tipa
Leave Without Pay,Ostavite bez plaće
Leave allocations.,Ostavite izdvajanja.
Leave blank if considered for all branches,Ostavite prazno ako smatra za sve grane
Leave blank if considered for all departments,Ostavite prazno ako smatra za sve odjele
Leave blank if considered for all designations,Ostavite prazno ako smatra za sve oznake
Leave blank if considered for all employee types,Ostavite prazno ako smatra za sve tipove zaposlenika
Leave blank if considered for all grades,Ostavite prazno ako smatra za sve razrede
Leave blank if you have not decided the end date.,Ostavite prazno ako niste odlučili datum završetka.
Leave by,Ostavite po
"Leave can be approved by users with Role, ""Leave Approver""","Ostavite može biti odobren od strane korisnika s uloge, &quot;Ostavite odobravatelju&quot;"
Ledger,Glavna knjiga
Left,Lijevo
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Pravna osoba / Podružnica s odvojenim kontnom planu pripadaju organizaciji.
Letter Head,Pismo Head
Letter Head Image,Pismo Head slike
Letter Head Name,Pismo Head Ime
Level,Nivo
"Level 0 is for document level permissions, higher levels for field level permissions.","Razina 0 je za dokument na razini dozvole, višim razinama za terenske razine dozvola."
Lft,LFT
Link,Link
Link to other pages in the side bar and next section,Link na drugim stranicama na strani bar i sljedeću sekciju
Linked In Share,Podijeli povezane
Linked With,Povezan s
List,Popis
List items that form the package.,Popis stavki koje čine paket.
List of holidays.,Popis blagdana.
List of patches executed,Popis zakrpe izvršenih
List of records in which this document is linked,Popis zapisa u kojoj je ovaj dokument povezanih
List of users who can edit a particular Note,Popis korisnika koji mogu urediti posebnu napomenu
List this Item in multiple groups on the website.,Popis ovaj predmet u više grupa na web stranici.
Live Chat,Live Chat
Load Print View on opening of an existing form,Učitaj Print Pogled na otvaranju postojećem obliku
Loading,Utovar
Loading Report,Učitavanje izvješće
Log,Klada
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.","Prijavite aktivnosti provedenih od strane korisnika od zadataka koji se mogu koristiti za praćenje vremena, naplate."
Log of Scheduler Errors,Prijavite od Raspoređivač pogrešaka
Login After,Prijavite Nakon
Login Before,Prijavite Prije
Login Id,Prijavite Id
Logo,Logo
Logout,Odjava
Long Text,Dugo Tekst
Lost Reason,Izgubili Razlog
Low,Nisko
Lower Income,Donja Prihodi
Lucida Grande,Lucidi Grande
MIS Control,MIS kontrola
MREQ-,MREQ-
MTN Details,MTN Detalji
Mail Footer,Mail Footer
Mail Password,Mail Lozinka
Mail Port,Mail luci
Mail Server,Mail Server
Main Reports,Glavni Izvješća
Main Section,Glavni Odjeljak
Maintain Same Rate Throughout Sales Cycle,Održavati ista stopa Tijekom cijele prodajni ciklus
Maintain same rate throughout purchase cycle,Održavanje istu stopu tijekom kupnje ciklusa
Maintenance,Održavanje
Maintenance Date,Održavanje Datum
Maintenance Details,Održavanje Detalji
Maintenance Schedule,Održavanje Raspored
Maintenance Schedule Detail,Održavanje Raspored Detalj
Maintenance Schedule Item,Održavanje Raspored predmeta
Maintenance Schedules,Održavanje Raspored
Maintenance Status,Održavanje statusa
Maintenance Time,Održavanje Vrijeme
Maintenance Type,Održavanje Tip
Maintenance Visit,Održavanje Posjetite
Maintenance Visit Purpose,Održavanje Posjetite Namjena
Major/Optional Subjects,Glavni / Izborni predmeti
Make Bank Voucher,Napravite Bank bon
Make Difference Entry,Čine razliku Entry
Make Time Log Batch,Provjerite Hrpa prijavite vrijeme
Make a new,Napravite novi
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,Pobrinite se da su transakcije želite ograničiti imati vezu polje &#39;teritorij&#39; koji mapira u &#39;teritorij&#39; gospodara.
Male,Muški
Manage cost of operations,Upravljanje troškove poslovanja
Manage exchange rates for currency conversion,Upravljanje tečajeve za pretvorbu valuta
Mandatory,Obavezan
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",Obvezni ako Stock Stavka je &quot;Da&quot;. Također zadano skladište gdje je zadržana količina se postaviti od prodajnog naloga.
Manufacture against Sales Order,Proizvodnja protiv prodaje Reda
Manufacture/Repack,Proizvodnja / Ponovno pakiranje
Manufactured Qty,Proizvedeno Kol
Manufactured quantity will be updated in this warehouse,Proizvedeno količina će biti ažurirana u ovom skladištu
Manufacturer,Proizvođač
Manufacturer Part Number,Proizvođač Broj dijela
Manufacturing,Proizvodnja
Manufacturing Quantity,Proizvodnja Količina
Margin,Marža
Marital Status,Bračni status
Market Segment,Tržišni segment
Married,Oženjen
Mass Mailing,Misa mailing
Master,Majstor
Master Name,Učitelj Ime
Master Type,Majstor Tip
Masters,Majstori
Match,Odgovarati
Match non-linked Invoices and Payments.,Klađenje na ne-povezane faktura i plaćanja.
Material Issue,Materijal Issue
Material Receipt,Materijal Potvrda
Material Request,Materijal zahtjev
Material Request Date,Materijal Zahtjev Datum
Material Request Detail No,Materijal Zahtjev Detalj Ne
Material Request For Warehouse,Materijal Zahtjev za galeriju
Material Request Item,Materijal Zahtjev artikla
Material Request Items,Materijalni Zahtjev Proizvodi
Material Request No,Materijal Zahtjev Ne
Material Request Type,Materijal Zahtjev Tip
Material Request used to make this Stock Entry,Materijal Zahtjev se koristi da bi se ova Stock unos
Material Requirement,Materijal Zahtjev
Material Transfer,Materijal transfera
Materials,Materijali
Materials Required (Exploded),Materijali Obavezno (eksplodirala)
Max 500 rows only.,Max 500 redaka jedini.
Max Attachments,Max Privitci
Max Days Leave Allowed,Max Dani Ostavite dopuštenih
Max Discount (%),Maks Popust (%)
"Meaning of Submit, Cancel, Amend","Značenje Podnijeti, Odustani, Izmijeniti"
Medium,Srednji
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","Opcije izbornika u gornjoj traci. Za postavljanje boju Top Baru, idite na <a href=""#Form/Style Settings"">Postavke stila</a>"
Merge,Spojiti
Merge Into,Spoji u
Merge Warehouses,Spoji skladišta
Merging is only possible between Group-to-Group or 					Ledger-to-Ledger,Spajanje je moguće samo između Group-to-grupe ili Ledger-to-Ledger
"Merging is only possible if following \					properties are same in both records.					Group or Ledger, Debit or Credit, Is PL Account","Spajanje je moguće samo ako se slijedi \ svojstva su isti u oba zapisa. Grupa ili knjiga, debitne ili kreditne, Je PL račun"
