(Half Day),(Halber Tag)
Invoice Period From Date,Rechnung ab Kaufdatum
Invoice Period To Date,Rechnung Zeitraum To Date
Is Active,Aktiv ist
Is Advance,Ist Advance
Is Asset Item,Ist Aktivposition
Is Cancelled,Wird abgebrochen
Is Carry Forward,Ist Carry Forward
Is Child Table,Ist Child Table
Is Default,Ist Standard
Is Encash,Ist einlösen
Is LWP,Ist LWP
Is Mandatory Field,Ist Pflichtfeld
Is Opening,Eröffnet
Is PL Account,Ist PL Konto
Is POS,Ist POS
Is Primary Address,Ist Primary Address
Is Primary Contact,Ist Hauptansprechpartner
Is Purchase Item,Ist Kaufsache
Is Sales Item,Ist Verkaufsartikel
Is Service Item,Ist Service Item
Is Shipping Address,Ist Versandadresse
Is Single,Ist Single
Is Standard,Ist Standard
Is Stock Item,Ist Stock Item
Is Sub Contracted Item,Ist Sub Vertragsgegenstand
Is Subcontracted,Ist Fremdleistungen
Is Submittable,Ist Submittable
Is it a Custom DocType created by you?,Ist es ein Custom DocType von Ihnen erstellt?
Is this Tax included in Basic Rate?,Wird diese Steuer in Basic Rate inbegriffen?
Issue,Ausgabe
Issue Date,Issue Date
Issue Details,Issue Details
Item,Artikel
Item Advanced,Erweiterte Artikel
Item Barcode,Barcode Artikel
Item Batch Nos,In Batch Artikel
Item Classification,Artikel Klassifizierung
Item Code,Item Code
Item Customer Detail,Artikel Kundenrezensionen
Item Description,Artikelbeschreibung
Item Desription,Artikel Desription
Item Details,Artikeldetails
Item Group,Artikel-Gruppe
Item Group Name,Artikel Group Name
Item Groups in Details,Details Gruppen in Artikel
Item Image (if not slideshow),Item Image (wenn nicht Diashow)
Item Name,Item Name
Item Price,Artikel Preis
Item Prices,Produkt Preise
Item Quality Inspection Parameter,Qualitätsprüfung Artikel Parameter
Item Reorder,Artikel Reorder
Item Serial No,Artikel Serial In
Item Serial Nos,Artikel Serial In
Item Supplier,Artikel Lieferant
Item Supplier Details,Artikel Supplier Details
Item Tax,MwSt. Artikel
Item Tax Amount,Artikel Steuerbetrag
Item Tax Rate,Artikel Tax Rate
Item Tax1,Artikel Tax1
Item To Manufacture,Artikel in der Herstellung
Item UOM,Artikel UOM
Item Website Specification,Artikelbeschreibung Webseite
Item Website Specifications,Artikel Spezifikationen Webseite
Item Wise Tax Detail,Artikel Wise MwSt. Details
Item classification.,Artikel Klassifizierung.
Item to be manufactured or repacked,Artikel hergestellt oder umgepackt werden
Item will be saved by this name in the data base.,Einzelteil wird mit diesem Namen in der Datenbank gespeichert werden.
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.","Artikel, Garantie, wird AMC (Annual Maintenance Contract) Details werden automatisch abgerufen Wenn Serial Number ausgewählt ist."
Item-Wise Price List,Item-Wise Preisliste
Item: ',"Item: """
Items,Artikel
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty","Welche Gegenstände werden gebeten, sich ""Out of Stock"" unter Berücksichtigung aller Hallen auf projizierte minimale Bestellmenge und Menge der Basis"
Items which do not exist in Item master can also be entered on customer's request,"Gegenstände, die nicht in Artikelstammdaten nicht existieren kann auch auf Wunsch des Kunden eingegeben werden"
Itemwise Discount,Discount Itemwise
JSON,JSON
JV,JV
Javascript,Javascript
Javascript to append to the head section of the page.,"Javascript, um den Kopfteil der Seite anhängen."
Job Applicant,Job Applicant
Job Opening,Stellenangebot
Job Profile,Job Profil
Job Title,Berufsbezeichnung
"Job profile, qualifications required etc.","Job-Profil, etc. erforderlichen Qualifikationen."
Jobs Email Settings,Jobs per E-Mail Einstellungen
Journal Entries,Journal Entries
Journal Entry,Journal Entry
Journal Voucher,Journal Gutschein
Journal Voucher Detail,Journal Voucher Detail
Journal Voucher Detail No,In Journal Voucher Detail
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Behalten Sie den Überblick of Sales Campaigns. Verfolgen Sie Leads, Angebote, Sales Order etc von Kampagnen zur Return on Investment messen."
Keep a track of all communications,Halten Sie einen Überblick über alle Kommunikations-
Keep a track of communication related to this enquiry which will help for future reference.,"Verfolgen Sie die Kommunikation im Zusammenhang mit dieser Untersuchung, die für zukünftige Referenz helfen."
Keep a track on communications regarding this Quotation. This will help you remember earlier communications in case the Customer comes back again,"Halten Sie einen Track auf Mitteilungen über dieses Angebot. Dies hilft Ihnen, sich zuvor Kommunikation im Falle der Kunde kommt wieder"
Key,Schlüssel
Key Performance Area,Key Performance Area
Key Responsibility Area,Key Responsibility Bereich
Knowledge Base,Knowledge Base
LEAD,FÜHREN
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,LEAD / MUMBAI /
LR Date,LR Datum
LR No,In LR
Label,Etikett
Label Help,Label Hilfe
Lacs,Lacs
Landed Cost Item,Landed Cost Artikel
Landed Cost Items,Landed Cost Artikel
Landed Cost Purchase Receipt,Landed Cost Kaufbeleg
Landed Cost Purchase Receipts,Landed Cost Kaufbelege
Landed Cost Wizard,Landed Cost Wizard
Landing Page,Landing Page
Language,Sprache
Language preference for user interface (only if available).,Bevorzugte Sprache für die Benutzeroberfläche (nur falls vorhanden).
Last Contact Date,Letzter Kontakt Datum
Last IP,Letzte IP-
Last Login,Letzter Login
Last Modified On,Zuletzt geändert am
Last Name,Nachname
Last Purchase Rate,Last Purchase Rate
Last Update,Letztes Update
Last Update By,Letzte Aktualisierung durch
Latest Updates,Neueste Updates
Lato,Lato
Lead,Führen
Lead Details,Blei Einzelheiten
Lead Lost,Führung verloren
Lead Name,Name der Person
Lead Owner,Blei Owner
Lead Ref,Blei Ref
Lead Source,Blei Quelle
Lead Status,Lead-Status
Lead Time Date,Lead Time Datum
Lead Time Days,Lead Time Tage
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,"Lead Time Tage ist die Anzahl der Tage, um die diesen Artikel in Ihrem Lager zu erwarten ist. Diese geholt Tage in Material anfordern Wenn Sie diese Option auswählen."
Lead Type,Bleisatz
Leave Allocation,Lassen Allocation
Leave Allocation Tool,Lassen Allocation-Tool
Leave Application,Lassen Anwendung
Leave Approver,Lassen Approver
Leave Balance Before Application,Lassen Vor Saldo Anwendung
Leave Block List,Lassen Block List
Leave Block List Allow,Lassen Lassen Block List
Leave Block List Allowed,Lassen Sie erlaubt Block List
Leave Block List Date,Lassen Block List Datum
Leave Block List Dates,Lassen Block List Termine
Leave Block List Name,Lassen Blockieren Name
Leave Blocked,Lassen Blockierte
Leave Control Panel,Lassen Sie Control Panel
Leave Encashed?,Lassen eingelöst?
Leave Encashment Amount,Lassen Einlösung Betrag
Leave Setup,Lassen Sie Setup-
Leave Type,Lassen Typ
Leave Type Name,Lassen Typ Name
Leave Without Pay,Unbezahlten Urlaub
Leave allocations.,Lassen Zuweisungen.
Leave blank if considered for all branches,"Freilassen, wenn für alle Branchen betrachtet"
Leave blank if considered for all departments,"Freilassen, wenn für alle Abteilungen betrachtet"
Leave blank if considered for all designations,"Freilassen, wenn für alle Bezeichnungen betrachtet"
Leave blank if considered for all employee types,"Freilassen, wenn für alle Mitarbeiter Typen betrachtet"
Leave blank if considered for all grades,"Freilassen, wenn für alle Typen gilt als"
Leave by,Lassen Sie von
"Leave can be approved by users with Role, ""Leave Approver""","Kann von Benutzern mit Role zugelassen zu verlassen, ""Leave Approver"""
Ledger,Hauptbuch
Left,Links
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Legal Entity / Tochtergesellschaft mit einem separaten Kontenplan Zugehörigkeit zu der Organisation.
Letter Head,Briefkopf
Letter Head Image,Briefkopf Bild
Letter Head Name,Brief Leitung Name
Letter heads for print,Briefköpfe für Print
Level,Ebene
"Level 0 is for document level permissions, higher levels for field level permissions.","Level 0 ist für Dokumenten-Berechtigungen, höhere für die Feldebene Berechtigungen."
Lft,Lft
Link,Link
Link to other pages in the side bar and next section,Link zu anderen Seiten in der Seitenleiste und im nächsten Abschnitt
Linked With,Verbunden mit
List,Liste
List items that form the package.,Diese Liste Artikel bilden das Paket.
"List of Item Groups to be shown in ""All Products"" menu - in the sequence wanted and with number of indents (left spacing to show a tree effect).","Liste der Artikel Groups in ""Alle Produkte""-Menü angezeigt werden - und wollte in der Folge mit der Anzahl der Einzüge (links, um den Baum Abstand Wirkung zu zeigen)."
List of companies (not customers / suppliers),Liste der Unternehmen (keine Kunden / Lieferanten)
List of holidays.,Liste der Feiertage.
List of patches executed,Liste der Patches ausgeführt
List of records in which this document is linked,Welche Liste der Datensätze in diesem Dokument verknüpft ist
List this Item in multiple groups on the website.,Liste Diesen Artikel in mehrere Gruppen auf der Website.
Live Chat,Live-Chat
Load Print View on opening of an existing form,Legen Druckansicht beim Öffnen eines vorhandenen Formulars
Loading,Laden
Loading Report,Loading
Location,Lage
Log of Scheduler Errors,Melden von Fehlern Scheduler
Login After,Nach dem Login
Login Before,Login vor
Login Id,Login ID
Login Page,Login-Seite
Logout,Ausloggen
Long Description,Long Description
Long Text,Langtext
Lost Reason,Verlorene Reason
Low,Gering
Lower Income,Lower Income
Lucida Grande,Lucida Grande
MIS Control,MIS Kontrolle
MREQ,Merf
MTN Details,MTN Einzelheiten
Mail Footer,Mail Footer
Mail Password,Mail Passwort
Mail Port,Mail Port
Mail Server,Mail Server
Main Reports,Haupt-Reports
Main Section,Main Section
Maintain same rate throughout purchase cycle,Pflegen gleichen Rate gesamten Kauf-Zyklus
Maintenance,Wartung
Maintenance Date,Wartung Datum
Maintenance Details,Wartung Einzelheiten
Maintenance Schedule,Wartungsplan
Maintenance Schedule Detail,Wartungsplan Details
Maintenance Schedule Item,Wartungsplan Artikel
Maintenance Status,Wartungsstatus
Maintenance Time,Wartung Zeit
Maintenance Type,Wartung Type
Maintenance Visit,Wartung Besuch
Maintenance Visit Purpose,Wartung Visit Zweck
Major/Optional Subjects,Major / Wahlfächer
Make Bank Voucher,Machen Bankgutschein
Make Credit Note,Machen Gutschrift
Make Debit Note,Machen Lastschrift
Make Difference Entry,Machen Difference Eintrag
Make Excise Invoice,Machen Excise Rechnung
Make Stock Entry,Machen Eintrag Stock
Make a new,Machen Sie einen neuen
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,"Stellen Sie sicher, dass die Transaktionen, die Sie möchten, um die Link-Feld zu beschränken ""Gebiet"" haben, dass die Karten auf den ""Territory"" Master."
Male,Männlich
Manage cost of operations,Verwalten Kosten der Operationen
Manage numbering series,Verwalten Nummerierung Serie
Manage sales or purchase returns,Verwalten Verkauf oder Kauf Renditen
Mandatory,Verpflichtend
"Mandatory if Stock Item is ""Yes""","Stock Item ist obligatorisch, wenn Sie ""Ja"""
Manufacture against Sales Order,Herstellung gegen Sales Order
Manufacture/Repack,Herstellung / Repack
Manufactured Qty,Hergestellt Menge
Manufactured quantity will be updated in this warehouse,Menge hergestellt werden in diesem Lager aktualisiert werden
Manufacturer,Hersteller
Manufacturer Part Number,Hersteller-Teilenummer
Manufacturing,Herstellung
Manufacturing Home,Herstellung Home
Manufacturing Quantity,Fertigung Menge
Map,Karte
Margin,Marge
Marital Status,Familienstand
Markdown Reference,Markdown Reference
Market Segment,Market Segment
Married,Verheiratet
Mass Mailing,Mass Mailing
Master,Master
Master Name,Master Name
Master Type,Master Type
Masters,Masters
Mat Detail No,Mat im Detail
Match,Entsprechen
Match Id,Spiel Id
Match non-linked Invoices and Payments.,Spiel nicht verknüpften Rechnungen und Zahlungen.
Material Issue,Material Issue
Material Receipt,Material Receipt
Material Request,Material anfordern
Material Request Date,Material Request Date
Material Request Detail No,Material anfordern Im Detail
Material Request For Warehouse,Material Request For Warehouse
Material Request Item,Material anfordern Artikel
Material Request Items,Material anfordern Artikel
Material Request No,Material anfordern On
Material Request Type,Material Request Type
Material Transfer,Material Transfer
Materials,Materialien
Materials Required (Exploded),Benötigte Materialien (Explosionszeichnung)
Materials Requirement Planning (MRP),Materialien Requirement Planning (MRP)
Max Attachments,Max Attachments
Max Days Leave Allowed,Max Leave Tage erlaubt
Max Discount (%),Discount Max (%)
Max. Limit,Max Limit
"Meaning of Submit, Cancel, Amend","Bedeutung Absenden, Abbrechen, Amend"
Medium,Medium
Merge,Verschmelzen
Merge Warehouses,Merge Warehouses
Merge With,Mit Merge
Message,Nachricht
Message Parameter,Nachricht Parameter
Message greater than 160 character will be splitted into multiple mesage,Größer als 160 Zeichen Nachricht in mehrere mesage aufgeteilt werden
Message when Cond. False,Nachricht Wenn Cond. Falsch
Messages,Nachrichten
Method,Verfahren
Middle Income,Middle Income
Middle Name (Optional),Middle Name (Optional)
Milestone,Meilenstein
Milestone Date,Milestone Datum
Milestones,Meilensteine
Milestones will be added as Events in the Calendar,Meilensteine ​​werden die Veranstaltungen in der hinzugefügt werden
Millions,Millions
Min Order Qty,Mindestbestellmenge
Minimum Order Qty,Minimale Bestellmenge
