 (Half Day),(ครึ่งวัน)
"If checked, all other workflows become inactive.",หากตร​​วจสอบทุกขั้นตอนการทำงานอื่น ๆ เป็นที่รอ
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.",ถ้าการตรวจสอบอีเมลที่มีรูปแบบ HTML ที่แนบมาจะถูกเพิ่มในส่วนหนึ่งของร่างกายอีเมลเป็นสิ่งที่แนบมา เพียงส่งเป็นสิ่งที่แนบมาให้ยกเลิกการนี​​้
"If checked, the Home page will be the default Item Group for the website.",หากการตรวจสอบหน้าแรกจะเริ่มต้นกลุ่มสินค้าสำหรับเว็บไซต์
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",หากการตรวจสอบจำนวนเงินภาษีจะถือว่าเป็นรวมอยู่ในอัตราพิมพ์ / จำนวนพิมพ์
"If disable, 'Rounded Total' field will not be visible in any transaction",ถ้าปิดการใช้งาน &#39;ปัดรวมฟิลด์จะมองไม่เห็นในการทำธุรกรรมใด ๆ
"If enabled, the system will post accounting entries for inventory automatically.",ถ้าเปิดใช้งานระบบจะโพสต์รายการบัญชีสำหรับสินค้าคงคลังโดยอัตโนมัติ
"If image is selected, color will be ignored (attach first)",หากภาพถูกเลือกสีจะถูกละเว้น (แนบแรก)
If more than one package of the same type (for print),หากมีมากกว่าหนึ่งแพคเกจประเภทเดียวกัน (พิมพ์)
If non standard port (e.g. 587),ถ้าพอร์ตมาตรฐานไม่ (เช่น 587)
If not applicable please enter: NA,ถ้าไม่สามารถใช้ได้โปรดป้อน: NA
"If not checked, the list will have to be added to each Department where it has to be applied.",ถ้าไม่ได้ตรวจสอบรายชื่อจะต้องมีการเพิ่มแต่ละแผนกที่มันจะต้องมีการใช้
"If not, create a",ถ้าไม่สร้าง
"If set, data entry is only allowed for specified users. Else, entry is allowed for all users with requisite permissions.",หากตั้งการป้อนข้อมูลที่ได้รับอนุญาตเฉพาะสำหรับผู้ใช้ที่ระบุ อื่นรายการที่ได้รับอนุญาตสำหรับผู้ใช้ทั้งหมดที่มีสิทธิ์ที่จำเป็น
"If specified, send the newsletter using this email address",ถ้าระบุส่งจดหมายโดยใช้ที่อยู่อีเมลนี้
"If the 'territory' Link Field exists, it will give you an option to select it",ถ้าฟิลด์ &#39;ดินแดน&#39; แล้วก็จะให้คุณเลือกที่จะเลือก
"If the account is frozen, entries are allowed for the ""Account Manager"" only.",หากบัญชีถูกแช่แข็งรายการที่ได้รับอนุญาตให้ &quot;Account Manager&quot; เท่านั้น
