 (Half Day),(Demi-journée)
Insert Code,Insérez le code
Insert Row,Insérer une ligne
Insert Style,Insérez style
Inspected By,Inspecté par
Inspection Criteria,Critères d&#39;inspection
Inspection Required,Inspection obligatoire
Inspection Type,Type d&#39;inspection
Installation Date,Date d&#39;installation
Installation Note,Note d&#39;installation
Installation Note Item,Article Remarque Installation
Installation Status,Etat de l&#39;installation
Installation Time,Temps d&#39;installation
Installation record for a Serial No.,Dossier d&#39;installation d&#39;un n ° de série
Installed Qty,Qté installée
Instructions,Instructions
Int,Int
Integrations,Intégrations
Interested,Intéressé
Internal,Interne
Introduce your company to the website visitor.,Présentez votre entreprise sur le visiteur du site.
Introduction,Introduction
Introductory information for the Contact Us Page,Information préliminaire pour la page Contactez-nous
Invalid Delivery Note. Delivery Note should exist and should be in 				draft state. Please rectify and try again.,Invalide bordereau de livraison. Livraison note doit exister et doit être en état de brouillon. S&#39;il vous plaît corriger et essayer à nouveau.
Invalid Email,Invalid Email
Invalid Email Address,Adresse email invalide
Invalid Item or Warehouse Data,Objet non valide ou Data Warehouse
Invalid Leave Approver,Invalide Laisser approbateur
Inventory,Inventaire
Inverse,Inverse
Invoice Date,Date de la facture
Invoice Details,Détails de la facture
Invoice No,Aucune facture
Invoice Period From Date,Période Facture De Date
Invoice Period To Date,Période facture à ce jour
Is Active,Est active
Is Advance,Est-Advance
Is Asset Item,Est-postes de l&#39;actif
Is Cancelled,Est annulée
Is Carry Forward,Est-Report
Is Child Table,Est-table enfant
Is Default,Est défaut
Is Encash,Est encaisser
Is LWP,Est-LWP
Is Mandatory Field,Est-Champ obligatoire
Is Opening,Est l&#39;ouverture
Is Opening Entry,Est l&#39;ouverture d&#39;entrée
Is PL Account,Est-compte PL
Is POS,Est-POS
Is Primary Contact,Est-ressource principale
Is Purchase Item,Est-Item
Is Sales Item,Est-Point de vente
Is Service Item,Est-Point de service
Is Single,Est célibataire
Is Standard,Est-standard
Is Stock Item,Est Produit en stock
Is Sub Contracted Item,Est-Sub article à contrat
Is Subcontracted,Est en sous-traitance
Is Submittable,Est-Submittable
Is it a Custom DocType created by you?,Est-ce un DocType personnalisée que vous avez créée?
Is this Tax included in Basic Rate?,Est-ce Taxes incluses dans le taux de base?
Issue,Question
Issue Date,Date d&#39;émission
Issue Details,Détails de la demande
Issued Items Against Production Order,Articles émis contre un ordre de fabrication
It is needed to fetch Item Details.,Il est nécessaire d&#39;aller chercher les détails de l&#39;article.
It was raised because the (actual + ordered + indented - reserved) 						quantity reaches re-order level when the following record was created,Elle a été soulevée parce que la (réelle + ordonné + retrait - réservé) quantité atteint le niveau re-commande lorsque l&#39;enregistrement suivant a été créé
Item,Article
Item Advanced,Article avancée
Item Barcode,Barcode article
Item Batch Nos,Nos lots d&#39;articles
Item Classification,Classification d&#39;article
Item Code,Code de l&#39;article
Item Code (item_code) is mandatory because Item naming is not sequential.,Code article (item_code) est obligatoire car nommage d&#39;objet n&#39;est pas séquentiel.
Item Customer Detail,Détail d&#39;article
Item Description,Description de l&#39;objet
Item Desription,Desription article
Item Details,Détails d&#39;article
Item Group,Groupe d&#39;éléments
Item Group Name,Nom du groupe d&#39;article
Item Groups in Details,Groupes d&#39;articles en détails
Item Image (if not slideshow),Image Article (si ce n&#39;est diaporama)
Item Name,Nom d&#39;article
Item Naming By,Point de noms en
Item Price,Prix ​​de l&#39;article
Item Prices,Prix ​​du lot
Item Quality Inspection Parameter,Paramètre d&#39;inspection Article de qualité
Item Reorder,Réorganiser article
Item Serial No,Point No de série
Item Serial Nos,Point n ° de série
Item Supplier,Fournisseur d&#39;article
Item Supplier Details,Détails de produit Point
Item Tax,Point d&#39;impôt
Item Tax Amount,Taxes article
Item Tax Rate,Taux d&#39;imposition article
Item Tax1,Article impôts1
Item To Manufacture,Point à la fabrication de
Item UOM,Article Emballage
Item Website Specification,Spécification Site élément
Item Website Specifications,Spécifications Site du lot
Item Wise Tax Detail ,Détail de l&#39;article de la taxe Wise
Item classification.,Article classification.
Item to be manufactured or repacked,Ce point doit être manufacturés ou reconditionnés
Item will be saved by this name in the data base.,L&#39;article sera sauvé par ce nom dans la base de données.
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.","Item, Garantie, AMC (contrat d&#39;entretien annuel) détails seront automatiquement récupérées lorsque le numéro de série est sélectionnée."
Item-Wise Price List,Liste des Prix Article Wise
Item-wise Last Purchase Rate,Point-sage Dernier Tarif d&#39;achat
Item-wise Purchase History,Historique des achats point-sage
Item-wise Purchase Register,S&#39;enregistrer Achat point-sage
Item-wise Sales History,Point-sage Historique des ventes
Item-wise Sales Register,Ventes point-sage S&#39;enregistrer
Items,Articles
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty","Articles à être demandés, qui sont &quot;Out of Stock&quot; compte tenu de tous les entrepôts basés sur quantité projetée et qté minimum"
Items which do not exist in Item master can also be entered on customer's request,Les éléments qui n&#39;existent pas dans la maîtrise d&#39;article peut également être inscrits sur la demande du client
Itemwise Discount,Remise Itemwise
Itemwise Recommended Reorder Level,Itemwise recommandée SEUIL DE COMMANDE
JSON,JSON
JV,JV
Javascript,Javascript
Javascript to append to the head section of the page.,Javascript à ajouter à la section head de la page.
Job Applicant,Demandeur d&#39;emploi
Job Opening,Offre d&#39;emploi
Job Profile,Profil d&#39;emploi
Job Title,Titre d&#39;emploi
"Job profile, qualifications required etc.","Profil de poste, qualifications requises, etc"
Jobs Email Settings,Paramètres de messagerie Emploi
Journal Entries,Journal Entries
Journal Entry,Journal Entry
Journal Entry for inventory that is received but not yet invoiced,Journal Entry pour l&#39;inventaire qui est reçu mais non encore facturées
Journal Voucher,Bon Journal
Journal Voucher Detail,Détail pièce de journal
Journal Voucher Detail No,Détail Bon Journal No
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Gardez une trace de campagnes de vente. Gardez une trace de Leads, citations, Sales Order etc des campagnes afin d&#39;évaluer le retour sur investissement."
Keep a track of all communications,Gardez une trace de toutes les communications
Keep a track of communication related to this enquiry which will help for future reference.,Gardez une trace de la communication liée à cette enquête qui aidera pour référence future.
Key,Clé
Key Performance Area,Zone de performance clé
Key Responsibility Area,Secteur de responsabilité clé
LEAD,LEAD
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,LEAD / MUMBAI /
LR Date,LR Date
LR No,LR Non
Label,Étiquette
Label Help,Aide étiquette
Lacs,Lacs
Landed Cost Item,Article coût en magasin
Landed Cost Items,Articles prix au débarquement
Landed Cost Purchase Receipt,Landed Cost reçu d&#39;achat
Landed Cost Purchase Receipts,Landed Cost reçus d&#39;achat
Landed Cost Wizard,Assistant coût en magasin
Landing Page,Landing Page
Language,Langue
Language preference for user interface (only if available).,Langue de préférence pour l&#39;interface utilisateur (si disponible).
Last Contact Date,Date de Contact Dernière
Last IP,Dernière adresse IP
Last Login,Dernière connexion
Last Name,Nom de famille
Last Purchase Rate,Purchase Rate Dernière
Lato,Lato
Lead,Conduire
Lead Details,Le plomb Détails
Lead Lost,Conduire perdu
Lead Name,Nom du chef de
Lead Owner,Conduire du propriétaire
Lead Source,Source plomb
Lead Status,Lead Etat
Lead Time Date,Plomb Date Heure
Lead Time Days,Diriger jours Temps
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,Diriger jours Temps est le nombre de jours dont cet article est prévu dans votre entrepôt. Ces jours sont récupérées dans la Demande de Matériel quand vous sélectionnez cette option.
Lead Type,Type de câbles
Leave Allocation,Laisser Allocation
Leave Allocation Tool,Laisser outil de répartition
Leave Application,Demande de congés
Leave Approver,Laisser approbateur
Leave Approver can be one of,Laisser approbateur peut être l&#39;un des
Leave Approvers,Laisser approbateurs
Leave Balance Before Application,Laisser Solde Avant d&#39;application
Leave Block List,Laisser Block List
Leave Block List Allow,Laisser Block List Autoriser
Leave Block List Allowed,Laisser Block List admis
Leave Block List Date,Laisser Date de Block List
Leave Block List Dates,Laisser Dates de listes rouges d&#39;
Leave Block List Name,Laisser Nom de la liste de blocage
