 (Half Day),（半天）
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",當選擇序號項目，擔保，資產管理公司（常年維護保養合同）的詳細信息將自動獲取。
Item-wise Last Purchase Rate,項目明智的最後付款價
Item-wise Price List Rate,項目明智的價目表率
Item-wise Purchase History,項目明智的購買歷史
Item-wise Purchase Register,項目明智的購買登記
Item-wise Sales History,項目明智的銷售歷史
Item-wise Sales Register,項目明智的銷售登記
Items,項目
Items To Be Requested,項目要請求
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",這是“缺貨”的項目被要求考慮根據預計數量和最小起訂量為所有倉庫
Items which do not exist in Item master can also be entered on customer's request,不中主項存在的項目也可以根據客戶的要求進入
Itemwise Discount,Itemwise折扣
Itemwise Recommended Reorder Level,Itemwise推薦級別重新排序
JSON,JSON
JV,合資公司
JavaScript Format: wn.query_reports['REPORTNAME'] = {},JavaScript的格式：wn.query_reports [&#39;REPORTNAME&#39;] = {}
Javascript,使用Javascript
Job Applicant,求職者
Job Opening,招聘開幕
Job Profile,工作簡介
Job Title,職位
"Job profile, qualifications required etc.",所需的工作概況，學歷等。
Jobs Email Settings,喬布斯郵件設置
Journal Entries,日記帳分錄
Journal Entry,日記帳分錄
Journal Voucher,期刊券
Journal Voucher Detail,日記帳憑證詳細信息
Journal Voucher Detail No,日記帳憑證詳細說明暫無
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ",保持銷售計劃的軌道。跟踪信息，報價，銷售訂單等從競選衡量投資回報。
Keep a track of all communications,保持跟踪所有通信
Keep a track of communication related to this enquiry which will help for future reference.,保持跟踪的溝通與此相關的調查，這將有助於以供將來參考。
Key,關鍵
Key Performance Area,關鍵績效區
Key Responsibility Area,關鍵責任區
LEAD,鉛
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,鉛/孟買/
LR Date,LR日期
LR No,LR無
Label,標籤
Label Help,標籤說明
Lacs,紫膠
Landed Cost Item,到岸成本項目
Landed Cost Items,到岸成本項目
Landed Cost Purchase Receipt,到岸成本外購入庫單
Landed Cost Purchase Receipts,到岸成本外購入庫單
Landed Cost Wizard,到岸成本嚮導
Landing Page,著陸頁
Language,語
Language preference for user interface (only if available).,語言首選項的用戶界面（僅如果有的話）。
Last IP,最後一個IP
Last Login,上次登錄
Last Name,姓
Last Purchase Rate,最後預訂價
Last updated by,最後更新由
Lastmod,LASTMOD
Latest,最新
Latest Updates,最新更新
Lato,拉托
Lead,鉛
Lead Details,鉛詳情
Lead Id,鉛標識
Lead Name,鉛名稱
Lead Owner,鉛所有者
Lead Source,鉛源
Lead Status,鉛狀態
Lead Time Date,交貨時間日期
Lead Time Days,交貨期天
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,交貨期天是天由該項目預計將在您的倉庫的數量。這天是在申請材料中取出，當你選擇這個項目。
Lead Type,引線型
Leave Allocation,離開分配
Leave Allocation Tool,離開配置工具
Leave Application,離開應用
Leave Approver,離開審批
Leave Approver can be one of,離開審批者可以是一個
Leave Approvers,離開審批
Leave Balance Before Application,離開平衡應用前
Leave Block List,離開塊列表
Leave Block List Allow,離開阻止列表允許
Leave Block List Allowed,離開封鎖清單寵物
Leave Block List Date,留座日期表
Leave Block List Dates,留座日期表
Leave Block List Name,離開塊列表名稱
Leave Blocked,離開封鎖
Leave Control Panel,離開控制面板
Leave Encashed?,離開兌現？
Leave Encashment Amount,假期兌現金額
Leave Setup,離開設定
Leave Type,離開類型
Leave Type Name,離開類型名稱
Leave Without Pay,無薪假
Leave allocations.,離開分配。
Leave application has been approved.,休假申請已被批准。
Leave application has been rejected.,休假申請已被拒絕。
Leave blank if considered for all branches,離開，如果考慮所有分支空白
Leave blank if considered for all departments,離開，如果考慮各部門的空白
Leave blank if considered for all designations,離開，如果考慮所有指定空白
Leave blank if considered for all employee types,離開，如果考慮所有的員工類型空白
Leave blank if considered for all grades,離開，如果考慮所有級別空白
Leave blank to repeat always,留空將總是重複
"Leave can be approved by users with Role, ""Leave Approver""",離開可以通過用戶與角色的批准，“給審批”
Ledger,萊傑
Ledgers,總帳
Left,左
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,法人/附屬賬戶與一個單獨的表屬於該組織。
Less or equals,小於或等於
Less than,小於
Letter Head,信頭
Letter Head Image,信頭圖片
Letter Head Name,信頭名
Letter Head in HTML,信頭中的HTML
Level,級別
"Level 0 is for document level permissions, higher levels for field level permissions.",0級是文件級權限，更高層次字段級權限。
Lft,LFT
Like,喜歡
Link,鏈接
Link Name,鏈接名稱
Link to other pages in the side bar and next section,鏈接到側欄和下一節其他頁面
Link to the page you want to open,鏈接到你想打開的網頁
Linked In Share,反向鏈接分享
Linked With,掛具
List,表
List a few of your customers. They could be organizations or individuals.,列出一些你的客戶。他們可以是組織或個人。
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供應商。他們可以是組織或個人。
"List a few products or services you buy from your suppliers or vendors. If these are same as your products, then do not add them.",列出你從你的供應商或供應商買幾個產品或服務。如果這些是與您的產品，那麼就不要添加它們。
List items that form the package.,形成包列表項。
List of holidays.,假期表。
List of patches executed,執行補丁列表
List of users who can edit a particular Note,誰可以編輯特定票據的用戶列表
List this Item in multiple groups on the website.,列出這個項目在網站上多個組。
"List your products or services that you sell to your customers. Make sure to check the Item Group, Unit of Measure and other properties when you start.",列出您的產品或服務，你賣你的客戶。確保當你開始檢查項目組，測量及其他物業單位。
"List your tax heads (e.g. VAT, Excise) (upto 3) and their standard rates. This will create a standard template, you can edit and add more later.",列出你的頭稅（如增值稅，消費稅）（截至3）和它們的標準費率。這將創建一個標準的模板，您可以編輯和更多的稍後添加。
Live Chat,即時聊天
Loading,載入中
Loading Report,加載報表
Loading...,載入中...
Log,登錄
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.",通過對用戶的任務，可用於跟踪時間，計費進行活動的日誌。
Log of Scheduler Errors,調度程序錯誤日誌
Login After,登錄後
Login Before,登錄前
Login Id,登錄ID
Login with your new User ID,與你的新的用戶ID登錄
Logo,標誌
Logo and Letter Heads,標誌和信頭
Logout,註銷
Long Text,長文本
Lost,丟失
Lost Reason,失落的原因
Low,低
Lower Income,較低的收入
Lucida Grande,龍力大
MIS Control,MIS控制
MREQ-,MREQ  -
MTN Details,MTN詳情
Mail Footer,郵件頁腳
Mail Password,郵件密碼
Mail Port,郵件端口
Mail Server,郵件服務器
Main Reports,主報告
Main Section,主科
Maintain Same Rate Throughout Sales Cycle,保持同樣的速度在整個銷售週期
Maintain same rate throughout purchase cycle,在整個採購週期保持同樣的速度
Maintenance,保養
Maintenance Date,維修日期
Maintenance Details,保養細節
Maintenance Schedule,維護計劃
Maintenance Schedule Detail,維護計劃細節
Maintenance Schedule Item,維護計劃項目
Maintenance Schedules,保養時間表
Maintenance Status,維修狀態
Maintenance Time,維護時間
Maintenance Type,維護型
Maintenance Visit,維護訪問
Maintenance Visit Purpose,維護訪問目的
Major/Optional Subjects,大/選修課
Make ,使
Make Accounting Entry For Every Stock Movement,做會計分錄為每股份轉移
Make Bank Voucher,使銀行券
Make Credit Note,使信貸注
Make Debit Note,讓繳費單
Make Delivery,使交貨
Make Difference Entry,使不同入口
Make Excise Invoice,使消費稅發票
Make Installation Note,使安裝注意事項
Make Invoice,使發票
Make Maint. Schedule,讓MAINT。時間表
Make Maint. Visit,讓MAINT。訪問
Make Packing Slip,使裝箱單
Make Payment Entry,使付款輸入
