 (Half Day),（半天）
JavaScript Format: wn.query_reports['REPORTNAME'] = {},JavaScript的格式：wn.query_reports [&#39;REPORTNAME&#39;] = {}
Javascript,使用Javascript
Job Applicant,求职者
Job Opening,招聘开幕
Job Profile,工作简介
Job Title,职位
"Job profile, qualifications required etc.",所需的工作概况，学历等。
Jobs Email Settings,乔布斯邮件设置
Journal Entries,日记帐分录
Journal Entry,日记帐分录
Journal Voucher,期刊券
Journal Voucher Detail,日记帐凭证详细信息
Journal Voucher Detail No,日记帐凭证详细说明暂无
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ",保持销售计划的轨道。跟踪信息，报价，销售订单等从竞选衡量投资回报。
Keep a track of all communications,保持跟踪所有通信
Keep a track of communication related to this enquiry which will help for future reference.,保持跟踪的沟通与此相关的调查，这将有助于以供将来参考。
Key,关键
Key Performance Area,关键绩效区
Key Responsibility Area,关键责任区
LEAD,铅
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,铅/孟买/
LR Date,LR日期
LR No,LR无
Label,标签
Label Help,标签说明
Lacs,紫胶
Landed Cost Item,到岸成本项目
Landed Cost Items,到岸成本项目
Landed Cost Purchase Receipt,到岸成本外购入库单
Landed Cost Purchase Receipts,到岸成本外购入库单
Landed Cost Wizard,到岸成本向导
Landing Page,着陆页
Language,语
Language preference for user interface (only if available).,语言首选项的用户界面（仅如果有的话）。
Last IP,最后一个IP
Last Login,上次登录
Last Name,姓
Last Purchase Rate,最后预订价
Last updated by,最后更新由
Lastmod,LASTMOD
Latest,最新
Latest Updates,最新更新
Lato,拉托
Lead,铅
Lead Details,铅详情
Lead Id,铅标识
Lead Name,铅名称
Lead Owner,铅所有者
Lead Source,铅源
Lead Status,铅状态
Lead Time Date,交货时间日期
Lead Time Days,交货期天
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,交货期天是天由该项目预计将在您的仓库的数量。这天是在申请材料中取出，当你选择这个项目。
Lead Type,引线型
Leave Allocation,离开分配
Leave Allocation Tool,离开配置工具
Leave Application,离开应用
Leave Approver,离开审批
Leave Approver can be one of,离开审批者可以是一个
Leave Approvers,离开审批
Leave Balance Before Application,离开平衡应用前
Leave Block List,离开块列表
Leave Block List Allow,离开阻止列表允许
Leave Block List Allowed,离开封锁清单宠物
Leave Block List Date,留座日期表
Leave Block List Dates,留座日期表
Leave Block List Name,离开块列表名称
Leave Blocked,离开封锁
Leave Control Panel,离开控制面板
Leave Encashed?,离开兑现？
Leave Encashment Amount,假期兑现金额
Leave Setup,离开设定
Leave Type,离开类型
Leave Type Name,离开类型名称
Leave Without Pay,无薪假
Leave allocations.,离开分配。
Leave application has been approved.,休假申请已被批准。
Leave application has been rejected.,休假申请已被拒绝。
Leave blank if considered for all branches,离开，如果考虑所有分支空白
Leave blank if considered for all departments,离开，如果考虑各部门的空白
Leave blank if considered for all designations,离开，如果考虑所有指定空白
Leave blank if considered for all employee types,离开，如果考虑所有的员工类型空白
Leave blank if considered for all grades,离开，如果考虑所有级别空白
Leave blank to repeat always,留空将总是重复
"Leave can be approved by users with Role, ""Leave Approver""",离开可以通过用户与角色的批准，“给审批”
Ledger,莱杰
Ledgers,总帐
Left,左
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,法人/附属账户与一个单独的表属于该组织。
Less or equals,小于或等于
Less than,小于
Letter Head,信头
Letter Head Image,信头图片
Letter Head Name,信头名
Letter Head in HTML,信头中的HTML
Level,级别
"Level 0 is for document level permissions, higher levels for field level permissions.",0级是文件级权限，更高层次字段级权限。
Lft,LFT
Like,喜欢
Link,链接
Link Name,链接名称
Link to other pages in the side bar and next section,链接到侧栏和下一节其他页面
Link to the page you want to open,链接到你想打开的网页
Linked In Share,反向链接分享
Linked With,挂具
List,表
List a few of your customers. They could be organizations or individuals.,列出一些你的客户。他们可以是组织或个人。
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供应商。他们可以是组织或个人。
"List a few products or services you buy from your suppliers or vendors. If these are same as your products, then do not add them.",列出你从你的供应商或供应商买几个产品或服务。如果这些是与您的产品，那么就不要添加它们。
List items that form the package.,形成包列表项。
List of holidays.,假期表。
List of patches executed,执行补丁列表
List of users who can edit a particular Note,谁可以编辑特定票据的用户列表
List this Item in multiple groups on the website.,列出这个项目在网站上多个组。
"List your products or services that you sell to your customers. Make sure to check the Item Group, Unit of Measure and other properties when you start.",列出您的产品或服务，你卖你的客户。确保当你开始检查项目组，测量及其他物业单位。
"List your tax heads (e.g. VAT, Excise) (upto 3) and their standard rates. This will create a standard template, you can edit and add more later.",列出你的头税（如增值税，消费税）（截至3）和它们的标准费率。这将创建一个标准的模板，您可以编辑和更多的稍后添加。
Live Chat,即时聊天
Loading,载入中
Loading Report,加载报表
Loading...,载入中...
Log,登录
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.",通过对用户的任务，可用于跟踪时间，计费进行活动的日志。
Log of Scheduler Errors,调度程序错误日志
Login After,登录后
Login Before,登录前
Login Id,登录ID
Login with your new User ID,与你的新的用户ID登录
Logo,标志
Logo and Letter Heads,标志和信头
Logout,注销
Long Text,长文本
Lost,丢失
Lost Reason,失落的原因
Low,低
Lower Income,较低的收入
Lucida Grande,龙力大
MIS Control,MIS控制
MREQ-,MREQ  -
MTN Details,MTN详情
Mail Footer,邮件页脚
Mail Password,邮件密码
Mail Port,邮件端口
Mail Server,邮件服务器
Main Reports,主报告
Main Section,主科
Maintain Same Rate Throughout Sales Cycle,保持同样的速度在整个销售周期
Maintain same rate throughout purchase cycle,在整个采购周期保持同样的速度
Maintenance,保养
Maintenance Date,维修日期
Maintenance Details,保养细节
Maintenance Schedule,维护计划
Maintenance Schedule Detail,维护计划细节
Maintenance Schedule Item,维护计划项目
Maintenance Schedules,保养时间表
Maintenance Status,维修状态
Maintenance Time,维护时间
Maintenance Type,维护型
Maintenance Visit,维护访问
Maintenance Visit Purpose,维护访问目的
Major/Optional Subjects,大/选修课
Make ,使
Make Accounting Entry For Every Stock Movement,做会计分录为每股份转移
Make Bank Voucher,使银行券
Make Credit Note,使信贷注
Make Debit Note,让缴费单
Make Delivery,使交货
Make Difference Entry,使不同入口
Make Excise Invoice,使消费税发票
Make Installation Note,使安装注意事项
Make Invoice,使发票
Make Maint. Schedule,让MAINT。时间表
Make Maint. Visit,让MAINT。访问
Make Packing Slip,使装箱单
Make Payment Entry,使付款输入
