 (Half Day),(Meio Dia)
Item Reorder,Item Reordenar
Item Serial No,Nº de série do Item
Item Serial Nos,Nº de série de Itens
Item Supplier,Fornecedor do Item
Item Supplier Details,Detalhes do Fornecedor do Item
Item Tax,Imposto do Item
Item Tax Amount,Valor do Imposto do Item
Item Tax Rate,Taxa de Imposto do Item
Item Tax1,Item Tax1
Item To Manufacture,Item Para Fabricação
Item UOM,UDM do Item
Item Website Specification,Especificação do Site do Item
Item Website Specifications,Especificações do Site do Item
Item Wise Tax Detail ,Detalhe Imposto relativo ao Item
Item classification.,Classificação do Item.
Item to be manufactured or repacked,Item a ser fabricado ou reembalado
Item will be saved by this name in the data base.,O Item será salvo com este nome na base de dados.
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.","Detalhes do Item, Garantia, CAM (Contrato Anual de Manutenção) serão carregados automaticamente quando o número de série for selecionado."
Item-Wise Price List,Lista de Preços relativa ao Item
Item: ',Item: &#39;
Items,Itens
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty","Os itens a serem solicitados que estão &quot;Fora de Estoque&quot;, considerando todos os almoxarifados com base na quantidade projetada e pedido mínimo"
Items which do not exist in Item master can also be entered on customer's request,Itens que não existem no Cadastro de Itens também podem ser inseridos na requisição do cliente
Itemwise Discount,Desconto relativo ao Item
JSON,JSON
JV,JV
Javascript,Javascript
Javascript to append to the head section of the page.,Javascript para acrescentar ao cabeçalho da página.
Job Applicant,Candidato a emprego
Job Opening,Vaga de emprego
Job Profile,Perfil da vaga
Job Title,Cargo
"Job profile, qualifications required etc.","Perfil da vaga, qualificações exigidas, etc"
Jobs Email Settings,Configurações do e-mail de empregos
Journal Entries,Lançamentos do livro Diário
Journal Entry,Lançamento do livro Diário
Journal Voucher,Comprovante do livro Diário
Journal Voucher Detail,Detalhe do Comprovante do livro Diário
Journal Voucher Detail No,Nº do Detalhe do Comprovante do livro Diário
KRA,KRA
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Mantenha o controle das campanhas de vendas. Mantenha o controle de prospectos, cotações, Ordens de Venda, etc para mensurar o Retorno do Investimento."
Keep a track of all communications,Mantenha o controle de todas as comunicações
Keep a track of communication related to this enquiry which will help for future reference.,"Mantenha o controle de comunicações relacionadas a esta consulta, o que irá ajudar para futuras referências."
Keep a track on communications regarding this Quotation. This will help you remember earlier communications in case the Customer comes back again,Mantenha o controle sobre as comunicações relativas a este Orçamento. Isso vai ajudar você a lembrar de comunicações anteriores para o caso de o cliente voltar novamente
Key,Chave
Key Performance Area,Área Chave de Performance
Key Responsibility Area,Área Chave de Responsabilidade
Knowledge Base,Base de Conhecimento
LEAD,LEAD
LEAD/10-11/,LEAD/10-11 /
LEAD/MUMBAI/,LEAD / MUMBAI /
LR Date,Data LR
LR No,Nº LR
Label,Etiqueta
Label Help,Ajuda sobre etiquetas
Lacs,Lacs
Landed Cost Item,Custo de desembarque do Item
Landed Cost Items,Custo de desembarque dos Itens
Landed Cost Purchase Receipt,Recibo de compra do custo de desembarque
Landed Cost Purchase Receipts,Recibos de compra do custo de desembarque
Landed Cost Wizard,Assistente de Custo de Desembarque
Landing Page,Página de chegada
Language,Idioma
Language preference for user interface (only if available).,Idioma de preferência para interface de usuário (se disponível).
Last Contact Date,Data do último contato
Last IP,Último IP
Last Login,Último Login
Last Modified On,Última modificação em
Last Name,Sobrenome
Last Purchase Rate,Valor da última compra
Last Update,Última Atualização
Last Update By,Última Atualização por
Latest Updates,Últimas Atualizações
Lato,Lato
Lead,Prospecto
Lead Details,Detalhes do Prospecto
Lead Lost,Prospecto Perdido
Lead Name,Nome do Prospecto
Lead Owner,Proprietário do Prospecto
Lead Ref,Ref. do Prospecto
Lead Source,Chumbo Fonte
Lead Status,Chumbo Estado
Lead Time Date,Prazo de entrega
Lead Time Days,Prazo de entrega
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,Levar dias Tempo é o número de dias em que este item é esperado no seu armazém. Este dia é buscada em solicitar material ao selecionar este item.
Lead Type,Tipo de Prospecto
Leave Allocation,Alocação de Licenças
Leave Allocation Tool,Ferramenta de Alocação de Licenças
Leave Application,Solicitação de Licenças
Leave Approver,Aprovador de Licenças
Leave Balance Before Application,Saldo de Licenças antes da solicitação
Leave Block List,Deixe Lista de Bloqueios
Leave Block List Allow,Deixe Lista de Bloqueios Permitir
Leave Block List Allowed,Deixe Lista de Bloqueios admitidos
Leave Block List Date,Deixe Data Lista de Bloqueios
Leave Block List Dates,Deixe as datas Lista de Bloqueios
Leave Block List Name,Deixe o nome Lista de Bloqueios
Leave Blocked,Deixe Bloqueados
Leave Control Panel,Painel de Controle de Licenças
Leave Encashed?,Licenças cobradas?
Leave Encashment Amount,Valor das Licenças cobradas
Leave Setup,Configurar Licenças
Leave Type,Tipo de Licenças
Leave Type Name,Nome do Tipo de Licença
Leave Without Pay,Licença sem pagamento
Leave allocations.,Alocações de Licenças.
Leave blank if considered for all branches,Deixe em branco se considerado para todos os ramos
Leave blank if considered for all departments,Deixe em branco se considerado para todos os departamentos
Leave blank if considered for all designations,Deixe em branco se considerado para todas as designações
Leave blank if considered for all employee types,Deixe em branco se considerado para todos os tipos de empregados
Leave blank if considered for all grades,Deixe em branco se considerado para todos os graus
Leave by,Deixe por
"Leave can be approved by users with Role, ""Leave Approver""",A licença pode ser aprovado por usuários com função de &quot;Aprovador de Licenças&quot;
Ledger,Razão
Left,Esquerda
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,"Pessoa Jurídica / Subsidiária, com um plano de Contas separado, pertencentes à Organização."
Letter Head,Timbrado
Letter Head Image,Imagem do timbrado
Letter Head Name,Nome do timbrado
Letter heads for print,Timbrado para impressão
Level,Nível
"Level 0 is for document level permissions, higher levels for field level permissions.","Nível 0 é para permissões em nível de documento, os níveis mais elevados são permissões em nível de campo."
Lft,Esq.
Link,Link
Link to other pages in the side bar and next section,Link para outras páginas na barra lateral e seção seguinte
Linked In Share,Linked In Compartilhar
Linked With,Ligado com
List,Lista
List items that form the package.,Lista de itens que compõem o pacote.
"List of Item Groups to be shown in ""All Products"" menu - in the sequence wanted and with number of indents (left spacing to show a tree effect).",Lista de Grupos de Itens a serem mostrado no menu &quot;Todos os Produtos&quot; - na sequência desejada e com o número de recuos (espaçamento à esquerda para mostrar um efeito de árvore).
List of companies (not customers / suppliers),Lista das empresas (não clientes / fornecedores)
List of holidays.,Lista de feriados.
List of patches executed,Lista de patches executados
List of records in which this document is linked,Lista de registros a que este documento está ligado
List this Item in multiple groups on the website.,Listar este item em vários grupos no site.
Live Chat,Chat ao vivo
Load Print View on opening of an existing form,Carregar a visualização de impressão na abertura de um formulário existente
Loading,Carregando
Loading Report,Relatório de carregamento
Location,Localização
Log of Scheduler Errors,Log de erros do agendador
Login After,Login após
Login Before,Login antes
Login Id,ID de Login
Login Page,Página de Login
Logout,Sair
Long Text,Texto Longo
Lost Reason,Razão da perda
Low,Baixo
Lower Income,Baixa Renda
Lucida Grande,Lucida Grande
MIS Control,Controle MIS
MREQ-,Mreq-
MTN Details,Detalhes da MTN
Mail Footer,Rodapé do E-mail
Mail Password,Senha do E-mail
Mail Port,Porta do E-mail
Mail Server,Servidor de E-mail
Main Reports,Relatórios principais
Main Section,Seção Principal
Maintain same rate throughout purchase cycle,Manter o mesmo valor através de todo o ciclo de compra
Maintenance,Manutenção
Maintenance Date,Data de manutenção
Maintenance Details,Detalhes da manutenção
Maintenance Schedule,Programação da Manutenção
Maintenance Schedule Detail,Detalhe da Programação da Manutenção
Maintenance Schedule Item,Item da Programação da Manutenção
Maintenance Status,Estado da manutenção
Maintenance Time,Tempo da manutenção
Maintenance Type,Tipo de manutenção
Maintenance Visit,Visita de manutenção
Maintenance Visit Purpose,Finalidade da visita de manutenção
Major/Optional Subjects,Assuntos Principais / Opcionais
Make Bank Voucher,Fazer Comprovante Bancário
Make Credit Note,Fazer Nota de Crédito
Make Debit Note,Fazer Nota de Débito
Make Difference Entry,Fazer Lançamento da Diferença
Make Excise Invoice,Fazer fatura de imposto
Make Stock Entry,Fazer lançamento de estoque
Make a new,Fazer um novo
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,Certifique-se de que as operações que pretende restringir tenham um campo de ligação &quot;Território&quot; que mapeia para um cadastro de &quot;Território&quot;.
