Pension Funds,Pensionifondid
Loans and Advances (Assets),Laenud ja ettemaksed (varad)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,"Rida {0}: kontrollige kontot {1}, kui see on ettemakse."
Designation (optional),Nimetus (valikuline)
Total Principal Amount,Põhisumma kokku
Customer / Lead Address,Kliendi / juhi aadress
Soap & Detergent,Seep ja pesuvahend
Purchase Analytics,Analüütika ostmine
Opportunity,Võimalus
Prefered Contact Email,Eelistatud kontaktisik
Opening Accounting Balance,Raamatupidamisbilansi avamine
[Select],[Vali]
MAT-RECO-.YYYY.-,MAT-RECO-.YYYY.-
Master Data,Põhiandmed
Yet to appear,Ometi ilmub
Customers in Queue,Kliendid järjekorras
Supplier Details,Tarnija andmed
No gain or loss in the exchange rate,Vahetuskursi kasum või kahjum puudub
GSTR-1,GSTR-1
Total Billable Hours,Kokku arveldatavad tundi
Represents Company,Esindab ettevõtet
Company Address,ettevõtte aadress
Lead Name,Plii nimi
Diseases & Fertilizers,Haigused ja väetised
Item {0} must be a Sub-contracted Item,Punkt {0} peab olema allhankeleping
Purchase Receipt Items,Ostuteated
Ignore Existing Projected Quantity,Ignoreerige olemasolevat prognoositavat kogust
Supervisor,Juhendaja
Salary Detail,Palk üksikasjalikult
Budget Against,Eelarve vastu
Add Letterhead,Lisage kiri
Templates of supplier scorecard criteria.,Tarnijate tulemustabeli kriteeriumide mallid.
Default Finance Book,Vaikimisi finantsraamat
Please specify Company,Palun täpsustage ettevõte
Total contribution percentage should be equal to 100,Kogusumma peaks olema 100
Webhooks Secret,Webhooks saladus
Asset Depreciations and Balances,Varade amortisatsioonid ja saldod
New Batch Qty,Uus partii kogus
Import of goods,Kaupade import
Raw Material Item Code,Toormaterjali kood
Purchase Invoice {0} is already submitted,Ostutarve {0} on juba esitatud
Student Email,Õpilaste e-post
BOM recursion: {0} cannot be parent or child of {2},BOM rekursioon: {0} ei saa olla {2} vanem või laps
Get Items from Healthcare Services,Hangi tervishoiuteenuste üksused
Stock Entry {0} is not submitted,Varude kirjet {0} ei esitata
Item Attribute Value,Üksuse atribuudi väärtus
Volunteer Skills,Vabatahtlike oskused
Cannot enroll more than {0} students for this student group.,Selle õpilasrühma jaoks ei saa registreerida rohkem kui {0} õpilast.
Costing Details,Kalkulatsiooni üksikasjad
Sales Invoice {0} has already been submitted,Müügiarve {0} on juba esitatud
Accounting Entries,Raamatupidamise kanded
Internal Transfer,Sisemine ülekanne
Stock Details,Varude üksikasjad
Is Carry Forward,Kas edasi
Product Enquiry,Toote uurimine
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,Hindamisperiood
Volunteer Skill,Vabatahtlike oskused
Order Confirmation No,Tellimuse kinnitus nr
POS,POS
Self-Study,Iseseisev õppimine
Above,Üle
Action Doctype,Toiming Doctype
Allow Print Before Pay,Luba printimine enne maksmist
Select Items to Manufacture,Valige üksused tootmiseks
Leave Approver Name,Jäta kinnitaja nimi
Shareholder,Aktsionär
Agreement Status,Lepingu staatus
Default settings for selling transactions.,Tehingute müügi vaikesätted.
Please select Student Admission which is mandatory for the paid student applicant,"Palun valige õpilase sissepääs, mis on tasuline üliõpilase taotleja jaoks kohustuslik"
Select BOM,Valige BOM
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","{0} kattumise ajakava, kas soovite jätkata kattuvate teenindusaegade vahele jätmist?"
Customer or Supplier Details,Kliendi või tarnija andmed
Debit Account,Deebetkonto
Trial Period End Date Cannot be before Trial Period Start Date,Prooviperioodi lõppkuupäev ei saa olla enne prooviperioodi alguskuupäeva
Rented,Renditud
Employee Group Table,Töötajate rühmade tabel
HR Manager,personalijuht
Details of Outward Supplies and inward supplies liable to reverse charge,"Andmed välismaterjalide ja sissetulevate tarnete kohta, mille eest võidakse pöörata tagasipöördumist"
Cheque/Reference No,Kontroll / viitenumber
Assessment Result,Hindamise tulemus
New Contact,Uus kontakt
Opportunities,Võimalused
Net Cash from Operations,Puhas raha teenustest
Leave Encashment,Jäta kapten
Source warehouse is mandatory for row {0},Allika ladu on kohustuslik {0} rea jaoks
After Date,Pärast kuupäeva
ITC Available (whether in full op part),"ITC Saadaval (olenemata sellest, kas see on täielik)"
Row {0}: Activity Type is mandatory.,Rida {0}: tegevuse tüüp on kohustuslik.
Consultant,Konsultant
Select an employee to get the employee advance.,"Valige töötaja, kellele töötaja läheb."
"Asset cannot be cancelled, as it is already {0}","Varasid ei saa tühistada, kuna see on juba {0}"
Wrong Password,Vale parool
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
Update Account Number / Name,Uuenda konto numbrit / nime
Use Custom Cash Flow Format,Kasutage kohandatud rahavoogude vormingut
Opening Invoices,Arve avamine
Send to Warehouse,Saada laosse
Event Status,Sündmuse olek
Total completed qty must be greater than zero,Täidetud kogus peab olema suurem kui null
Chargeable,Makstav
Anytime,Iga kord
Student Batch-Wise Attendance,Õpilase partii-tark viis
Normal Test Template,Tavaline testimall
Tree of financial Cost Centers.,Finantskulude keskuste puu.
"in Minutes
Updated via 'Time Log'",minutites Ajakohastatud läbi &quot;Aeglogi&quot;
Bin,Prügikast
Invoice Number,Arve number
Fulfillment User,Täitmise kasutaja
Planned End Time,Planeeritud lõpuaeg
Section Code,Jaotise kood
Monitor Progress,Jälgi edusamme
Select Batch No,Valige partii nr
Payroll Number,Palgaarv
Include UOM,Kaasa UOM
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Aktsiagrupi kirjed ja GL kanded valitakse valitud ostutšekkide kohta
Update Print Format,Uuenda prindivorming
Siblings,Õed-vennad
Hold Invoice,Hoia arve
Row {0}: Invalid reference {1},Rida {0}: vale viide {1}
Profitability Analysis,Kasumlikkuse analüüs
New Account Name,Uus konto nimi
Expense Proof,Kulude tõendamine
Served,Serveeritud
Member,Liige
Practitioner Service Unit Schedule,Praktiku teenuse üksuse ajakava
Wire Transfer,Traadi ülekanne
Against Account,Konto vastu
Projects Settings,Projektide seaded
Actual Qty {0} / Waiting Qty {1},Tegelik kogus {0} / oodatav kogus {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: konto {2} ei saa olla grupp
Prescription Duration,Retseptide kestus
Row {0}: Debit entry can not be linked with a {1},Rida {0}: deebet kirje ei saa siduda {1}
Intro Video,Intro Video
Is Paid,On tasutud
Debit,Deebet
Item Balance (Simple),Üksuse saldo (lihtne)
Purchase orders help you plan and follow up on your purchases,Ostutellimused aitavad teil planeerida ja jälgida teie ostud
Project Type,Projekti tüüp
Student Batch Name,Õpilase partii nimi
Qty to Receive,Vastuvõetav kogus
Previous Business Day,Eelmine tööpäev
Sponsored Amount,Sponsorite summa
Please wait 3 days before resending the reminder.,Palun oodake 3 päeva enne meeldetuletuse saatmist.
Qty as per Stock UOM,Kogus varuühiku kohta
Quantity,Kogus
Estimated Arrival,Eeldatav saabumine
Trial Balance for Party,Partei proovide tasakaal
Employee Separation Template,Töötajate eraldamise mall
Unit,Üksus
Maximum benefit amount of component {0} exceeds {1},Komponendi {0} maksimaalne hüvitise summa ületab {1}
Venture Capital,Riskikapital
Fiscal Year End Date should be one year after Fiscal Year Start Date,Eelarveaasta lõppkuupäev peaks olema üks aasta pärast eelarveaasta alguskuupäeva
Daily Reminders,Päeva meeldetuletused
Default Sales Unit of Measure,Vaikimisi müüdud mõõtühik
Rate of Depreciation,Kulumi määr
Post Description Key,Postituse kirjeldus
Minimum Total Spent,Minimaalne kogukulu
Period Score,Perioodi skoor
Can't create standard criteria. Please rename the criteria,Standardseid kriteeriume ei saa luua. Palun nimetage kriteeriumid ümber
Arrival Datetime,Saabumise kuupäev
Student LMS Activity,Õpilase LMS-i tegevus
Quantity Difference,Koguse erinevus
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Rida # {0}: eraldatud summa ei tohi olla suurem kui tasumata summa.
Timesheet Detail,Töögraafiku detail
Proficiency,Oskus
Sent To,Saadetakse
Hub Publishing Details,Hub avaldamise üksikasjad
"Student Batches help you track attendance, assessments and fees for students","Üliõpilaste partiid aitavad teil jälgida õpilaste osalemist, hindamisi ja tasusid"
Declared Amount,Deklareeritud summa
Auto close Opportunity after 15 days,Automaatne sulgemine 15 päeva pärast
Issue,Probleem
Availability Timeslot,Saadavus Ajakava
Program Abbreviation,Programmi lühend
Project Start Date,Projekti alguskuupäev
Additional DIscount Amount,Täiendav summa
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},Üksus {0} ei ole ostutellimuse {1} tabelis „Tooraine tarnimine”
Manage cost of operations,Tegevuskulude haldamine
You are not authorized to set Frozen value,Teil ei ole lubatud seadistada külmutatud väärtust
Lapsed,Aegunud
Investments,Investeeringud
Date of Birth,Sünnikuupäev
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Turuliinil registreerimiseks peate olema süsteemihalduri ja üksusehalduri rollidega kasutaja.
Item Attribute Values,Üksuse atribuutide väärtused
Please save the patient first,Palun salvestage patsient kõigepealt
Half Day Date should be between From Date and To Date,Poolpäevane kuupäev peaks olema alates kuupäeva ja kuupäeva vahel
Expected Discharge,Oodatav tühjendamine
Travel Type,Reisi tüüp
Customer is required,Klient on kohustatud
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Punkti {0} jaoks määratud vale kogus. Kogus peaks olema suurem kui 0.
As Supervisor,Juhendajana
Employees,Töötajad
Billing Status,Arvelduse staatus
Please select Category first,Valige esimene kategooria
BOM Browser,BOM-brauser
Create Student Groups,Loo õpilasrühmi
In Minutes,Protokollides
Net Pay cannot be less than 0,Neto tasu ei tohi olla väiksem kui 0
Schedules,Kavad
Employee Training,Töötajate koolitus
Rate of Interest (%) / Year,Intressimäär (%) / aasta
Require Result Value,Nõuda tulemuse väärtust
Loan Type,Laenu tüüp
Item Code required at Row No {0},Üksuse kood on nõutav reas nr {0}
Identification of the package for the delivery (for print),Saadetise paketi identifitseerimine (printimiseks)
Assessment Name,Hindamise nimi
Departure Datetime,Väljumise kuupäev
From Warehouse,Laost
Amount {0} {1} against {2} {3},Summa {0} {1} {2} {3} vastu
Create Variant,Loo variant
Fulfilment Terms and Conditions,Täitmise tingimused
Date of Commencement should be greater than Date of Incorporation,Alguse kuupäev peaks olema suurem kui registreerimise kuupäev
Price or Product Discount,Hind või toote allahindlus
Reading 1,Lugemine 1
Maximum Age,Maksimaalne vanus
Payroll Periods,Palgaarvestusperioodid
Transferred Quantity,Ülekantud kogus
Marketplace Settings,Turuplatside seaded
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Ostutellimused {0} ei ole lubatud {1} tulemuskaardi tõttu.
Price List not selected,Hinnakiri pole valitud
Workstation is closed on the following dates as per Holiday List: {0},Tööjaam on suletud järgmistel puhkepäevade kuupäevadel: {0}
"Reselect, if the chosen address is edited after save","Valige uuesti, kui valitud aadress on pärast salvestamist redigeeritud"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,"Üksuse {0} mõõtühikut ei saa vahetult muuta, sest olete juba teinud mõne tehingu teise UOM-iga. Teise vaikeseadistuse kasutamiseks tuleb luua uus element."
Changing Customer Group for the selected Customer is not allowed.,Kliendi grupi muutmine valitud kliendile ei ole lubatud.
Creation Document Type,Loomise dokumendi tüüp
Available Batch Qty at Warehouse,Laos saadaval olev partii kogus
This is a root territory and cannot be edited.,See on juurterritoorium ja seda ei saa muuta.
Surgical History,Kirurgiline ajalugu
Tree of Quality Procedures.,Kvaliteediprotseduuride puu.
Contact HTML,Võtke ühendust HTML-iga
Employee Information,Töötajate teave
Examiner,Eksamineerija
Actual Amount,Tegelik summa
Fulfilled,Täidetud
Row {0}: Enter location for the asset item {1},Rida {0}: sisesta varaüksuse {1} asukoht
View Timesheet,Vaadake töögraafikut
Taxes and Charges Calculation,Maksud ja tasud
Action Document,Tegevusdokument
Procedure Prescription,Menetluse retsept
Guardian Name,Guardian nimi
Successfully Reconciled,Edukalt kokku lepitud
Period Name,Perioodi nimi
Please pull items from Delivery Note,Palun tõmmake üksused tarneteatest välja
Content Question,Sisu küsimus
In Stock: ,Laos:
Please save before assigning task.,Palun salvestage enne ülesande määramist.
Company is manadatory for company account,Ettevõte on ettevõtte kontot haldav
Delivery Warehouse,Kohaletoimetamise ladu
Enable Shopify,Luba Shopify
Additional information regarding the patient,Lisateave patsiendi kohta
Purchase Receipts,Ostutšekid
New Employee,Uus töötaja
Update Auto Repeat Reference,Uuenda automaatne kordusviide
Fees,Tasud
Student Group Name,Student Groupi nimi
Employee,Töötaja
Available-for-use Date should be after purchase date,Kasutusel olev kuupäev peaks olema pärast ostu kuupäeva
Please define grade for Threshold 0%,Palun määrake künnis 0%
"Apps using current key won't be able to access, are you sure?","Praegust võtit kasutavad rakendused ei pääse, kas olete kindel?"
Minutes,Protokollid
Correct,Õige
Total Declared Amount,Deklareeritud summa kokku
Material,Materjal
Is Inpatient,Kas haiglaravi
Encashment Amount,Kogu summa
Conversion Rate,Konversioonimäär
CEO,tegevdirektor
Set tasks in this project as cancelled?,Määrake selle projekti ülesanded tühistatuks?
Reserved Qty for sub contract,Allhankelepingu reserveeritud kogus
Create Payment Entry,Looge makse sisestamine
Submit Proof,Esitage tõend
Credit Months,Krediidi kuud
Providing,Pakkumine
Total Billing Amount,Arvelduse kogusumma kokku
Maintenance Visit,Hooldusvisiit
Country of Origin,Päritoluriik
Agriculture Analysis Criteria,Põllumajandusanalüüsi kriteeriumid
Additional Salary Component Exists.,On olemas täiendav palgakomponent.
Grocery,Toiduained
Minimum Seating,Minimaalne istekoht
Furry,Furry
"Can not filter based on Account, if grouped by Account","Konto alusel ei saa filtreerida, kui see on rühmitatud konto järgi"
Bank Entries,Panga kirjed
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,Lülitatud analüüs
Valid From Date must be lesser than Valid Upto Date.,Kehtiv alates kuupäevast peab olema väiksem kui kehtiv kuupäev.
Salary Component,Palga komponent
Maintenance Team Members,Hooldusmeeskonna liikmed
Minimum Age,Minimaalne vanus
Available Selling,Saadaolev müük
Taxes and Charges Deducted,Maksud ja tasud maha arvata
Create Lab Test,Loo laboritesti
Hotel Settings,Hotelli seaded
Select Transaction,Valige Tehing
Declare Lost,Deklareeri kadunud
If different than customer address,Kui see erineb kliendi aadressist
Chart Tree,Chart Tree
Contract,Leping
Please select the Multiple Tier Program type for more than one collection rules.,Valige rohkem kui ühe kogumise reegli jaoks mitmeastmelise programmi tüüp.
