DocType: Accounting Period,Period Name,Nom de période
DocType: Loan,Interest Income Account,Compte d'Intérêts Créditeurs
DocType: Bank Transaction,Unreconciled,Non réconcilié
DocType: Shift Type,Allow check-out after shift end time (in minutes),Autoriser le départ après l&#39;heure de fin du quart (en minutes)
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Max benefits should be greater than zero to dispense benefits,Les prestations sociales maximales doivent être supérieures à zéro pour être calculées
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.py,Review Invitation Sent,Examiner l&#39;invitation envoyée
DocType: Shift Assignment,Shift Assignment,Affectation de quart
DocType: Employee Transfer Property,Employee Transfer Property,Propriété des champs pour le transfert des employés
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Equity/Liability Account cannot be blank,Le champ Compte d’équité / de responsabilité ne peut pas être vide
apps/erpnext/erpnext/accounts/doctype/cashier_closing/cashier_closing.py,From Time Should Be Less Than To Time,Du temps devrait être moins que du temps
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Biotechnology,Biotechnologie
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.",L&#39;élément {0} (numéro de série: {1}) ne peut pas être consommé tel quel. Pour remplir la commande client {2}.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Maintenance Expenses,Charges d'Entretien de Bureau
,BOM Explorer,Explorateur de nomenclature
apps/erpnext/erpnext/utilities/user_progress.py,Go to ,Aller à
DocType: Shopify Settings,Update Price from Shopify To ERPNext Price List,Mettre à jour le prix depuis Shopify dans la liste de prix d'ERPNext
apps/erpnext/erpnext/config/help.py,Setting up Email Account,Configuration du Compte Email
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Please enter Item first,Veuillez d’abord entrer l'Article
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Needs Analysis,Analyse des besoins
DocType: Asset Repair,Downtime,Temps d&#39;arrêt
DocType: Account,Liability,Passif
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Le Montant Approuvé ne peut pas être supérieur au Montant Réclamé à la ligne {0}.
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Academic Term: ,Période scolaire:
DocType: Salary Detail,Do not include in total,Ne pas inclure au total
DocType: Quiz Activity,Quiz Activity,Activité de test
DocType: Company,Default Cost of Goods Sold Account,Compte de Coûts des Marchandises Vendues par Défaut
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Sample quantity {0} cannot be more than received quantity {1},La quantité d&#39;échantillon {0} ne peut pas dépasser la quantité reçue {1}
apps/erpnext/erpnext/stock/get_item_details.py,Price List not selected,Liste des Prix non sélectionnée
DocType: Employee,Family Background,Antécédents Familiaux
DocType: Request for Quotation Supplier,Send Email,Envoyer un Email
DocType: Quality Goal,Weekday,Jour de la semaine
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid Attachment {0},Attention : Pièce jointe non valide {0}
DocType: Item,Max Sample Quantity,Quantité maximum d&#39;échantillon
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,No Permission,Aucune Autorisation
DocType: Contract Fulfilment Checklist,Contract Fulfilment Checklist,Liste de vérification de l&#39;exécution des contrats
DocType: Vital Signs,Heart Rate / Pulse,Fréquence Cardiaque / Pouls
DocType: Supplier,Default Bank Account,Compte Bancaire par Défaut
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"To filter based on Party, select Party Type first","Pour filtrer en fonction du Tiers, sélectionnez d’abord le Type de Tiers"
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,'Update Stock' can not be checked because items are not delivered via {0},'Mettre à Jour le Stock' ne peut pas être coché car les articles ne sont pas livrés par {0}
DocType: Vehicle,Acquisition Date,Date d'Aquisition
apps/erpnext/erpnext/regional/italy/utils.py,Nos,N°
DocType: Item,Items with higher weightage will be shown higher,Articles avec poids supérieur seront affichés en haut
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Lab Tests and Vital Signs,Tests de laboratoire et signes vitaux
DocType: Bank Reconciliation Detail,Bank Reconciliation Detail,Détail de la Réconciliation Bancaire
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} must be submitted,Ligne #{0} : L’Article {1} doit être soumis
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,No employee found,Aucun employé trouvé
DocType: Supplier Quotation,Stopped,Arrêté
DocType: Item,If subcontracted to a vendor,Si sous-traité à un fournisseur
apps/erpnext/erpnext/education/doctype/student_group/student_group.js,Student Group is already updated.,Le Groupe d'Étudiants est déjà mis à jour.
apps/erpnext/erpnext/config/projects.py,Project Update.,Mise à jour du projet.
DocType: SMS Center,All Customer Contact,Tout Contact Client
DocType: Location,Tree Details,Détails de l’Arbre
DocType: Marketplace Settings,Registered,Inscrit
DocType: Training Event,Event Status,Statut de l'Événement
DocType: Volunteer,Availability Timeslot,Délai de disponibilité
apps/erpnext/erpnext/config/support.py,Support Analytics,Analyse du Support
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,"If you have any questions, please get back to us.","Si vous avez des questions, veuillez revenir vers nous."
DocType: Cash Flow Mapper,Cash Flow Mapper,Outil de Correspondance des Flux de Trésorerie
DocType: Item,Website Warehouse,Entrepôt du Site Seb
DocType: Payment Reconciliation,Minimum Invoice Amount,Montant Minimum de Facturation
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1} : Le Centre de Coûts {2} ne fait pas partie de la Société {3}
apps/erpnext/erpnext/www/lms/program.py,Program {0} does not exist.,Le programme {0} n&#39;existe pas.
apps/erpnext/erpnext/utilities/user_progress.py,Upload your letter head (Keep it web friendly as 900px by 100px),Téléchargez votre en-tête de lettre (Compatible web en 900px par 100px)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Account {2} cannot be a Group,{0} {1} : Compte {2} ne peut pas être un Groupe
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Timesheet {0} is already completed or cancelled,La Feuille de Temps {0} est déjà terminée ou annulée
DocType: QuickBooks Migrator,QuickBooks Migrator,QuickBooks Migrator
apps/erpnext/erpnext/templates/pages/projects.html,No tasks,Aucune tâche
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Sales Invoice {0} created as paid,Facture de vente {0} créée comme payée
DocType: Item Variant Settings,Copy Fields to Variant,Copier les Champs dans une Variante
DocType: Asset,Opening Accumulated Depreciation,Amortissement Cumulé d'Ouverture
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.js,Score must be less than or equal to 5,Score doit être inférieur ou égal à 5
DocType: Program Enrollment Tool,Program Enrollment Tool,Outil d’Inscription au Programme
apps/erpnext/erpnext/config/accounting.py,C-Form records,Enregistrements Formulaire-C
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The shares already exist,Les actions existent déjà
apps/erpnext/erpnext/config/help.py,Customer and Supplier,Clients et Fournisseurs
DocType: Email Digest,Email Digest Settings,Paramètres pour le Compte Rendu par Email
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Thank you for your business!,Merci pour votre entreprise !
apps/erpnext/erpnext/config/support.py,Support queries from customers.,Demande de support des clients
DocType: Employee Property History,Employee Property History,Historique des propriétés des champs de la fiche employé
apps/erpnext/erpnext/stock/doctype/item/item.py,Variant Based On cannot be changed,Les variantes basées sur ne peuvent pas être modifiées
DocType: Setup Progress Action,Action Doctype,Doctype Action
DocType: HR Settings,Retirement Age,Âge de la Retraite
DocType: Bin,Moving Average Rate,Taux Mobile Moyen
DocType: Share Transfer,To Shareholder,A l'actionnaire
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Bill {1} dated {2},{0} pour la Facture {1} du {2}
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From State,Etat (Origine)
apps/erpnext/erpnext/utilities/user_progress.py,Setup Institution,Configurer l'Institution
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Allocating leaves...,Allocation des congés en cours...
DocType: Program Enrollment,Vehicle/Bus Number,Numéro de Véhicule/Bus
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Contact,Créer un nouveau contact
apps/erpnext/erpnext/education/doctype/course/course.js,Course Schedule,Horaire du Cours
DocType: GSTR 3B Report,GSTR 3B Report,Rapport GSTR 3B
DocType: Request for Quotation Supplier,Quote Status,Statut du Devis
DocType: GoCardless Settings,Webhooks Secret,Secret Webhooks
DocType: Maintenance Visit,Completion Status,État d'Achèvement
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Total payments amount can't be greater than {},Le montant total des paiements ne peut être supérieur à {}
DocType: Daily Work Summary Group,Select Users,Sélectionner les utilisateurs
DocType: Hotel Room Pricing Item,Hotel Room Pricing Item,Article de prix de la chambre d'hôtel
DocType: Loyalty Program Collection,Tier Name,Nom de l'échelon
DocType: HR Settings,Enter retirement age in years,Entrez l'âge de la retraite en années
DocType: Crop,Target Warehouse,Entrepôt Cible
DocType: Payroll Employee Detail,Payroll Employee Detail,Détails de la paie de l'employé
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select a warehouse,Veuillez sélectionner un entrepôt
DocType: Cheque Print Template,Starting location from left edge,Position initiale depuis bord gauche
,Territory Target Variance Based On Item Group,Écart de cible de territoire basé sur un groupe d&#39;articles
DocType: Upload Attendance,Import Attendance,Importer Participation
apps/erpnext/erpnext/public/js/pos/pos.html,All Item Groups,Tous les Groupes d'Articles
DocType: Work Order,Item To Manufacture,Article à produire
DocType: Leave Control Panel,Employment Type (optional),Type d&#39;emploi (facultatif)
DocType: Pricing Rule,Threshold for Suggestion,Seuil de suggestion
apps/erpnext/erpnext/buying/utils.py,{0} {1} status is {2},Le Statut de {0} {1} est {2}
DocType: Water Analysis,Collection Temperature ,Température de collecte
DocType: Employee,Provide Email Address registered in company,Fournir l'Adresse Email enregistrée dans la société
DocType: Shopping Cart Settings,Enable Checkout,Activer Caisse
apps/erpnext/erpnext/config/help.py,Purchase Order to Payment,Du Bon de Commande au Paiement
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Projected Qty,Qté Projetée
DocType: Sales Invoice,Payment Due Date,Date d'Échéance de Paiement
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Reserved Qty: Quantity ordered for sale, but not delivered.","Réservés Quantité: Quantité de commande pour la vente , mais pas livré ."
DocType: Drug Prescription,Interval UOM,UDM d'Intervalle
DocType: Customer,"Reselect, if the chosen address is edited after save","Re-sélectionner, si l'adresse choisie est éditée après l'enregistrement"
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,Qté réservée aux sous-traitants: quantité de matières premières permettant de fabriquer des articles sous-traités.
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant {0} already exists with same attributes,La Variante de l'Article {0} existe déjà avec les mêmes caractéristiques
DocType: Item,Hub Publishing Details,Détails Publiés sur le Hub
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,'Opening','Ouverture'
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open To Do,ToDo ouvertes
DocType: Pricing Rule,Mixed Conditions,Conditions mixtes
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary Saved,Résumé de l&#39;appel enregistré
DocType: Issue,Via Customer Portal,Via le portail client
