Pension Funds,Fons de pensions
Your Suppliers,Els vostres proveïdors
Weightage (%),Ponderació (%)
Inter-State Supplies,Subministraments inter-estatals
Send Payment Request,Envia la sol·licitud de pagament
{0} is not added in the table,{0} no s’afegeix a la taula
Create Student,Crea un estudiant
Gantt chart of all tasks.,Diagrama de Gantt de totes les tasques.
Leave Approvers,Deixa els aprovadors
Materials Required (Exploded),Materials necessaris (explosió)
Repay Over Number of Periods,Reemborsar el nombre de períodes
Receivable,Recibible
Price List must be applicable for Buying or Selling,La llista de preus ha de ser aplicable a la compra o venda
Resend Payment Email,Reenvieu el correu electrònic de pagament
Please set {0} for address {1},Configureu {0} per a l&#39;adreça {1}
Default Source Warehouse,Magatzem de fonts per defecte
Bill,Bill
Duplicate roll number for student {0},Nombre de rotllo duplicat per a l&#39;alumne {0}
Batch {0} of Item {1} has expired.,El lot {0} de l’article {1} ha caducat.
Approved Date,Data aprovada
Item Tax,Impost sobre articles
Cannot transfer Employee with status Left,No es pot transferir l’empleat amb l’estat a l’esquerra
Total Cost,Cost total
Quote Status,Estat de cotització
Qualification,Qualificació
Complaints,Queixes
Is Purchase Item,És un article de compra
Purchase Receipt,Rebut de compra
Trial Period Start Date,Data d&#39;inici del període de prova
Credit Balance,Balanç de crèdit
Payroll Period,Període de nòmina
Supplier database.,Base de dades de proveïdors.
Tax Type,Tipus d’impostos
Move Item,Mou l’ítem
Description of a Job Opening,Descripció d&#39;una obertura de feina
Create Users,Crea usuaris
Current Fiscal Year,Exercici fiscal actual
Hub Warehouse,Magatzem de concentradors
Tax Breakup,Desglossament fiscal
Material Transferred,Transferit de material
You are not authorized to add or update entries before {0},No esteu autoritzat a afegir o actualitzar les entrades abans de {0}
Date of Birth cannot be greater than today.,La data de naixement no pot ser més gran que avui.
Number of serial nos and quantity must be the same,El nombre de serials i la quantitat ha de ser el mateix
Exception Budget Approver Role,Funció de l’aprovació del pressupost d’excepció
In Process,En procés
Send Emails At,Enviar correus electrònics a
Marketplace Error,Error del mercat
Working Days,Dies laborables
Margin Money,Diners del marge
Chapter,Capítol
Current Stock,Stock actual
History In Company,Història a l&#39;empresa
Manufacturer,Fabricant
Moderate Sensitivity,Sensibilitat moderada
Leave Allocation,Abandona l&#39;assignació
Timesheet,Horari
Abbreviation already used for another company,Abreviatura ja utilitzada per a una altra empresa
Please select Patient to get Lab Tests,Seleccioneu Pacient per obtenir proves de laboratori
Advance Paid,Avançat pagat
Load All Criteria,Carrega tots els criteris
Serial Numbers in row {0} does not match with Delivery Note,Els números de sèrie a la fila {0} no coincideixen amb la nota de lliurament
Creditors,Creditors
Raised By,Elevat per
Reference No and Reference Date is mandatory for Bank transaction,El nombre de referència i la data de referència són obligatoris per a la transacció bancària
There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Pot haver-hi múltiples factors de recopilació per nivells basats en el total gastat. Però el factor de conversió per a la redempció serà sempre el mateix per a tots els nivells.
Batch No,Lot núm
Executive Search,Cerca executiva
Stock Adjustment Account,Compte d’ajustament d’imatges
Gross Profit %,Benefici brut %
Request Type,Tipus de sol·licitud
Reminded,Recordat
Billing Address,Adreça de facturació
Mark as Present,Marca com a present
Landed Cost Voucher,Bons de desemborsament
Total working hours should not be greater than max working hours {0},Les hores de treball totals no han de ser superiors a les hores de treball màximes {0}
Customer Addresses And Contacts,Adreces i contactes dels clients
Task Progress,Progrés de la tasca
Opening Entry,Entrada d’obertura
Charges Incurred,Càrrecs incorreguts
Material Transferred for Manufacturing,Material transferit per a fabricació
Hide Variants,Amaga les variants
Disable Capacity Planning and Time Tracking,Desactiva la planificació de la capacitat i el seguiment del temps
* Will be calculated in the transaction.,* Es calcula en la transacció.
{0} not allowed to transact with {1}. Please change the Company.,{0} no es permet realitzar transaccions amb {1}. Canvieu l’empresa.
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Segons els paràmetres de compra si s’exigeix la recepció d’adquisicions == &#39;SÍ&#39;, llavors per crear la factura d’adquisició, l’usuari haurà de crear primer el rebut de compra de l’element {0}."
Delivery Details,Detalls de lliurament
Discharge Scheduled,Descàrrega programada
"Reference: {0}, Item Code: {1} and Customer: {2}","Referència: {0}, Codi de l&#39;article: {1} i client: {2}"
Caution,Precaució
View attachments,Mostra els fitxers adjunts
Allow Production on Holidays,Permetre la producció en vacances
Update Bank Transaction Dates,Actualització de dates de transacció bancària
Reading 4,Lectura 4
"Item {0} has no Serial No. Only serilialized items \
						can have delivery based on Serial No",L’element {0} no té número de sèrie. Només els articles serilitzats poden tenir un lliurament basat en el número de sèrie
Program Course,Curs de programa
Telephone Expenses,Despeses de telèfon
Widow,Vídua
Number of Interaction,Nombre d’interacció
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","Hi ha diverses regles de preus amb els mateixos criteris, resolgui el conflicte assignant prioritat. Regles de preus: {0}"
Cost Center and Budgeting,Centre de costos i pressupostos
Ordered Items To Be Delivered,Articles ordenats a lliurar
Homepage Section Card,Targeta de secció Pàgina inicial
Depreciation,Amortització
Interests,Interessos
Consumed Qty,Quantitat consumida
Education Manager,Responsable d&#39;Educació
Plan time logs outside Workstation Working Hours.,Planifiqueu els registres de temps fora de les hores de treball de les estacions de treball.
Loyalty Points: {0},Punts de fidelitat: {0}
Registration Message,Missatge de registre
Select an account to print in account currency,Seleccioneu un compte per imprimir en la moneda del compte
Serial no item cannot be a fraction,No es pot produir una fracció en sèrie
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,"No es pot suprimir el magatzem, ja que existeix una entrada del llibre per a aquest magatzem."
See past quotations,Vegeu les cites anteriors
Prev,Anterior
Unit of Measure,Unitat de mesura
Test Template,Plantilla de prova
Fertilizer Contents,Continguts de fertilitzants
Minute,Minut
"Row #{0}: Asset {1} cannot be submitted, it is already {2}","La fila # {0}: l’avant {1} no es pot enviar, ja és {2}"
Actual Time (in Hours),Temps real (en hores)
Closing Account Head,Tancant el cap del compte
Shipping Rule,Regla d’enviament
Net Weight,Pes net
Please enter valid Financial Year Start and End Dates,Introduïu les dates d’inici i finalització d’un any financer vàlides
Quantity of Items,Quantitat d’articles
PIN,PIN
Lab testing datetime cannot be before collection datetime,Les proves de laboratori datetime no es poden fer abans de la recopilació datetime
Invoice already created for all billing hours,Factura ja creada per a totes les hores de facturació
Contact Desc,Contacte Desc
Pricing Rules,Normes de preus
Image List,Llista d’imatges
Allow Rename Attribute Value,Permet canviar el nom del valor d’atribut
Price Not UOM Dependant,Preu no depenent de la UOM
Time(in mins),Temps (en minuts)
Basic,Bàsic
Interest Income Account,Compte de renda d’interessos
A condition for a Shipping Rule,Una condició per a una regla d’enviament
Payroll Period Date,Data del període de nòmina
Employment Type,Tipus d&#39;ocupació
Select POS Profile,Seleccioneu el perfil de punt de venda
Get Latest Query,Obtingui les últimes consultes
Employee Incentive,Incentius per a empleats
Add cards or custom sections on homepage,Afegiu targetes o seccions personalitzades a la pàgina d&#39;inici
Hero Section Based On,Secció d’heroi basada en
Total Purchase Cost (via Purchase Invoice),Cost total de compra (mitjançant factura de compra)
Total Estimated Cost,Cost estimat total
"Sales, Purchase, Accounting Defaults","Vendes, compra, valors predeterminats de comptabilitat"
Requesting payment against {0} {1} for amount {2},Sol·licitud de pagament contra {0} {1} per la quantitat {2}
Please set the Item Code first,"Si us plau, establiu primer el codi d&#39;ítem"
Due Date Based On,Data de venciment basada en
Incoming,Entrant
Partially Ordered,Ordenat parcialment
Customer's Purchase Order No,Ordre de compra del client núm
Select Alternate Item,Seleccioneu un element alternatiu
Applicable Holiday List,Llista de vacances aplicable
Hub Tracked Item,Element de seguiment del concentrador
Service Details,Detalls del servei
Is Featured,Està present
Don't send Employee Birthday Reminders,No envieu recordatoris d’aniversari per a empleats
Maintain Same Rate Throughout Sales Cycle,Manteniu la mateixa taxa durant el cicle de vendes
Transportation,Transport
Date TIme,Data i hora
Please select quantity on row ,Seleccioneu la quantitat a la fila
Earning Component,Guanyar component
Please select Company first,Seleccioneu primer l’empresa
Publish Item to hub.erpnext.com,Publica el document a hub.erpnext.com
Join,Uneix-te
Set rate of sub-assembly item based on BOM,Estableix el percentatge d’element de subconjunt basat en la llista de materials
Wheels,Rodes
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Grup d’agregats de ** elements ** en un altre ** ítem **. Això és útil si esteu agrupant un determinat ** articles ** en un paquet i manteniu l’estoc dels ** Emmagatzemats ** articles i no l’ampli ** article **. El paquet ** ítem ** tindrà &quot;És un article en acció&quot; com &quot;No&quot; i &quot;Es tracta de venda&quot; com &quot;Sí&quot;. Per exemple: si esteu venent ordinadors portàtils i motxilles per separat i teniu un preu especial si el client compra tots dos, llavors el portàtil + la motxilla serà un nou element de paquets de productes. Nota: BOM = Factura de materials"
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Ja existeix un altre registre del pressupost &quot;{0}&quot; contra {1} &#39;{2}&#39; i el compte &#39;{3}&#39; per a l&#39;exercici {4}
