Pension Funds,Pensiju fondi
Reminder to update GSTIN Sent,"Atgādinājums, lai atjauninātu GSTIN Sent"
Select Days,Izvēlieties dienas
Next Contact By cannot be same as the Lead Email Address,Nākamais kontakts nevar būt tāds pats kā galvenā e-pasta adrese
To Package No.,Uz paketes Nr.
Course Name,Kursa nosaukums
Serial no is required for the asset {0},Sertifikāta numurs ir nepieciešams {0}
Maintenance,Uzturēšana
Validate Selling Price for Item against Purchase Rate or Valuation Rate,Apstipriniet pārdošanas cenu pozīcijai pret pirkuma likmi vai vērtēšanas likmi
The following Work Orders were created:,Tika izveidoti šādi darba uzdevumi:
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
IFSC Code,IFSC kods
Mode of Payment,Maksājuma veids
Tax Amount After Discount Amount,Nodokļa summa pēc atlaižu summas
Get Suppliers By,Saņemt piegādātājus
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","Rinda {0}: lai iestatītu {1} periodiskumu, atšķirībai starp un līdz šim jābūt lielākai vai vienādai ar {2}"
Valuation Rate,Vērtēšanas likme
Default settings for Shopping Cart,Iepirkumu grozu noklusējuma iestatījumi
Capacity Planning,Jaudas plānošana
Go to Instructors,Dodieties uz instruktoriem
Supplier &gt; Supplier Type,Piegādātājs&gt; Piegādātāja veids
Projects,Projekti
Barcode Type,Svītrkodu tips
Incentive Amount,Stimulējošā summa
"To set this Fiscal Year as Default, click on 'Set as Default'","Lai iestatītu šo fiskālo gadu kā noklusējumu, noklikšķiniet uz &quot;Iestatīt kā noklusējumu&quot;"
II,II
From Time,No laika
Variant Details Report,Variantu detaļu pārskats
For Buying,Pirkšanai
Slots for {0} are not added to the schedule,Laiks {0} netiek pievienots grafikam
Target Distribution,Mērķa izplatīšana
Staffing Plan Details,Personāla plānu detaļas
Account {0} is invalid. Account Currency must be {1},Konts {0} nav derīgs. Konta valūtai jābūt {1}
Rule Description,Noteikumu apraksts
Total Estimated Distance,Kopējais aprēķinātais attālums
Lost Reason,Aizmirsts iemesls
Make Depreciation Entry,Veikt nolietojuma ierakstu
Serial nos {0} does not belongs to the location {1},Sērijas numurs {0} neattiecas uz atrašanās vietu {1}
Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Loma atļauts iestatīt saldētus kontus un rediģēt saldētus ierakstus
Health Concerns,Veselības problēmas
Company Info,Uzņēmuma informācija
Activity Cost,Darbības izmaksas
Payment Order,Maksājuma rīkojums
Pricing,Cenu noteikšana
Item Delivery Date,Vienuma piegādes datums
Warehouse and Reference,Noliktava un atsauce
Account with child nodes cannot be converted to ledger,Kontu ar bērnu mezgliem nevar pārvērst par virsgrāmatu
Clay Composition (%),Māla sastāvs (%)
BOM No. for a Finished Good Item,BOM Nr. Gatavā labā priekšmetā
User Remark,Lietotāja piezīme
Your order is out for delivery!,Jūsu pasūtījums nav pieejams!
"Payment Type must be one of Receive, Pay and Internal Transfer","Maksājuma veidam jābūt vienam no saņemšanas, maksāšanas un iekšējiem pārskaitījumiem"
Payroll Settings,Algas iestatījumi
GST HSN Code,GST HSN kods
Period Closing Voucher,Perioda slēgšanas kupons
Guardian2 Name,Guardian2 nosaukums
Please enter Expense Account,"Lūdzu, ievadiet izdevumu kontu"
Resignation Letter Date,Atteikšanās vēstules datums
Sandy Clay,Sandy Clay
Attendance To Date,Dalība datumā
Loan Start Date,Aizdevuma sākuma datums
Consumable Cost,Patēriņa izmaksas
Encashment,Inkasācija
Income From Other Sources,Ienākumi no citiem avotiem
Produced Items,Ražoti vienumi
Approval Status must be 'Approved' or 'Rejected',Apstiprinājuma statusam jābūt &quot;Apstiprināts&quot; vai &quot;Noraidīts&quot;
View Now,Skatīt tūlīt
Valid Upto,Valid Upto
Reference Doctype must be one of {0},Atsauces dokumenta tipam jābūt {0}
Transaction Currency,Darījuma valūta
Repayment Schedule,Atmaksas grafiks
Create Sample Retention Stock Entry,Izveidot parauga saglabāšanas krājumu ierakstu
Set as Open,Iestatiet kā Atvērt
Requested Qty,Pieprasītais daudzums
Apply Discount On,Lietot atlaidi
Reserved for sub contracting,Rezervēts apakšlīgumiem
Item variant {0} exists with same attributes,Vienības variants {0} pastāv ar tādiem pašiem atribūtiem
Membership Type,Dalības veids
Will show the student as Present in Student Monthly Attendance Report,Parādīs studentam kā klāt studentu ikmēneša apmeklējuma ziņojumā
Minimum Lead Age (Days),Minimālais svina vecums (dienas)
Delivery Note Series,Piegādes piezīmju sērija
Mandatory field - Academic Year,Obligāts lauks - akadēmiskais gads
Fuel Price,Degvielas cena
Mode of Travel,Ceļojuma veids
Special Test Items,Speciālie pārbaudes priekšmeti
Edit Posting Date and Time,Rediģēt publicēšanas datumu un laiku
Not Billed,Nav norēķinu
Employee Transfer Detail,Detalizēta informācija par darbinieku pāreju
Task Completion,Uzdevumu pabeigšana
Webhook ID,Webhook ID
Travel Expenses,Ceļa izdevumi
Future dates not allowed,Nākotnes datumi nav atļauti
Varaiance ,Varaiance
Row {0}: Please set the Mode of Payment in Payment Schedule,"Rinda {0}: lūdzu, iestatiet maksājuma veidu maksājumu grafikā"
Academic Term: ,Akadēmiskais termiņš:
Please select Apply Discount On,"Lūdzu, atlasiet Lietot atlaidi"
Row # {0}: ,# {0} rinda:
Total Payments,Kopējie maksājumi
Please enter Account for Change Amount,"Lūdzu, ievadiet kontu maiņas summai"
Tax Withholding Account,Nodokļu ieturējuma konts
Stock Received But Not Billed,"Krājumi saņemti, bet nav iekļauti"
Please add the account to root level Company - %s,"Lūdzu, pievienojiet kontu saknes līmeņa uzņēmumam -% s"
Collected By,Apkopo
Notify by Email on creation of automatic Material Request,Paziņot pa e-pastu par automātiska materiāla pieprasījuma izveidi
Downtime,Dīkstāves
Cost Center Number,Izmaksu centra numurs
Applicable for external driver,Piemērojams ārējam draiverim
Start on,Sākt
Payment Due Date,Maksājuma termiņš
"If this item has variants, then it cannot be selected in sales orders etc.","Ja šim vienumam ir varianti, tad to nevar atlasīt pārdošanas pasūtījumos utt."
Following course schedules were created,Tika izveidoti sekojoši kursu grafiki
Timesheet created:,Izveidots laika kontrolsaraksts:
Open BOM {0},Atvērt BOM {0}
Transfered,Nodots
Credit To account must be a Payable account,Kredītam kontam jābūt maksājamam kontam
Item Attribute,Vienuma atribūts
Goal and Procedure,Mērķis un procedūra
Frequency of Depreciation (Months),Nolietojuma biežums (mēneši)
Real Estate,Nekustamais īpašums
Parents Teacher Meeting Attendance,Vecāku skolotāju tikšanās apmeklējums
Employee Grade,Darbinieku pakāpe
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Kopā {0} visiem vienumiem ir nulle, var būt jāmaina “Izmaksu sadalīšana, pamatojoties uz”"
Time Sheet,Laika lapa
Late Checkin,Late Checkin
Costing and Billing,Izmaksas un norēķini
Total Outgoing,Kopā izejošie
A Default Service Level Agreement already exists.,Līgums par noklusējuma pakalpojumu jau pastāv.
If more than one package of the same type (for print),Ja vairāk nekā viena veida iepakojums (drukāšanai)
Please select Company and Posting Date to getting entries,"Lūdzu, izvēlieties uzņēmumu un publicēšanas datumu, lai iegūtu ierakstus"
Default Currency,Noklusējuma valūta
Packing List,Iepakošanas saraksts
Secretary,Sekretārs
Gluten Free,Nesatur glutēnu
Hub Node,Hub mezgls
Employee ID,darbinieka ID
Salary Structure Assignment,Algu struktūras piešķiršana
POS Closing Voucher Taxes,POS slēgšanas kuponu nodokļi
Action Initialised,Darbība ir inicializēta
Applicable for Users,Piemērojams lietotājiem
Exam,Eksāmens
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,"Atrasts nepareizs ģenerālgrāmatu ierakstu skaits. Iespējams, ka esat atlasījis nepareizu kontu."
Sales Pipeline,Pārdošanas cauruļvads
Leaderboard,Leaderboard
Inter Company Account,Starpuzņēmumu konts
Closed order cannot be cancelled. Unclose to cancel.,"Slēgto pasūtījumu nevar atcelt. Atcelt, lai atceltu."
{0} {1} does not exist,{0} {1} nepastāv
Planned number of Positions,Plānoto pozīciju skaits
Maintenance Status has to be Cancelled or Completed to Submit,"Apkopes statuss ir jāatceļ vai jāpabeidz, lai to iesniegtu"
Please select customer,"Lūdzu, atlasiet klientu"
Round Off,Noapaļot
Conditions will be applied on all the selected items combined. ,Nosacījumi tiks piemēroti visiem atlasītajiem vienumiem.
Configure,Konfigurēt
Capacity,Jauda
Installed Qty,Instalētais daudzums
Batch {0} of Item {1} is disabled.,Partija {0} no vienuma {1} ir atspējota.
Hotel Reservation User,Viesnīcas rezervācijas lietotājs
Workday has been repeated twice,Darba diena ir atkārtota divas reizes
Item Group not mentioned in item master for item {0},"Vienuma grupa, kas nav pieminēta vienuma kapteiņā vienumam {0}"
Name error: {0},Nosaukuma kļūda: {0}
Territory is Required in POS Profile,Teritorija ir nepieciešama POS profilā
Service End Date,Pakalpojuma beigu datums
Quotation,Citāts
Exchange Rate must be same as {0} {1} ({2}),Valūtas kursam jābūt tādam pašam kā {0} {1} ({2})
Holiday List (ignored during SLA calculation),Brīvdienu saraksts (ignorēts SLA aprēķinā)
Student Admission Program,Studentu uzņemšanas programma
Account {0}: Parent account {1} can not be a ledger,Konts {0}: vecāku konts {1} nevar būt virsgrāmata
% of materials billed against this Sales Order,"% no materiāliem, kas tiek iekasēti pret šo pārdošanas pasūtījumu"
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Maksājuma vārtejas konts plānā {0} atšķiras no maksājuma vārda konta šajā maksājuma pieprasījumā
Subcontracted Item,Apakšuzņēmuma punkts
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,"Kredīta sākuma datums un aizdevuma periods ir obligāti, lai saglabātu rēķina diskontēšanu"
Default receivable accounts to be used if not set in Patient to book Appointment charges.,"Noklusējuma debitoru konti, kas jāizmanto, ja tie nav noteikti pacientam, lai rezervētu iecelšanas izdevumus."
Students HTML,Studentu HTML
Student Guardian,Studentu aizbildnis
GoCardless Settings,Bezapmaksas iestatījumi
Transport Receipt Date,Transporta saņemšanas datums
Show Opening Entries,Rādīt atvēršanas ierakstus
Heart Rate / Pulse,Sirdsdarbība / pulss
All Assessment Groups,Visas vērtēšanas grupas
Asset Name,Aktīva nosaukums
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Var būt tikai viens piegādes noteikumu nosacījums ar 0 vai tukšo vērtību &quot;vērtība&quot;
Optimizing routes.,Maršrutu optimizēšana.
Shopify Tax/Shipping Title,Shopify Tax / Shipping Title
To date can not be equal or less than from date,Līdz šim nevar būt vienāds vai mazāks par datumu
You added ,Jūs pievienojāt
Total Score,Kopējais rezultāts
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Ja esat izveidojis standarta veidni pārdošanas nodokļu un maksājumu veidnē, izvēlieties vienu un noklikšķiniet uz tālāk redzamās pogas."
Cost Center,Izmaksu centru
Total allocated percentage for sales team should be 100,Kopējai pārdošanas komandas procentuālajai daļai jābūt 100
"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}","Nevar piegādāt vienuma {1} sērijas numuru {0}, jo tas ir rezervēts, lai aizpildītu pārdošanas pasūtījumu {2}"
Payment Entry has been modified after you pulled it. Please pull it again.,"Maksājuma ieraksts ir mainīts pēc tam, kad esat to izvilkis. Lūdzu, velciet to vēlreiz."
Bio / Cover Letter,Bio / vāka vēstule
Stock Value Difference,Akciju vērtības atšķirība
Academic Year Name,Akadēmiskā gada nosaukums
Bank Accounts,Bankas konti
The Payment Term at row {0} is possibly a duplicate.,"Maksājuma termiņš rindā {0}, iespējams, ir dublikāts."
Unblock Invoice,Atbloķēt rēķinu
Percentage,Procenti
Sensitivity Test Items,Jutīguma pārbaudes vienumi
To make Customer based incentive schemes.,Veicināt klientu motivācijas shēmas.
Purchase Register,Pirkumu reģistrs
Schedule Date,Kalendāra datums
Package Weight Details,Iepakojuma svars
Job Opening,Darba atvēršana
Actual Cost,Faktiskās izmaksas
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),Kopējais avanss ({0}) pret pasūtījumu {1} nevar būt lielāks par Grand Total ({2})
Item Variants updated,Atjaunināti vienuma varianti
Batch Number Series,Partijas numuru sērijas
Open Projects,Atvērtie projekti
Import Delivery Notes from Shopify on Shipment,Importēt piegādes piezīmes no Shopify sūtījumā
Token Endpoint,Token Endpoint
List a few of your suppliers. They could be organizations or individuals.,Uzskaitiet dažus piegādātājus. Tie varētu būt organizācijas vai indivīdi.
MWS Credentials,MWS sertifikāti
Shopping Cart Settings,Iepirkumu grozu iestatījumi
Enable Deferred Revenue,Iespējojiet atliktos ieņēmumus
Managing Projects,Projektu vadīšana
Message Sent,Ziņa nosūtīta
Same item has been entered multiple times. {0},Viens un tas pats vienums ir ievadīts vairākas reizes. {0}
Margin,Marža
{0} '{1}' not in Fiscal Year {2},{0} &#39;{1}&#39; nav fiskālajā gadā {2}
Fee Structure,Maksas struktūra
Variant Attributes,Variantu atribūti
Confirmation Date,Apstiprinājuma datums
Please set a default Holiday List for Employee {0} or Company {1},"Lūdzu, iestatiet noklusējuma brīvdienu sarakstu darbiniekam {0} vai uzņēmumam {1}"
Job Applicant Source,Darba pieteikuma iesniedzēja avots
Opening Invoice Creation Tool,Rēķinu izveides rīka atvēršana
Account {0} does not exist,Konts {0} nepastāv
Ignore Existing Ordered Qty,Ignorēt esošo pasūtīto daudzumu
Lead Time Date,Svina laika datums
Accounts Receivable Summary,Debitoru parādu kopsavilkums
Available-for-use Date,Izmantošanai paredzētais datums
Employee record is created using selected field. ,"Darbinieku ieraksts tiek izveidots, izmantojot atlasīto lauku."
"Row #{0}: Reference Document Type must be one of Purchase Order, Purchase Invoice or Journal Entry","Rinda Nr. {0}: atsauces dokumenta tipam jābūt vienam no pirkuma pasūtījuma, pirkuma rēķina vai žurnāla ieraksta"
Type of Payment,Maksājuma veids
Leave the field empty to make purchase orders for all suppliers,"Atstājiet lauku tukšu, lai veiktu pirkuma pasūtījumus visiem piegādātājiem"
Item {0} ignored since it is not a stock item,"{0} postenis tiek ignorēts, jo tas nav akciju postenis"
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Klienta nodrošinātajam vienumam&quot; nevar būt vērtēšanas likme
Clay,Māls
"{0} currently has a {1} Supplier Scorecard standing, and Purchase Orders to this supplier should be issued with caution.","{0} šobrīd ir {1} piegādātāja rezultātu kartes statuss, un pasūtījumu pasūtīšana šim piegādātājam jāizsniedz piesardzīgi."
