Pension Funds,연금 기금
Delivery Warehouse,배달 창고
Enable Shopify,Shopify 사용
Additional information regarding the patient,환자에 관한 추가 정보
Purchase Receipts,구매 영수증
New Employee,신입 사원
Update Auto Repeat Reference,자동 반복 참조 업데이트
Fees,수수료
Student Group Name,학생 그룹 이름
Employee,종업원
Available-for-use Date should be after purchase date,사용 가능 날짜는 구매 날짜 이후 여야합니다.
Please define grade for Threshold 0%,임계 값 0 %의 등급을 정의하십시오.
"Apps using current key won't be able to access, are you sure?",현재 키를 사용하는 앱은 액세스 할 수 없습니다. 확실합니까?
Minutes,의사록
Correct,옳은
Total Declared Amount,총 신고 금액
Material,자료
Is Inpatient,입원 환자인가
Encashment Amount,납부 금액
Conversion Rate,전환율
CEO,최고 경영자
Set tasks in this project as cancelled?,이 프로젝트의 작업을 취소 된 것으로 설정 하시겠습니까?
Reserved Qty for sub contract,하위 계약의 예약 수량
Create Payment Entry,지불 항목 생성
Submit Proof,증명 제출
Credit Months,신용 월
Providing,제공
Total Billing Amount,총 청구 금액
Maintenance Visit,유지 보수 방문
Country of Origin,원산지 국가
Agriculture Analysis Criteria,농업 분석 기준
Additional Salary Component Exists.,추가 급여 구성 요소가 있습니다.
Grocery,잡화
Minimum Seating,최소 좌석 수
Furry,모피
"Can not filter based on Account, if grouped by Account",계정별로 그룹화 된 경우 계정을 기준으로 필터링 할 수 없습니다.
Bank Entries,은행 엔트리
Sandy Clay Loam,샌디 클레이 소주
LInked Analysis,LInked 분석
Valid From Date must be lesser than Valid Upto Date.,Valid From Date는 Valid Upto Date보다 작아야합니다.
Salary Component,급여 구성 요소
Maintenance Team Members,유지 보수 팀원
Minimum Age,최소 연령
Available Selling,판매 가능
Taxes and Charges Deducted,공제 세금 및 수수료
Create Lab Test,실험실 테스트 만들기
Hotel Settings,호텔 설정
Select Transaction,거래 선택
Declare Lost,분실 선언
If different than customer address,고객 주소와 다른 경우
Chart Tree,차트 트리
Contract,계약
Please select the Multiple Tier Program type for more than one collection rules.,하나 이상의 수금 규칙에 대해 여러 등급 프로그램 유형을 선택하십시오.
{0} for {1},{1}에 대한 {0}
For Quantity (Manufactured Qty) is mandatory,수량 (제조 수량)은 필수 항목입니다.
"e.g. ""Primary School"" or ""University""",예 : &quot;초등학교&quot;또는 &quot;대학&quot;
Apply Multiple Pricing Rules,여러 가격 책정 규칙 적용
Review Invitation Sent,보낸 초대장 검토
No of Months,수개월
Serial Nos Required for Serialized Item {0},직렬화 된 항목 {0}에 필요한 일련 번호
Bill of Materials (BOM),BOM (Bill of Materials)
Allow Stale Exchange Rates,부실 환율 허용
Website Description,웹 사이트 설명
Expense Details,경비 세부 사항
From Range has to be less than To Range,범위에서 범위보다 작아야합니다.
Products to be shown on website homepage,홈페이지 홈페이지에 게재 할 제품
Is Master Data Processed,마스터 데이터 처리 여부
Quantity  that must be bought or sold per UOM,UOM 당 매매해야하는 수량
Total Sales Amount (via Sales Order),총 판매 금액 (판매 오더를 통해)
Box,상자
Default Cost Center,기본 코스트 센터
Billed Amt,청구 금액
Please set default {0} in Company {1},{1} 회사에서 기본값 {0}을 (를) 설정하십시오.
Distance from left edge,왼쪽 가장자리로부터의 거리
Item 4,항목 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",{0} {1}에 대해 지불 한 대출은 총계 {2}보다 클 수 없습니다.
Income Account,소득 계정
All Warehouses,모든 창고
Signee Details,서명자 세부 정보
Procurement,획득
Check this if you want to show in website,웹 사이트에 표시하려면이 항목을 선택하십시오.
Fiscal Year {0} not found,회계 연도 {0}을 (를) 찾을 수 없습니다.
Bank Statement Settings,은행 계좌 명세서 설정
Score (0-5),점수 (0-5)
Attribute {0} selected multiple times in Attributes Table,특성 테이블에서 특성 {0}이 (가) 여러 번 선택되었습니다.
Debit Note Issued,직불 카드 발행
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",&quot;재고 품목&quot;이 &quot;아니오&quot;이고 &quot;판매 품목&quot;이 &quot;예&quot;이고 다른 제품 번들이없는 품목을 선택하십시오.
Employee {0} of grade {1} have no default leave policy,{1} 학년의 {0} 직원은 기본 휴가 정책이 없습니다.
Leave Policy Detail,정책 세부 정보 남기기
Warehouse not found in the system,시스템에 창고가 없습니다.
OP Consulting Charge,영업 컨설팅 담당
Measurable Goal,측정 가능한 목표
Invoices,인보이스
Currency Exchange,환전소
Fortnightly,격주로
Serial No {0} not in stock,일련 번호가 {0}에 없습니다.
"Material Request not created, as quantity for Raw Materials already available.",자재 요청이 이미 생성 된 원시 재료 수량으로 생성되지 않았습니다.
Creation User,생성 사용자
"Record of all communications of type email, phone, chat, visit, etc.","이메일, 전화, 채팅, 방문 등 모든 유형의 통신 기록"
Asset Settings,자산 설정
Worked On Holiday,휴일 근무
Either location or employee must be required,위치 또는 직원이 필요합니다.
Item {0} is cancelled,{0} 항목이 취소되었습니다.
Course End Date,코스 종료 날짜
Opportunity From field is mandatory,기회는 필수 입력란입니다.
Warning: Leave application contains following block dates,경고 : 응용 프로그램을 종료하면 다음 차단 날짜가 포함됩니다.
Preventive Maintenance,예방 정비
Institute Abbreviation,연구소 약어
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry",이 주식 조정은 개시 항목이므로 차이 계정은 자산 / 책임 유형 계정이어야합니다.
Contract End Date must be greater than Date of Joining,계약 종료 날짜는 가입 날짜보다 커야합니다.
Default Leave Policy,기본 휴가 정책
Select Users,사용자 선택
Net Hour Rate,순 시간 요금
Age,나이
Event Details,일정 세부 정보
Accumulated Monthly,누적 월간
Save the document first.,먼저 문서를 저장하십시오.
Update Cost,비용 업데이트
Fully Delivered,완전히 전달 된
Please enter company first,먼저 회사를 입력하십시오.
Confirmed orders from Customers.,고객의 주문 확인.
Dosage Strength,투약 강도
Fill the form and save it,양식을 채우고 저장하십시오.
Enrollment Details,등록 세부 정보
Subscription Invoice,구독 송장
Total Leaves Encashed,총 나뭇잎 수
Verified By,에 의해 인증받은
Get Invoices,인보이스 받기
Settled,안정된
Re-open,다시 열다
Closing Fiscal Year,회계 연도 마감
Release Date,출시일
Advances,진보
Specify conditions to calculate shipping amount,운송 금액을 계산하기위한 조건 지정
Technology,과학 기술
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',청구 유형이 &#39;이전 행 금액&#39;또는 &#39;이전 행 합계&#39;인 경우에만 행을 참조 할 수 있습니다.
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",선택하면 Total no. 근무일 기준 공휴일에는 공휴일이 포함되며 이는 월급의 값을 줄입니다.
Location Name,위치 명
{0} {1}: Account {2} does not belong to Company {3},{0} {1} : 계정 {2}이 (가) 회사 {3}에 속해 있지 않습니다.
Remaining Benefits (Yearly),남은 이익 (매년)
Depreciation Start Date,감가 상각 시작일
Billing Rate,청구 비율
Warning: Another {0} # {1} exists against stock entry {2},경고 : 재고 항목 {2}에 대해 다른 {0} # {1}이 (가) 있습니다.
Please enable Google Maps Settings to estimate and optimize routes,경로를 추정하고 최적화하려면 Google지도 설정을 사용하십시오.
Max Score,최대 점수
Repayment Start Date cannot be before Disbursement Date.,상환 시작일은 지급일 이전 일 수 없습니다.
Support Search Source,지원 검색 소스
Financial Services,금융 서비스
Availability,유효성
Tree of Procedures,절차 트리
Allow Item to be added multiple times in a transaction,트랜잭션에서 항목을 여러 번 추가하도록 허용
{0} {1} is not submitted,{0} {1}이 (가) 제출되지 않았습니다.
Backflush raw materials from work-in-progress warehouse,재 진행중인 창고에서 원료를 백 플러시합니다.
Maintenance Team Member,유지 보수 팀원
The minimum distance between rows of plants for optimum growth,최적 성장을위한 식물의 줄 사이의 최소 거리
Health Insurance Name,건강 보험 이름
Stock Assets,주식 자산
Further cost centers can be made under Groups but entries can be made against non-Groups,추가 코스트 센터는 그룹으로 만들 수 있지만 비 그룹에 대해 항목을 만들 수 있습니다.
Upper Income,상층 소득
Discount Allowed Account,할인 된 계정
Restart Subscription,구독 다시 시작
You can not change rate if BOM mentioned agianst any item,BOM에서 모든 항목에 대해 언급 한 경우 요금을 변경할 수 없습니다.
Please login as another user to register on Marketplace,마켓 플레이스에 등록하려면 다른 사용자로 로그인하십시오.
Insurance Details,보험 세부 사항
Past Due Date,연체 기한
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",모회사 인 {4}에 대한 인력 계획 {3}에 따라 {0} 공석까지만 계획하고 예산을 {1} / {2}로 할 수 있습니다.
No GST No. found for the Company.,회사에 GST 번호가 없습니다.
From Pin Code,핀 코드에서
Signed On,서명 됨
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1} : {2}의 회계 입력은 통화로만 가능합니다 : {3}
Assessment Criteria,평가 기준
Is Billable,청구 가능
User must always select,사용자는 항상 선택해야합니다.
Compensatory leave request days not in valid holidays,유효한 휴가가 아닌 보상 휴가 요청 일
Sum of points for all goals should be 100. It is {0},모든 목표에 대한 점수의 합은 100이어야합니다. {0}
Scrap Items,스크랩 항목
Result Component,결과 구성 요소
Please mention Basic and HRA component in Company,회사의 기본 및 HRA 구성 요소를 언급하십시오.
{0} does not belong to Company {1},{0}은 (는) 회사 {1}에 속해 있지 않습니다.
Half Day Date,반나절 날짜
Billing Address Name,청구서 수신 주소 이름
GST Itemised Purchase Register,GST 품목별 구매 등록부
Alternate Item,대체 품목
Name of Applicant,신청자 성명
Earned Leave,수입 남김
June,유월
Row {0}: Cost center is required for an item {1},행 {0} : 항목 {1}에 코스트 센터가 필요합니다.
Can be approved by {0},{0} 님이 승인 할 수 있습니다.
Unit of Measure {0} has been entered more than once in Conversion Factor Table,측정 단위 {0}이 (가) 전환 요소 표에 두 번 이상 입력되었습니다.
Net Rate (Company Currency),순 요율 (회사 통화)
All BOMs,모든 BOM
Days for which Holidays are blocked for this department.,이 부서에서 공휴일을 차단 한 날.
"Cannot Submit, Employees left to mark attendance","제출할 수 없음, 직원의 출석 표시 남음"
Quality Inspection Template,품질 검사 템플릿
Result Datetime,결과 날짜 시간
Valuation,평가
Student Monthly Attendance Sheet,학생 월간 출석 표
Term End Date,임기 종료일
Child Docname,하위 문서 이름
Services,서비스
Cannot set quantity less than received quantity,수량을 수령 한 양보다 적게 설정할 수 없습니다.
Supplier Part Number,공급 업체 부품 번호
