Pension Funds,Pensionsmidler
Emails salary slip to employee based on preferred email selected in Employee,E-mails løn til medarbejder baseret på foretrukne e-mail valgt i Medarbejder
Asset Depreciation Cost Center,Asset Depreciation Cost Center
Address Desc,Adresse Desc
Enable Sync,Aktivér synkronisering
Approved,godkendt
From Date should be within the Fiscal Year. Assuming From Date = {0},Fra Dato skal være inden for Skatteåret. Forudsat fra dato = {0}
Please Set Supplier Group in Buying Settings.,Indstil leverandørgruppe i indkøbsindstillinger.
Temporary Opening Account,Midlertidig åbningskonto
Cash/Bank Account,Kontant / bankkonto
Quality Meeting Table,Kvalitetsmødetabel
The Term Start Date cannot be earlier than the Year Start Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Termens startdato kan ikke være tidligere end årets startdato for det akademiske år, som termen er knyttet til (akademisk år {}). Ret venligst datoerne og prøv igen."
Ageing Range 1,Aging Range 1
Tax Exemption Proofs,Skattefritagelse bevis
Price List Currency,Prisliste Valuta
Batch: ,Parti:
Total Advance,Total Advance
Emergency Phone,Nødtelefon
Check Out,Check ud
Loan Period,Låneperiode
Conversion Factor,Konverteringsfaktor
Operating Cost(Company Currency),Driftsomkostninger (Virksomhedsvaluta)
"Settings for online shopping cart such as shipping rules, price list etc.","Indstillinger for online indkøbskurv som fragtregler, prisliste mv."
Edit Publishing Details,Rediger udgivelsesoplysninger
Soil Texture Criteria,Kriterier for jordstruktur
Select Department...,Vælg afdelingen ...
Currency should be same as Price List Currency: {0},Valuta bør være den samme som Prisliste Valuta: {0}
Row #{0}: Please specify Serial No for Item {1},Række nr. {0}: Angiv serienummer for vare {1}
Minimum Permissible Value,Mindste tilladelige værdi
Source Warehouse Address,Source Warehouse Address
Compensatory Leave Request,Kompenserende Forladelsesforespørgsel
Mobile No.,Mobil nummer.
July,juli
Eligible ITC,Støtteberettigede ITC
Density (if liquid),Tæthed (hvis væske)
External Work History,Eksternt arbejde historie
Outgoing,Udgående
Add Quote,Tilføj citat
Discharge,udledning
MWS Auth Token,MWS Auth Token
"Food, Beverage & Tobacco","Mad, drikkevarer og tobak"
Course Schedule,Kursusplan
Item Wise Tax Detail,Varebeskrivelse
Supplies made to UIN holders,Forsyninger til UIN indehavere
Request for Quotations,Anmodning om tilbud
Currency can not be changed after making entries using some other currency,"Valuta kan ikke ændres, når du har foretaget poster med en anden valuta"
Cannot set quantity less than delivered quantity,Kan ikke indstille mængde mindre end leveret mængde
Bank/Cash transactions against party or for internal transfer,Bank / Kontant transaktioner mod part eller intern overførsel
Disabled template must not be default template,Deaktiveret skabelon må ikke være standardskabelon
Mark Absent,Markér fraværende
Statistical Component,Statistisk komponent
Reserved Quantity,Reserveret mængde
Insurance Company,Forsikringsselskab
Note: Item {0} entered multiple times,Bemærk: Punkt {0} er indtastet flere gange
Collection Datetime,Samling Datetime
Total Achieved,I alt opnået
Topic,Emne
Promotion Date,Kampagnedato
Account Details,konto detaljer
Allow user to edit Rate,Tillad brugeren at redigere Rate
Result Emailed,Resultat sendt
View Leads,Se ledninger
Visited yet,Besøgt endnu
Terms,Betingelser
Disbursed Amount cannot be greater than Loan Amount {0},Udbetalt Beløb kan ikke være større end Lånbeløb {0}
Issued,Udstedt
Schedule Admission,Planlægning Adgang
No contacts added yet.,Ingen kontakter tilføjet endnu.
Create Print Format,Opret udskriftsformat
Policy number,Policenummer
Against Voucher,Mod Voucher
Payment Reference,Betalings reference
Student Mobile No.,Student Mobil Nr.
Cheque Print Template,Kontroller udskriftsskabelon
For how much spent = 1 Loyalty Point,For hvor meget brugt = 1 Loyalty Point
Email Digest: ,Email Digest:
Show Inclusive Tax In Print,Vis inklusiv skat i tryk
Include All Assessment Group,Inkluder alle vurderingsgrupper
Employee Benefits,Medarbejder fordele
This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?,Dette dokument er over grænsen ved {0} {1} for punkt {4}. Gør du endnu {3} mod det samme {2}?
Is Optional Leave,Er Valgfri Forladelse
Is Finance Cost,Er finansiering omkostninger
Doors,Døre
Customer Settings,Kundeindstillinger
Include Exploded Items,Inkluder eksplosive elementer
Evaluate,Vurdere
Is Free Item,Er gratis vare
Total Present,I alt Til stede
Is Item from Hub,Er vare fra nav
Quality Procedure.,Kvalitetsprocedure.
No of Shares,Antal aktier
Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),Række {0}: Antal ikke tilgængelig for {4} i lager {1} ved bogføringstidspunktet for indgangen ({2} {3})
Preventive,Forebyggende
Forum URL,Forum-URL
Employee and Attendance,Medarbejder og deltagelse
Vital Signs,Vitale tegn
Academics User,Akademisk bruger
Get Items from BOM,Få varer fra BOM
Serial No is mandatory for Item {0},Serienummer er obligatorisk for vare {0}
Get Items from Prescriptions,Få artikler fra recepter
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},Kan ikke annullere {0} {1} fordi serienummer {2} ikke hører til lageret {3}
View Orders,Se ordrer
Number Of Positions,Antal positioner
Walk In,Gå ind
Import Sales Invoice from Shopify if Payment is marked,"Import salgsfaktura fra Shopify, hvis Betaling er markeret"
Certification Status,Certificeringsstatus
Source Location is required for the asset {0},Kildens placering er påkrævet for aktivet {0}
Encashment Date,Indkøbsdato
Please select Completion Date for Completed Asset Maintenance Log,Vælg venligst Afslutningsdato for Udfyldt Asset Maintenance Log
Allow Users,Tillad brugere
Chart Of Accounts,Oversigt over konti
Customer is mandatory if 'Opportunity From' is selected as Customer,"Kunden er obligatorisk, hvis &#39;Mulighed Fra&#39; er valgt som kunde"
Primary Address,Primæradresse
Room Name,Værelsesnavn
Tax Id: ,Skatte ID:
Creation Document No,Oprettelsesdokument nr
Projected,Forventede
Rejected Qty,Afvist antal
Free Item,Gratis vare
Is Payable,Er betales
Allow Stock Consumption,Tillad lagerforbrug
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,En akademisk term med dette &#39;akademiske år&#39; {0} og &#39;Termnavn&#39; {1} eksisterer allerede. Rediger venligst disse indtastninger og prøv igen.
Initiated,Sat i gang
Blanket Orders from Costumers.,Tæppeordrer fra Costumers.
Used for Production Plan,Anvendes til produktionsplan
Ageing Range 2,Aging Range 2
Time logs are required for job card {0},Time logs er påkrævet for jobkort {0}
Vehicle Log,Køretøjslog
Grading Scale Intervals,Gradering Scale Intervals
Report Settings,Rapportindstillinger
Point-of-Sale Profile,Salgsprofil
Lab Test Groups,Lab Test Grupper
Default Valuation Method,Standardværdiansættelsesmetode
Safety Stock,Sikkerhedslager
Print settings updated in respective print format,Udskriftsindstillinger opdateret i det respektive udskriftsformat
Issues,Problemer
Student Application,Student ansøgning
Extra Large,Ekstra stor
Remaining Balance,Resterende saldo
Industry,Industri
Cheque/Reference Date,Check / Reference Date
Stock Manager,Stock Manager
No items to be received are overdue,"Ingen emner, der skal modtages, er for sent"
Grant information.,Giv oplysninger.
Please set Company filter blank if Group By is 'Company',"Indstil Firmafilter blankt, hvis Group By er &#39;Company&#39;"
Sync has been temporarily disabled because maximum retries have been exceeded,"Synkronisering er midlertidigt deaktiveret, fordi maksimale forsøg er overskredet"
{0} {1} is cancelled or stopped,{0} {1} er annulleret eller stoppet
Has Certificate,Har certifikat
"Search by item code, serial number, batch no or barcode","Søg efter varekode, serienummer, batch nr eller stregkode"
Multiple Item prices.,Flere varepriser.
Request for Quotation,Anmodning om tilbud
Current Valuation Rate,Nuværende værdiansættelsesfrekvens
Shipping County,Shipping County
Perception Analysis,Perception Analysis
Item {0} is not active or end of life has been reached,"Vare {0} er ikke aktiv, eller slutningen af levetiden er nået"
Single Variant,Single Variant
Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Row # {0}: Reference Document Type skal være en af Expense Claim eller Journal Entry
Print Language,Udskrivningssprog
Pricing Rule Help,Prisreguleringshjælp
Contact List,Kontakt liste
Better Prospects,Bedre udsigter
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',Vedligeholdelsesplanen genereres ikke for alle emnerne. Klik venligst på &#39;Generer Schedule&#39;
Itemwise Discount,Vægtvis rabat
Patient Encounter,Patient Encounter
Define various loan types,Definer forskellige lånetyper
Supplier Type,Leverandør Type
Total Collected: {0},Samlet samlet: {0}
Credit Card,Kreditkort
SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
Supplier Scorecard Setup,Leverandør Scorecard Setup
Amazon MWS Settings,Amazon MWS-indstillinger
Walking,gåture
Requested Numbers,Ønskede numre
Freight and Forwarding Account,Fragt og videresendelse konto
Please select a Company,Vælg venligst et firma
Row {0}: {1} must be greater than 0,Række {0}: {1} skal være større end 0
Upload your letter head and logo. (you can edit them later).,Upload dit brevhoved og logo. (du kan redigere dem senere).
Create Separate Payment Entry Against Benefit Claim,Opret særskilt betalingsindgang mod fordringsanmodning
Did not find any item called {0},"Der blev ikke fundet noget, der hedder {0}"
Nationality,Nationalitet
Scrap %,Skrot%
Inspection Criteria,Inspektionskriterier
Failed to setup company,Kunne ikke opsætte firmaet
Debit To account must be a Balance Sheet account,Debit Til konto skal være en Balance konto
Number of Order,Antal ordre
"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} er forbundet med {2}, men Party Account er {3}"
Items,Elementer
I,jeg
Work-in-Progress Warehouse is required before Submit,Work-in-Progress Warehouse er påkrævet inden afsendelse
"Sales Order {0} has reservation for item {1}, you can
		only deliver reserved {1} against {0}. Serial No {2} cannot
		be delivered","Salgsordre {0} har forbehold for vare {1}, du kan kun levere reserveret {1} mod {0}. Serienummer {2} kan ikke leveres"
Monitoring Frequency,Overvågningsfrekvens
Closing Balance,Afslutningsbalance
Cost of Sold Asset,Udgifter til solgt aktiv
Row #{0}: Rejected Qty can not be entered in Purchase Return,Række nr. {0}: Afvist antal kan ikke indtastes i købsret
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
JSON Output,JSON Output
Increment cannot be 0,Stigningen kan ikke være 0
BOM {0} must be submitted,BOM {0} skal indsendes
Synch Orders,Synkroniseringsordrer
Disburse Loan,Udbetale lån
Delivered by Supplier (Drop Ship),Leveret af Leverandør (Drop Ship)
Place Order,Angiv bestilling
Place of Issue,Udstedelsessted
Transporter Details,Transporter Detaljer
Gross and Net Profit Report,Brutto- og nettoresultatrapport
Appraisal Template Title,Vurderingskabel Titel
Work Orders Created: {0},Arbejdsordrer oprettet: {0}
To Warehouse (Optional),Til lager (valgfrit)
Physician,Læge
Until,Så længe
Leave Policy Details,Forlad politikoplysninger
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Eksempel:</b> SAL- {first_name} - {date_of_birth.year} <br> Dette vil generere et kodeord som SAL-Jane-1972
To make recurring documents,At lave tilbagevendende dokumenter
PDC/LC Ref,PDC / LC Ref
Update Series Number,Opdater serienummer
Leave unchecked if you don't want to consider batch while making course based groups. ,"Lad være ukontrolleret, hvis du ikke vil overveje batch mens du laver kursusbaserede grupper."
Maximum Score,Maksimal score
Website Filter Field,Website Filter Field
Probationary Period,Prøvetid
Require Full Funding,Kræver Fuld finansiering
Manufacturing Date,Fremstillingsdato
Group your students in batches,Grupper dine elever i batches
Bimonthly,Hver anden måned
Depreciation Eliminated due to disposal of assets,Afskrivninger Elimineret på grund af afhændelse af aktiver
Purposes,formål
Shipments,forsendelser
New Academic Term,Ny akademisk term
Nothing is included in gross,Intet er medtaget i brutto
New Warehouse Name,Nyt lagernavn
Show Return Entries,Vis returindtastninger
Soil Type,Jordtype
Multiple Tier Program,Multiple Tier Program
The BOM which will be replaced,"BOM&#39;en, som vil blive udskiftet"
Risk Factors,Risikofaktorer
Reserved for sale,Reserveret til salg
Prescriptions,Recepter
Bills raised to Customers.,Regninger hævet til kunder.
Seminar,Seminar
Credit ({0}),Kredit ({0})
Subscription Plans,Abonnementsplaner
March,marts
Split Batch,Split Batch
House Name,Husnavn
Outstanding for {0} cannot be less than zero ({1}),Udestående for {0} kan ikke være mindre end nul ({1})
Petrol,Benzin
Bypass credit limit check at Sales Order,Bypass kreditgrænse tjek på salgsordre
Employee External Work History,Medarbejder Eksternt Arbejdshistorie
Expense Approver Mandatory In Expense Claim,Expense Approver Obligatorisk i Expense Claim
"Optional. Sets company's default currency, if not specified.","Valgfri. Angiver virksomhedens standardvaluta, hvis ikke angivet."
Monthly Repayment Amount cannot be greater than Loan Amount,Månedlig tilbagebetalingsbeløb må ikke være større end lånebeløb
