DocType: Accounting Period,Period Name,Periode Naam
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Er kan een meerlaagse verzamelfactor zijn op basis van het totaal uitgegeven. Maar de conversiefactor voor inlossing zal altijd hetzelfde zijn voor alle niveaus.
apps/erpnext/erpnext/config/help.py,Item Variants,Item Varianten
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,Services
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,BOM 2
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,E-mail loonstrook te Employee
DocType: Cost Center,Parent Cost Center,Bovenliggende kostenplaats
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,Facturen maken
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,Stel mogelijke Leverancier
DocType: Communication Medium,Communication Medium Type,Type communicatiemedium
DocType: Customer,"Select, to make the customer searchable with these fields","Selecteer, om de klant doorzoekbaar te maken met deze velden"
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,Verzendingsnota&#39;s importeren vanuit Shopify bij verzending
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,Toon gesloten
DocType: Issue Priority,Issue Priority,Prioriteit uitgeven
DocType: Leave Ledger Entry,Is Leave Without Pay,Is onbetaald verlof
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,Asset Categorie is verplicht voor post der vaste activa
DocType: Fee Validity,Fee Validity,Geldigheidsgeldigheid
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,Geen records gevonden in de betaling tabel
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},Deze {0} in strijd is met {1} voor {2} {3}
DocType: Student Attendance Tool,Students HTML,studenten HTML
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,{0}: {1} must be less than {2},{0}: {1} moet kleiner zijn dan {2}
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","Selecteer stuklijst, aantal en voor magazijn"
DocType: GST HSN Code,GST HSN Code,GST HSN-code
DocType: Employee External Work History,Total Experience,Total Experience
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,Open Projects
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,Pakbon(nen) geannuleerd
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,De cashflow uit investeringsactiviteiten
DocType: Program Course,Program Course,programma Course
DocType: Healthcare Service Unit,Allow Appointments,Afspraken toestaan
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,Vracht-en verzendkosten
DocType: Homepage,Company Tagline for website homepage,Company Tag voor website homepage
DocType: Item Group,Item Group Name,Artikel groepsnaam
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,Ingenomen
DocType: Invoice Discounting,Short Term Loan Account,Leningrekening op korte termijn
DocType: Student,Date of Leaving,Datum waarop het vaartuig
DocType: Pricing Rule,For Price List,Voor Prijslijst
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,Executive Search
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,Standaardwaarden instellen
DocType: Loyalty Program,Auto Opt In (For all customers),Auto Opt In (voor alle klanten)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,Maak Leads
DocType: Maintenance Schedule,Schedules,Schema
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,POS-profiel is vereist om Point-of-Sale te gebruiken
DocType: Cashier Closing,Net Amount,Netto Bedrag
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,{0} {1} is niet ingediend dus de actie kan niet voltooid worden
DocType: Purchase Order Item Supplied,BOM Detail No,Stuklijst Detail nr.
DocType: Landed Cost Voucher,Additional Charges,Extra kosten
DocType: Support Search Source,Result Route Field,Resultaat Routeveld
DocType: Supplier,PAN,PAN
DocType: Employee Checkin,Log Type,Type logboek
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Extra korting Bedrag (Company valuta)
DocType: Supplier Scorecard,Supplier Scorecard,Leverancier Scorecard
DocType: Plant Analysis,Result Datetime,Resultaat Datetime
,Support Hour Distribution,Support Hour Distribution
DocType: Maintenance Visit,Maintenance Visit,Onderhoud Bezoek
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,Lening afsluiten
DocType: Student,Leaving Certificate Number,Leaving Certificate Number
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","Afspraak geannuleerd, Controleer en annuleer de factuur {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,Verkrijgbaar Aantal Batch bij Warehouse
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,Bijwerken Print Format
DocType: Bank Account,Is Company Account,Is bedrijfsaccount
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,Verloftype {0} is niet ingesloten
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit is already defined for the Company {0},Kredietlimiet is al gedefinieerd voor het bedrijf {0}
DocType: Landed Cost Voucher,Landed Cost Help,Vrachtkosten Help
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,Selecteer Verzendadres
DocType: Timesheet Detail,Expected Hrs,Verwachte uren
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,Gegevens over lidmaatschap
DocType: Leave Block List,Block Holidays on important days.,Blokkeer vakantie op belangrijke dagen.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),Voer alle vereiste resultaatwaarde (n) in
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,Debiteuren Samenvatting
DocType: POS Closing Voucher,Linked Invoices,Gelinkte facturen
DocType: Loan,Monthly Repayment Amount,Maandelijks te betalen bedrag
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,Facturen openen
DocType: Contract,Contract Details,Contractgegevens
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,Stel User ID veld in een Werknemer record Werknemer Rol stellen
DocType: UOM,UOM Name,Eenheid Naam
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,Aan adres 1
DocType: GST HSN Code,HSN Code,HSN-code
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,Bijdrage hoeveelheid
DocType: Homepage Section,Section Order,Sectie volgorde
DocType: Inpatient Record,Patient Encounter,Patiënt ontmoeting
DocType: Accounts Settings,Shipping Address,Verzendadres
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Deze tool helpt u om te werken of te repareren de hoeveelheid en de waardering van de voorraad in het systeem. Het wordt meestal gebruikt om het systeem waarden en wat in uw magazijnen werkelijk bestaat synchroniseren.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,In Woorden zijn zichtbaar zodra u de vrachtbrief opslaat.
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,Niet-geverifieerde Webhook-gegevens
DocType: Water Analysis,Container,houder
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,Stel een geldig GSTIN-nummer in het bedrijfsadres in
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},Student {0} - {1} meerdere keren in rij {2} en {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,De volgende velden zijn verplicht om een adres te maken:
DocType: Item Alternative,Two-way,Tweezijdig
DocType: Item,Manufacturers,fabrikanten
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},Fout bij het verwerken van uitgestelde boekhouding voor {0}
,Employee Billing Summary,Factuuroverzicht werknemer
DocType: Project,Day to Send,Dag om te verzenden
DocType: Healthcare Settings,Manage Sample Collection,Beheer voorbeeldsamenwerking
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,Stel de reeks in die moet worden gebruikt.
DocType: Patient,Tobacco Past Use,Gebruik van tabak achteraf
DocType: Travel Itinerary,Mode of Travel,Manier van reizen
DocType: Sales Invoice Item,Brand Name,Merknaam
DocType: Purchase Receipt,Transporter Details,Transporter Details
DocType: Issue,Service Level Agreement Creation,Service Level Agreement Creatie
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,Standaard magazijn is nodig voor geselecteerde punt
DocType: Quiz,Passing Score,Score behalen
apps/erpnext/erpnext/utilities/user_progress.py,Box,Doos
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,mogelijke Leverancier
DocType: Budget,Monthly Distribution,Maandelijkse Verdeling
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,Ontvanger Lijst is leeg. Maak Ontvanger Lijst
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,"Ongeldige GSTIN! De invoer die u heeft ingevoerd, komt niet overeen met de GSTIN-indeling voor UIN-houders of niet-residente OIDAR-serviceproviders"
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),Gezondheidszorg (beta)
DocType: Production Plan Sales Order,Production Plan Sales Order,Productie Plan Verkooporder
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Geen actieve stuklijst gevonden voor item {0}. Bezorging via \ Serial No kan niet worden gegarandeerd
DocType: Sales Partner,Sales Partner Target,Verkoop Partner Doel
DocType: Loan Type,Maximum Loan Amount,Maximum Leningen
DocType: Coupon Code,Pricing Rule,Prijsbepalingsregel
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Dubbele rolnummer voor student {0}
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Dubbele rolnummer voor student {0}
apps/erpnext/erpnext/config/help.py,Material Request to Purchase Order,Materiaal aanvragen tot Purchase Order
DocType: Company,Default Selling Terms,Standaard verkoopvoorwaarden
DocType: Shopping Cart Settings,Payment Success URL,Betaling Succes URL
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Returned Item {1} does not exists in {2} {3},Rij # {0}: Teruggekeerde Item {1} bestaat niet in {2} {3}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Bank Accounts,Bankrekeningen
,Bank Reconciliation Statement,Bank Aflettering Statement
DocType: Patient Encounter,Medical Coding,Medische codering
DocType: Healthcare Settings,Reminder Message,Herinnering Bericht
DocType: Call Log,Lead Name,Lead Naam
,POS,POS
DocType: C-Form,III,III
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Prospecting,prospectie
apps/erpnext/erpnext/config/help.py,Opening Stock Balance,Het openen Stock Balance
DocType: Asset Category Account,Capital Work In Progress Account,Capital Work In Progress-account
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Asset Value Adjustment,Aanpassing van activumwaarde
DocType: Additional Salary,Payroll Date,Payroll-datum
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,{0} must appear only once,{0} mag slechts eenmaal voorkomen
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,Leaves Allocated Successfully for {0},Verlof succesvol toegewezen aan {0}
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,No Items to pack,Geen Artikelen om te verpakken
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Only .csv and .xlsx files are supported currently,Alleen .csv- en .xlsx-bestanden worden momenteel ondersteund
DocType: Shipping Rule Condition,From Value,Van Waarde
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Manufacturing Quantity is mandatory,Productie Aantal is verplicht
DocType: Loan,Repayment Method,terugbetaling Method
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website","Indien aangevinkt, zal de startpagina de standaard Item Group voor de website"
DocType: Quality Inspection Reading,Reading 4,Meting 4
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Pending Quantity,In afwachting van hoeveelheid
apps/erpnext/erpnext/utilities/activation.py,"Students are at the heart of the system, add all your students","Studenten worden in het hart van het systeem, voegt al jouw leerlingen"
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Member ID,Gebruikers ID
DocType: Employee Tax Exemption Proof Submission,Monthly Eligible Amount,Maandelijks in aanmerking komend bedrag
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Row #{0}: Clearance date {1} cannot be before Cheque Date {2},Rij # {0}: Clearance date {1} kan niet vóór Cheque Date {2}
DocType: Asset Maintenance Task,Certificate Required,Certificaat vereist
DocType: Company,Default Holiday List,Standaard Vakantiedagen Lijst
