DocType: Accounting Period,Period Name,Periode Navn
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,E-post Lønn Slip til Employee
DocType: Cost Center,Parent Cost Center,Parent kostnadssted
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,Lag fakturaer
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,Velg Mulig Leverandør
DocType: Communication Medium,Communication Medium Type,Kommunikasjon Medium Type
DocType: Customer,"Select, to make the customer searchable with these fields","Velg, for å gjøre kunden søkbar med disse feltene"
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,Importer leveringsnotater fra Shopify på forsendelse
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,Vis stengt
DocType: Issue Priority,Issue Priority,Utgaveprioritet
DocType: Leave Ledger Entry,Is Leave Without Pay,Er permisjon uten Pay
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,Asset Kategori er obligatorisk for Fixed Asset element
DocType: Fee Validity,Fee Validity,Avgift Gyldighet
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,Ingen poster ble funnet i Payment tabellen
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},Denne {0} konflikter med {1} for {2} {3}
DocType: Student Attendance Tool,Students HTML,studenter HTML
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,{0}: {1} must be less than {2},{0}: {1} må være mindre enn {2}
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","Velg BOM, antall og for lager"
DocType: GST HSN Code,GST HSN Code,GST HSN-kode
DocType: Employee External Work History,Total Experience,Total Experience
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,åpne Prosjekter
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,Pakking Slip (s) kansellert
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,Kontantstrøm fra investerings
DocType: Program Course,Program Course,program Course
DocType: Healthcare Service Unit,Allow Appointments,Tillat avtaler
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,Spedisjons- og Kostnader
DocType: Homepage,Company Tagline for website homepage,Selskapet Undertittel for nettstedet hjemmeside
DocType: Item Group,Item Group Name,Sak Gruppenavn
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,Tatt
DocType: Invoice Discounting,Short Term Loan Account,Kortsiktig lånekonto
DocType: Student,Date of Leaving,Dato Leaving
DocType: Pricing Rule,For Price List,For Prisliste
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,Executive Search
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,Angir standardinnstillinger
DocType: Loyalty Program,Auto Opt In (For all customers),Auto Opt In (For alle kunder)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,Lag Leads
DocType: Maintenance Schedule,Schedules,Rutetider
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,POS-profilen kreves for å bruke Point-of-Sale
DocType: Cashier Closing,Net Amount,Nettobeløp
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,"{0} {1} er ikke sendt, så handlingen kan ikke fullføres"
DocType: Purchase Order Item Supplied,BOM Detail No,BOM Detail Nei
DocType: Landed Cost Voucher,Additional Charges,Ekstra kostnader
DocType: Support Search Source,Result Route Field,Resultatrutefelt
DocType: Supplier,PAN,PANNE
DocType: Employee Checkin,Log Type,Logg Type
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Ekstra rabatt Beløp (Selskap Valuta)
DocType: Supplier Scorecard,Supplier Scorecard,Leverandør Scorecard
DocType: Plant Analysis,Result Datetime,Resultat Datetime
,Support Hour Distribution,Support Time Distribution
DocType: Maintenance Visit,Maintenance Visit,Vedlikehold Visit
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,Lukk lån
DocType: Student,Leaving Certificate Number,Leaving Certificate Number
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","Avtale avbrutt, vennligst kontroller og avbryt fakturaen {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,Tilgjengelig Batch Antall på Warehouse
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,Oppdater Print Format
DocType: Bank Account,Is Company Account,Er selskapskonto
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,Forlatype {0} er ikke innrykkbar
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit is already defined for the Company {0},Kredittgrensen er allerede definert for selskapet {0}
DocType: Landed Cost Voucher,Landed Cost Help,Landed Cost Hjelp
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-vlog-.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,Velg leveringsadresse
DocType: Timesheet Detail,Expected Hrs,Forventet tid
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,Memebership Detaljer
DocType: Leave Block List,Block Holidays on important days.,Block Ferie på viktige dager.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),Vennligst skriv inn alle nødvendige Resultat Verdi (r)
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,Kundefordringer Sammendrag
DocType: POS Closing Voucher,Linked Invoices,Koblede fakturaer
DocType: Loan,Monthly Repayment Amount,Månedlig nedbetaling beløpet
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,Åpning av fakturaer
DocType: Contract,Contract Details,Kontraktsdetaljer
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,Vennligst angi bruker-ID-feltet i en Employee rekord å sette Employee Rolle
DocType: UOM,UOM Name,Målenheter Name
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,Å adresse 1
DocType: GST HSN Code,HSN Code,HSN kode
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,Bidrag Beløp
DocType: Homepage Section,Section Order,Seksjonsrekkefølge
DocType: Inpatient Record,Patient Encounter,Pasientmøte
DocType: Accounts Settings,Shipping Address,Sendingsadresse
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Dette verktøyet hjelper deg til å oppdatere eller fikse mengde og verdsetting av aksjer i systemet. Det er vanligvis brukes til å synkronisere systemverdier og hva som faktisk eksisterer i ditt varehus.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,I Ord vil være synlig når du lagrer følgeseddel.
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,Uverifiserte Webhook-data
DocType: Water Analysis,Container,Container
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,Angi gyldig GSTIN-nr. I firmaets adresse
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},Student {0} - {1} vises flere ganger på rad {2} og {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,Følgende felt er obligatoriske for å opprette adresse:
DocType: Item Alternative,Two-way,Toveis
DocType: Item,Manufacturers,produsenter
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},Feil under behandling av utsatt regnskap for {0}
,Employee Billing Summary,Ansattes faktureringssammendrag
DocType: Project,Day to Send,Dag å sende
DocType: Healthcare Settings,Manage Sample Collection,Administrer prøveinnsamling
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,Vennligst sett serien som skal brukes.
DocType: Patient,Tobacco Past Use,Tidligere bruk av tobakk
DocType: Travel Itinerary,Mode of Travel,Reisemåte
DocType: Sales Invoice Item,Brand Name,Merkenavn
DocType: Purchase Receipt,Transporter Details,Transporter Detaljer
DocType: Issue,Service Level Agreement Creation,Oppretting av servicenivå
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,Standardlager er nødvendig til den valgte artikkelen
DocType: Quiz,Passing Score,Bestått karakter
apps/erpnext/erpnext/utilities/user_progress.py,Box,Eske
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,mulig Leverandør
DocType: Budget,Monthly Distribution,Månedlig Distribution
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,Mottaker-listen er tom. Opprett Receiver Liste
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,Ugyldig GSTIN! Inputene du har skrevet inn samsvarer ikke med GSTIN-formatet for UIN-innehavere eller ikke-bosatte OIDAR-tjenesteleverandører
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),Helsevesenet (beta)
DocType: Production Plan Sales Order,Production Plan Sales Order,Produksjonsplan Salgsordre
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Ingen aktiv BOM funnet for elementet {0}. Levering med \ Serienummer kan ikke sikres
DocType: Sales Partner,Sales Partner Target,Sales Partner Target
DocType: Loan Type,Maximum Loan Amount,Maksimal Lånebeløp
DocType: Coupon Code,Pricing Rule,Prising Rule
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Dupliseringsnummer for student {0}
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Dupliseringsnummer for student {0}
apps/erpnext/erpnext/config/help.py,Material Request to Purchase Order,Materialet Request til innkjøpsordre
DocType: Company,Default Selling Terms,Standard salgsbetingelser
DocType: Shopping Cart Settings,Payment Success URL,Betaling Suksess URL
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Returned Item {1} does not exists in {2} {3},Row # {0}: Returned Element {1} ikke eksisterer i {2} {3}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Bank Accounts,Bankkontoer
,Bank Reconciliation Statement,Bankavstemming Statement
DocType: Patient Encounter,Medical Coding,Medisinsk koding
DocType: Healthcare Settings,Reminder Message,Påminnelsesmelding
DocType: Call Log,Lead Name,Lead Name
,POS,POS
DocType: C-Form,III,III
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Prospecting,prospecting
apps/erpnext/erpnext/config/help.py,Opening Stock Balance,Åpning Stock Balance
DocType: Asset Category Account,Capital Work In Progress Account,Kapitalarbeid i fremgangskonto
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Asset Value Adjustment,Asset Value Adjustment
DocType: Additional Salary,Payroll Date,Lønnsdato
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,{0} must appear only once,{0} må vises bare en gang
apps/erpnext/erpnext/hr/doctype/leave_control_panel/leave_control_panel.py,Leaves Allocated Successfully for {0},Etterlater Avsatt Vellykket for {0}
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,No Items to pack,Ingenting å pakke
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Only .csv and .xlsx files are supported currently,Bare .csv- og .xlsx-filer støttes for øyeblikket
DocType: Shipping Rule Condition,From Value,Fra Verdi
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Manufacturing Quantity is mandatory,Manufacturing Antall er obligatorisk
DocType: Loan,Repayment Method,tilbakebetaling Method
DocType: Products Settings,"If checked, the Home page will be the default Item Group for the website","Hvis det er merket, vil hjemmesiden være standard Varegruppe for nettstedet"
DocType: Quality Inspection Reading,Reading 4,Reading 4
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Pending Quantity,Venter på mengde
apps/erpnext/erpnext/utilities/activation.py,"Students are at the heart of the system, add all your students","Studentene er i hjertet av systemet, legge til alle elevene"
apps/erpnext/erpnext/non_profit/report/expiring_memberships/expiring_memberships.py,Member ID,Medlem ID
DocType: Employee Tax Exemption Proof Submission,Monthly Eligible Amount,Månedlig kvalifisert beløp
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Row #{0}: Clearance date {1} cannot be before Cheque Date {2},Row # {0}: Clearance date {1} kan ikke være før Cheque Dato {2}
DocType: Asset Maintenance Task,Certificate Required,Sertifikat kreves
DocType: Company,Default Holiday List,Standard Holiday List
DocType: Pricing Rule,Supplier Group,Leverandørgruppe
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,{0} Digest,{0} Fordel
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0}: From Time and To Time of {1} is overlapping with {2},Rad {0}: Fra tid og klokkeslett {1} er overlappende med {2}
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Liabilities,Aksje Gjeld
DocType: Purchase Invoice,Supplier Warehouse,Leverandør Warehouse
DocType: Opportunity,Contact Mobile No,Kontakt Mobile No
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Select Company,Velg firma
,Material Requests for which Supplier Quotations are not created,Materielle Forespørsler som Leverandør Sitater ikke er opprettet
