Pension Funds,Lífeyrissjóðir
Expected Value After Useful Life,Væntanlegt gildi eftir gagnlegt líf
November,Nóvember
Rate of Interest,Vextir
Bank Statement Transaction Payment Item,Viðskiptareikningur Greiðsla
Waitlisted,Bíddu á lista
You need to enable Shopping Cart,Þú þarft að virkja Karfa
Leave Status Notification Template,Leyfi Tilkynning Sniðmát
Leave Without Pay,Skildu án greiðslu
Actual Qty (at source/target),Raunverulegur fjöldi (við uppspretta / miða)
Tax ID,Skattarauðkenni
See past orders,Sjá fyrri pantanir
Current Qty,Núverandi Magn
UOM Conversion factor is required in row {0},UOM viðskiptaþáttur er krafist í röð {0}
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Skattalýsingartafla sem sótt er af hlutastjóranum sem streng og geymt á þessu sviði. Notað fyrir skatta og gjöld
Key Responsibility Area,Helstu ábyrgðarsvæði
Sample Quantity,Sýni Magn
Expense Claim,Kostnaðarkröfu
Opening Date and Closing Date should be within same Fiscal Year,Upphafsdagur og lokadagur skulu vera innan sama reikningsárs
Silt Composition (%),Silt Samsetning (%)
Tax Withholding Rate,Skatthlutfall
Default Tax Template,Sjálfgefið skatta sniðmát
Transfer Asset,Flytja eignir
Opp/Lead %,Upp / Leið%
Please cancel Purchase Invoice {0} first,Vinsamlegast hafðu samband við innheimtufé {0} fyrst
Complete Job,Heill starf
Select Possible Supplier,Veldu Möguleg Birgir
Customer Groups,Viðskiptavinir
Hub Category,Hub Flokkur
"Quotations are proposals, bids you have sent to your customers","Tilvitnanir eru tillögur, tilboð sem þú sendir til viðskiptavina þinna"
Reading 5,Lestur 5
Display Settings,Sýna stillingar
Please set Number of Depreciations Booked,Vinsamlegast settu fjölda afskriftir bókað
What do you need help with?,Hvað þarftu hjálp við?
Printing Settings,Prentunarstillingar
Banking,Bankastarfsemi
Purchase Invoice Advance,Innkaupakostnaður fyrirfram
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
PR Detail,PR smáatriði
Billing Address is same as Shipping Address,Innheimtu Heimilisfang er sama og sendingar Heimilisfang
Cash,Handbært fé
Leave Policy,Leyfi stefnu
Student Address,Námsmaður Heimilisfang
CESS Account,CESS reikning
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}. Please set up a default Cost Center for the Company.,{0} {1}: Kostnaðurarmiðstöð er krafist fyrir &#39;Hagnaður og tap&#39; reikningur {2}. Vinsamlegast settu sjálfgefið kostnaðarmiðstöð fyrir fyrirtækið.
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","Á meðan þú stofnar reikning fyrir barnið Fyrirtæki {0}, fannst foreldri reikningur {1} ekki. Vinsamlegast búðu til foreldrisreikninginn í samsvarandi COA"
General Ledger,General Ledger
Reminder to update GSTIN Sent,Áminning um að uppfæra GSTIN Sent
Select Days,Veldu daga
Next Contact By cannot be same as the Lead Email Address,Næsta tengilið getur ekki verið eins og Lead Email Address
To Package No.,Að pakkningarnúmer
Course Name,Námskeiðsheiti
Serial no is required for the asset {0},Raðnúmer er krafist fyrir eignina {0}
Maintenance,Viðhald
Validate Selling Price for Item against Purchase Rate or Valuation Rate,Staðfesta söluverð fyrir hlut við kaupgengi eða verðmat
The following Work Orders were created:,Eftirfarandi vinnuverkefni voru búnar til:
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
IFSC Code,IFSC-kóði
Mode of Payment,Greiðslumáti
Tax Amount After Discount Amount,Skattfjárhæð eftir afskriftir
Get Suppliers By,Fáðu birgja eftir
"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}",Row {0}: Til að setja {1} reglubundna munur munurinn á milli og til dags \ verður meiri en eða jafnt við {2}
Valuation Rate,Verðmat
Default settings for Shopping Cart,Sjálfgefin stilling fyrir Karfa
Capacity Planning,Stærð áætlanagerðar
Go to Instructors,Farðu í kennara
Supplier &gt; Supplier Type,Birgir&gt; Birgir Tegund
Projects,Verkefni
Barcode Type,Strikamerki
Incentive Amount,Upphæð upphæð
"To set this Fiscal Year as Default, click on 'Set as Default'",Til að setja þetta reikningsár sem sjálfgefið skaltu smella á &#39;Setja sem sjálfgefið&#39;
II,II
From Time,Frá tími
Variant Details Report,Variant Details Report
For Buying,Til kaupa
Slots for {0} are not added to the schedule,Slots fyrir {0} eru ekki bætt við áætlunina
Target Distribution,Markmið dreifingar
Staffing Plan Details,Starfsmannaskiptaáætlun
Account {0} is invalid. Account Currency must be {1},Reikningur {0} er ógildur. Reikningargjaldmiðill verður að vera {1}
Rule Description,Regla Lýsing
Total Estimated Distance,Samtals áætlað fjarlægð
Lost Reason,Týnt ástæða
Make Depreciation Entry,Gerðu Afskriftir
Serial nos {0} does not belongs to the location {1},Raðnúmer {0} tilheyrir ekki staðsetningunni {1}
Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Hlutverk heimilt að setja frosna reikninga og breyta frosnum færslum
Health Concerns,Heilsa Áhyggjur
Company Info,Fyrirtækjafréttir
Activity Cost,Rekstrarkostnaður
Payment Order,Greiðslufyrirmæli
Pricing,Verðlag
Item Delivery Date,Liður afhendingardags
Warehouse and Reference,Vörugeymsla og tilvísun
Account with child nodes cannot be converted to ledger,Ekki er hægt að breyta reikningi við hnúta barns til bókhalds
Clay Composition (%),Clay Composition (%)
BOM No. for a Finished Good Item,BOM nr. Fyrir lokað gott hlut
User Remark,Notandi ummæli
Your order is out for delivery!,Pöntunin þín er út fyrir afhendingu!
"Payment Type must be one of Receive, Pay and Internal Transfer","Greiðsla Tegund verður að vera einn af Fá, Borga og Innri Flytja"
Payroll Settings,Launastillingar
GST HSN Code,GST HSN kóða
Period Closing Voucher,Tímabil Loka Skírteini
Guardian2 Name,Forráðamaður2 Nafn
Please enter Expense Account,Vinsamlegast sláðu inn kostnaðarreikning
Resignation Letter Date,Uppsagnarbréf Dagsetning
Sandy Clay,Sandy Clay
Attendance To Date,Viðstaddir Dagsetning
Loan Start Date,Upphafdagur láns
Consumable Cost,Neysluverðs
Encashment,Encashment
Income From Other Sources,Tekjur af öðrum heimildum
Produced Items,Framleiddir hlutir
Approval Status must be 'Approved' or 'Rejected',Samþykkisstaða verður að vera &#39;Samþykkt&#39; eða &#39;Hafnað&#39;
View Now,Skoða núna
Valid Upto,Gildistaka
Reference Doctype must be one of {0},Tilvísun Doctype verður að vera einn af {0}
Transaction Currency,Viðskiptargjaldmiðill
Repayment Schedule,Endurgreiðsluáætlun
Create Sample Retention Stock Entry,Búðu til sýnishorn varðveislu birgðir
Set as Open,Setja sem Open
Requested Qty,Required Magn
Apply Discount On,Sækja um afslátt á
Reserved for sub contracting,Fyrirvara fyrir undirverktaka
Item variant {0} exists with same attributes,Liður afbrigði {0} er með sömu eiginleika
Membership Type,Aðildargerð
Will show the student as Present in Student Monthly Attendance Report,Mun sýna nemandanum að hann sé nútíminn í matsskýrslu nemenda
Minimum Lead Age (Days),Lágmarksstigleiki (dagar)
Delivery Note Series,Afhendingarspjald Series
Mandatory field - Academic Year,Skylda sviði - námsár
Fuel Price,Eldsneytisverð
Mode of Travel,Ferðalög
Special Test Items,Sérstakar prófanir
Edit Posting Date and Time,Breyta staðsetningartíma og tíma
Not Billed,Ekki reiknuð
Employee Transfer Detail,Starfsmaður flytja smáatriði
Task Completion,Verkefni klára
Webhook ID,Webhook ID
Travel Expenses,Ferðakostnaður
Future dates not allowed,Framtíðardagur er ekki leyfilegt
Varaiance ,Varaiance
Row {0}: Please set the Mode of Payment in Payment Schedule,Row {0}: Vinsamlegast stilltu greiðsluhátt í greiðsluáætlun
Academic Term: ,Fræðigrein:
Please select Apply Discount On,Vinsamlegast veldu Sækja um afslátt á
Row # {0}: ,Row # {0}:
Total Payments,Samtals greiðslur
Please enter Account for Change Amount,Vinsamlegast sláðu inn reikninginn fyrir Breyta upphæð
Tax Withholding Account,Skattgreiðslureikningur
Stock Received But Not Billed,Hlutabréf móttekin en ekki reiknuð
Please add the account to root level Company - %s,Vinsamlegast bættu við reikningnum við rótarniðurstöður fyrirtækisins -% s
Collected By,Safnað með
Notify by Email on creation of automatic Material Request,Tilkynna með tölvupósti um stofnun sjálfvirkrar efnisbeiðni
Downtime,Niður í miðbæ
Cost Center Number,Kostnaðarmiðstöðvarnúmer
Applicable for external driver,Gildandi fyrir utanaðkomandi ökumann
Start on,Byrjaðu á
Payment Due Date,Greiðsla gjalddaga
"If this item has variants, then it cannot be selected in sales orders etc.","Ef þetta atriði hefur afbrigði, þá er ekki hægt að velja það í sölupöntum o.fl."
Following course schedules were created,Eftirfarandi námskeið voru búnar til
Timesheet created:,Tímarit búin til:
Open BOM {0},Opna BOM {0}
Transfered,Flutt
Credit To account must be a Payable account,Innborgun Til reiknings verður að vera greiðanlegur reikningur
Item Attribute,Liður eiginleiki
Goal and Procedure,Markmið og málsmeðferð
Frequency of Depreciation (Months),Tíðni afskriftir (mánuðir)
Real Estate,Fasteign
Parents Teacher Meeting Attendance,Foreldrar Kennari Fundur Viðvera
Employee Grade,Starfsmaður
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'","Samtals {0} fyrir öll atriði er núll, gæti verið að þú ættir að breyta &#39;Dreifa gjöldum miðað við&#39;"
Time Sheet,Tímatafla
Late Checkin,Seint innritun
Costing and Billing,Kostnaður og innheimtu
Total Outgoing,Samtals útleið
A Default Service Level Agreement already exists.,Sjálfgefin þjónustustigssamningur er þegar til.
If more than one package of the same type (for print),Ef fleiri en ein pakki af sömu gerð (til prentunar)
Please select Company and Posting Date to getting entries,Vinsamlegast veldu fyrirtæki og staðsetningar dagsetningu til að fá færslur
Default Currency,Sjálfgefið Gjaldmiðill
Packing List,Pökkunarlisti
Secretary,Ritari
Gluten Free,Glútenfrí
Hub Node,Hub Hnúður
Employee ID,Starfsmaður auðkenni
Salary Structure Assignment,Uppbygging verkefnis
POS Closing Voucher Taxes,POS Loka Skírteini Skattar
Action Initialised,Aðgerð upphafleg
Applicable for Users,Gildir fyrir notendur
Exam,Próf
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,Rangt númer af aðalbókaratriðum fannst. Þú gætir hafa valið rangan reikning í viðskiptum.
Sales Pipeline,Sala leiðsla
Leaderboard,Leaderboard
Inter Company Account,Inter Company Account
Closed order cannot be cancelled. Unclose to cancel.,Ekki er hægt að loka lokaðri röð. Lokaðu til að hætta við.
{0} {1} does not exist,{0} {1} er ekki til
Planned number of Positions,Skipulögð fjöldi staða
Maintenance Status has to be Cancelled or Completed to Submit,Viðhald Staða verður að vera Hætt eða lokið til að senda inn
Please select customer,Vinsamlegast veldu viðskiptavin
Round Off,Round Off
Conditions will be applied on all the selected items combined. ,Skilyrði verður beitt á öllum völdum hlutum samanlagt.
Configure,Stilla
Capacity,Stærð
Installed Qty,Uppsettur fjöldi
Batch {0} of Item {1} is disabled.,Hópur {0} í lið {1} er óvirkur.
Hotel Reservation User,Hótel pöntunarsali
Workday has been repeated twice,Vinnudagur hefur verið endurtekin tvisvar
Item Group not mentioned in item master for item {0},Varahópur sem ekki er tilgreindur í hluthafa fyrir hlut {0}
Name error: {0},Nafn villa: {0}
Territory is Required in POS Profile,Svæði er nauðsynlegt í POS Profile
Service End Date,Þjónustudagsetning
Quotation,Tilvitnun
Exchange Rate must be same as {0} {1} ({2}),Gengi gjaldmiðla verður að vera eins og {0} {1} ({2})
Holiday List (ignored during SLA calculation),Holiday List (hunsuð í SLA útreikningum)
Student Admission Program,Námsmenntunarnámskeið
Account {0}: Parent account {1} can not be a ledger,Reikningur {0}: Móðurreikningur {1} getur ekki verið aðalbók
% of materials billed against this Sales Order,% efna sem eru reiknuð gegn þessari sölupöntun
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Greiðslugátt reikningsins í áætluninni {0} er frábrugðin greiðslugáttarkonto í þessari greiðslubeiðni
Subcontracted Item,Undirverktaka
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,Upphafsdagur og lánstímabil eru nauðsynleg til að spara reikningsskuldbindinguna
Default receivable accounts to be used if not set in Patient to book Appointment charges.,Sjálfgefnar reikningar sem notaðir eru til notkunar ef ekki er sett í sjúkling til að bóka ráðningargjöld.
Students HTML,Nemendur HTML
Student Guardian,Námsmaður
GoCardless Settings,GoCardless Stillingar
Transport Receipt Date,Flutningsdagsetning
Show Opening Entries,Sýna opna færslur
Heart Rate / Pulse,Hjartsláttur / púls
All Assessment Groups,Allar matshópar
Asset Name,Eignaheiti
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""",Það getur aðeins verið einn Shipping Regla ástand með 0 eða eyða gildi fyrir &quot;Til Value&quot;
Optimizing routes.,Hagræðing leiða.
Shopify Tax/Shipping Title,Shopify Skatt / Shipping Title
To date can not be equal or less than from date,Hingað til er ekki hægt að jafna eða minna en frá þeim degi
You added ,Þú bætti við
Total Score,Heildarfjöldi
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Ef þú hefur búið til staðlaða sniðmát í söluskattum og gjöldum, veldu einn og smelltu á hnappinn hér að neðan."
Cost Center,Kostnaður Center
Total allocated percentage for sales team should be 100,Heildar úthlutað hlutfall fyrir söluhóp ætti að vera 100
"Cannot deliver Serial No {0} of item {1} as it is reserved \
											to fullfill Sales Order {2}",Ekki er hægt að skila raðnúmeri {0} í lið {1} eins og það er áskilið \ til að fylla út söluskilaboð {2}
Payment Entry has been modified after you pulled it. Please pull it again.,Greiðsla hefur verið breytt eftir að þú hefur dregið hana. Vinsamlegast dragðu það aftur.
Bio / Cover Letter,Bio / Cover Letter
Stock Value Difference,Verðmæti hlutabréfaverðs
Academic Year Name,Nafn námsárs
Bank Accounts,Bankareikningar
The Payment Term at row {0} is possibly a duplicate.,Greiðslutími í röð {0} er hugsanlega afrit.
Unblock Invoice,Hringja úr gildi reikning
Percentage,Hlutfall
Sensitivity Test Items,Næmi próf atriði
To make Customer based incentive schemes.,Til að gera viðskiptavinir byggðar hvatningarkerfi.
Purchase Register,Kaupaskrá
Schedule Date,Dagskrá Dagsetning
Package Weight Details,Upplýsingar um pakkningarþyngd
Job Opening,Atvinna Opnun
Actual Cost,Raunverulegur kostnaður
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),Samtals fyrirfram ({0}) gegn Order {1} getur ekki verið meiri en Grand Total ({2})
Item Variants updated,Varahlutir uppfærðar
Batch Number Series,Batch Number Series
Open Projects,Opna verkefni
Import Delivery Notes from Shopify on Shipment,Flytja inn skilatilkynningar frá Shopify á sendingu
