DocType: Accounting Period,Period Name,Numele perioadei
DocType: Employee Benefit Application,Max Benefits (Yearly),Beneficii maxime (anual)
DocType: Item,Inventory,Inventarierea
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Download as Json,Descărcați ca Json
DocType: Item,Sales Details,Detalii Vânzări
DocType: Coupon Code,Used,Folosit
DocType: Opportunity,With Items,Cu articole
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,The Campaign '{0}' already exists for the {1} '{2}',Campania „{0}” există deja pentru {1} &#39;{2}&#39;
DocType: Asset Maintenance,Maintenance Team,Echipă de Mentenanță
DocType: Homepage Section,"Order in which sections should appear. 0 is first, 1 is second and so on.","Ordinea în care ar trebui să apară secțiunile. 0 este primul, 1 este al doilea și așa mai departe."
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,In Qty,În Cantitate
DocType: Education Settings,Validate Enrolled Course for Students in Student Group,Validați cursul înscris pentru elevii din grupul de studenți
DocType: Item,Item Attribute,Postul Atribut
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Government,Guvern
apps/erpnext/erpnext/hr/doctype/vehicle_log/vehicle_log.py,Expense Claim {0} already exists for the Vehicle Log,Solicitare Cheltuială {0} există deja pentru Log Vehicul
DocType: Asset Movement,Source Location,Locația sursei
apps/erpnext/erpnext/public/js/setup_wizard.js,Institute Name,Numele Institutului
apps/erpnext/erpnext/hr/doctype/loan/loan.py,Please enter repayment Amount,Vă rugăm să introduceți Suma de rambursare
DocType: Shift Type,Working Hours Threshold for Absent,Prag de lucru pentru orele absente
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.js,There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,Pot exista un factor de colectare multiplu diferențiat bazat pe totalul cheltuit. Dar factorul de conversie pentru răscumpărare va fi întotdeauna același pentru toate nivelurile.
apps/erpnext/erpnext/config/help.py,Item Variants,Variante Postul
apps/erpnext/erpnext/public/js/setup_wizard.js,Services,Servicii
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,BOM 2,BOM 2
DocType: Payment Order,PMO-,PMO-
DocType: HR Settings,Email Salary Slip to Employee,E-mail Salariu Slip angajatului
DocType: Cost Center,Parent Cost Center,Părinte Cost Center
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Create Invoices,Creați facturi
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Select Possible Supplier,Selectați Posibil furnizor
DocType: Communication Medium,Communication Medium Type,Tip mediu de comunicare
DocType: Customer,"Select, to make the customer searchable with these fields","Selectați, pentru a face ca clientul să poată fi căutat în aceste câmpuri"
DocType: Shopify Settings,Import Delivery Notes from Shopify on Shipment,Importă note de livrare de la Shopify la expediere
apps/erpnext/erpnext/templates/pages/projects.html,Show closed,Afișează închis
DocType: Issue Priority,Issue Priority,Prioritate de emisiune
DocType: Leave Ledger Entry,Is Leave Without Pay,Este concediu fără plată
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTIN,GSTIN
apps/erpnext/erpnext/stock/doctype/item/item.py,Asset Category is mandatory for Fixed Asset item,Categorie Activ este obligatorie pentru articolul Activ Fix
DocType: Fee Validity,Fee Validity,Valabilitate taxă
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,No records found in the Payment table,Nu sunt găsite în tabelul de plăți înregistrări
apps/erpnext/erpnext/education/utils.py,This {0} conflicts with {1} for {2} {3},Acest {0} conflicte cu {1} pentru {2} {3}
DocType: Student Attendance Tool,Students HTML,HTML studenții
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,{0}: {1} must be less than {2},{0}: {1} trebuie să fie mai mic decât {2}
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,"Select BOM, Qty and For Warehouse","Selectați BOM, Qty și For Warehouse"
DocType: GST HSN Code,GST HSN Code,Codul GST HSN
DocType: Employee External Work History,Total Experience,Experiența totală
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Open Projects,Deschide Proiecte
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Packing Slip(s) cancelled,Slip de ambalare (e) anulate
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Investing,Cash Flow de la Investiții
DocType: Program Course,Program Course,Curs Program
DocType: Healthcare Service Unit,Allow Appointments,Permiteți întâlnirilor
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Freight and Forwarding Charges,Incarcatura și Taxe de Expediere
DocType: Homepage,Company Tagline for website homepage,Firma Tagline pentru pagina de start site
DocType: Item Group,Item Group Name,Denumire Grup Articol
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,Taken,Luate
DocType: Invoice Discounting,Short Term Loan Account,Cont de împrumut pe termen scurt
DocType: Student,Date of Leaving,Data Părăsirii
DocType: Pricing Rule,For Price List,Pentru Lista de Preturi
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Executive Search,Cautare Executiva
DocType: Employee Advance,HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting defaults,Setarea valorilor implicite
DocType: Loyalty Program,Auto Opt In (For all customers),Oprire automată (pentru toți clienții)
apps/erpnext/erpnext/utilities/activation.py,Create Leads,Creează Piste
DocType: Maintenance Schedule,Schedules,Orarele
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,POS Profile is required to use Point-of-Sale,Profilul POS este necesar pentru a utiliza Punctul de vânzare
DocType: Cashier Closing,Net Amount,Cantitate netă
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} has not been submitted so the action cannot be completed,"{0} {1} nu a fost transmis, astfel încât acțiunea nu poate fi finalizată"
DocType: Purchase Order Item Supplied,BOM Detail No,Detaliu BOM nr.
DocType: Landed Cost Voucher,Additional Charges,Costuri suplimentare
DocType: Support Search Source,Result Route Field,Câmp de rutare rezultat
DocType: Supplier,PAN,TIGAIE
DocType: Employee Checkin,Log Type,Tip jurnal
DocType: Purchase Invoice,Additional Discount Amount (Company Currency),Discount suplimentar Suma (companie de valuta)
DocType: Supplier Scorecard,Supplier Scorecard,Scorul de performanță al furnizorului
DocType: Plant Analysis,Result Datetime,Rezultat Datatime
,Support Hour Distribution,Distribuția orelor de distribuție
DocType: Maintenance Visit,Maintenance Visit,Vizită Mentenanță
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Close Loan,Împrumut închis
DocType: Student,Leaving Certificate Number,Părăsirea Număr certificat
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,"Appointment cancelled, Please review and cancel the invoice {0}","Numirea anulată, consultați și anulați factura {0}"
DocType: Sales Invoice Item,Available Batch Qty at Warehouse,Cantitate lot disponibilă în depozit
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Update Print Format,Actualizare Format Print
DocType: Bank Account,Is Company Account,Este un cont de companie
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,Leave Type {0} is not encashable,Tipul de plecare {0} nu este încasat
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit is already defined for the Company {0},Limita de credit este deja definită pentru companie {0}
DocType: Landed Cost Voucher,Landed Cost Help,Costul Ajutor Landed
DocType: Vehicle Log,HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
DocType: Purchase Invoice,Select Shipping Address,Selectați adresa de expediere
DocType: Timesheet Detail,Expected Hrs,Se așteptau ore
apps/erpnext/erpnext/config/non_profit.py,Memebership Details,Detalii de membru
DocType: Leave Block List,Block Holidays on important days.,Blocaţi zile de sărbătoare în zilele importante.
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,Please input all required Result Value(s),Introduceți toate rezultatele valorii necesare
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Accounts Receivable Summary,Rezumat conturi de încasare
DocType: POS Closing Voucher,Linked Invoices,Linked Factures
DocType: Loan,Monthly Repayment Amount,Suma de rambursare lunar
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool_dashboard.html,Opening Invoices,Deschiderea facturilor
DocType: Contract,Contract Details,Detaliile contractului
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Please set User ID field in an Employee record to set Employee Role,Vă rugăm să setați câmp ID de utilizator într-o înregistrare angajat să stabilească Angajat rol
DocType: UOM,UOM Name,Numele UOM
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 1,Pentru a adresa 1
DocType: GST HSN Code,HSN Code,Codul HSN
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution Amount,Contribuția Suma
DocType: Homepage Section,Section Order,Comanda secțiunii
DocType: Inpatient Record,Patient Encounter,Întâlnirea cu pacienții
DocType: Accounts Settings,Shipping Address,Adresa de livrare
DocType: Stock Reconciliation,This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,Acest instrument vă ajută să actualizați sau stabili cantitatea și evaluarea stocului in sistem. Acesta este de obicei folosit pentru a sincroniza valorile de sistem și ceea ce există de fapt în depozite tale.
DocType: Delivery Note,In Words will be visible once you save the Delivery Note.,În cuvinte va fi vizibil după ce a salva de livrare Nota.
apps/erpnext/erpnext/erpnext_integrations/utils.py,Unverified Webhook Data,Datele Webhook neconfirmate
DocType: Water Analysis,Container,recipient
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set valid GSTIN No. in Company Address,Vă rugăm să setați numărul GSTIN valid în adresa companiei
apps/erpnext/erpnext/education/utils.py,Student {0} - {1} appears Multiple times in row {2} & {3},Elev {0} - {1} apare ori multiple în rândul {2} &amp; {3}
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Following fields are mandatory to create address:,Următoarele câmpuri sunt obligatorii pentru a crea adresa:
DocType: Item Alternative,Two-way,Două căi
DocType: Item,Manufacturers,Producători
apps/erpnext/erpnext/accounts/deferred_revenue.py,Error while processing deferred accounting for {0},Eroare la procesarea contabilității amânate pentru {0}
,Employee Billing Summary,Rezumatul facturării angajaților
DocType: Project,Day to Send,Zi de Trimis
DocType: Healthcare Settings,Manage Sample Collection,Gestionați colecția de mostre
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set the series to be used.,Setați seria care urmează să fie utilizată.
DocType: Patient,Tobacco Past Use,Consumul de tutun din trecut
DocType: Travel Itinerary,Mode of Travel,Modul de călătorie
DocType: Sales Invoice Item,Brand Name,Denumire marcă
DocType: Purchase Receipt,Transporter Details,Detalii Transporter
DocType: Issue,Service Level Agreement Creation,Crearea contractului de nivel de serviciu
apps/erpnext/erpnext/accounts/page/pos/pos.js,Default warehouse is required for selected item,depozitul implicit este necesar pentru elementul selectat
DocType: Quiz,Passing Score,Scor de trecere
apps/erpnext/erpnext/utilities/user_progress.py,Box,Cutie
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Possible Supplier,posibil furnizor
DocType: Budget,Monthly Distribution,Distributie lunar
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Receiver List is empty. Please create Receiver List,Receptor Lista goala. Vă rugăm să creați Receiver Lista
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN nevalid! Intrarea introdusă nu se potrivește cu formatul GSTIN pentru deținătorii de UIN sau furnizorii de servicii OIDAR nerezidenți
apps/erpnext/erpnext/public/js/setup_wizard.js,Healthcare (beta),Servicii medicale (beta)
DocType: Production Plan Sales Order,Production Plan Sales Order,Planul de producție comandă de vânzări
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",Nu a fost găsit niciun BOM activ pentru articolul {0}. Livrarea prin \ Nr. De serie nu poate fi asigurată
DocType: Sales Partner,Sales Partner Target,Vânzări Partner țintă
DocType: Loan Type,Maximum Loan Amount,Suma maximă a împrumutului
DocType: Coupon Code,Pricing Rule,Regula de stabilire a prețurilor
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Numărul de rolă duplicat pentru student {0}
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Duplicate roll number for student {0},Numărul de rolă duplicat pentru student {0}
apps/erpnext/erpnext/config/help.py,Material Request to Purchase Order,Cerere de material de cumpărare Ordine
