Pension Funds,Emeklilik fonları
Woocommerce Settings,Woocommerce Ayarları
Quantity must be positive,Miktar pozitif olmalı
CRM,CRM
Parenttype,Parenttype
Billing State,Faturalandırma durumu
Quantity for Item {0} must be less than {1},{0} Maddesi için miktar {1} &#39;den küçük olmalı
Transfer Material,Transfer Malzemesi
Shipping Account,Kargo Hesabı
Please set default template for Leave Approval Notification in HR Settings.,Lütfen İK Ayarlarında Onay Onay Bildirimi için varsayılan şablonu ayarlayın.
Television,Televizyon
Quality Inspection required for Item {0},{0} Ürünü için Kalite Muayene Gerekli
Debit ({0}),Borç ({0})
Inpatient Visit Charge,Yatan Hasta Ziyaret Ücreti
Transaction Data Mapping,İşlem Verileri Eşlemesi
A Lead requires either a person's name or an organization's name,Bir müşteri adayının adını veya bir kuruluşun adını gerektirir.
Guardians,Koruyucular
Select Brand...,Marka Seçiniz ...
Middle Income,Orta gelir
Calculate Based On,Bazında Hesapla
Barcode {0} already used in Item {1},{1} öğesinde zaten kullanılan {0} barkodu
Campaign Name,Kampanya ismi
Rejected Warehouse,Reddedilen Depo
{0} {1} must be submitted,{0} {1} gönderilmeli
Expense Claim Advance,Gider Talebi Avansı
Rounding Adjustment (Company Currency),Yuvarlama Ayarı (Şirket Para Birimi)
Publish in Hub,Hub&#39;da Yayımla
GSTIN,GSTIN
August,Ağustos
Please enter Purchase Receipt first,Lütfen önce Satınalma Fişi girin
Start Year,Başlangıç yılı
Target ({}),Hedef ({})
Please set Default Payroll Payable Account in Company {0},Lütfen {0} Şirketinde Varsayılan Bordro Borç Hesabını ayarlayın
Sales Summary,Satış özeti
In Words (Company Currency),Kelimelerle (Şirket Para Birimi)
Please specify currency in Company,Lütfen Şirkette para birimini belirtin
Price,Fiyat
Min Order Qty,Min Sipariş Adet
Holiday Management,Tatil Yönetimi
Please enable default incoming account before creating Daily Work Summary Group,Günlük İş Özet Grubu oluşturmadan önce lütfen varsayılan gelen hesabı etkinleştirin
You can only select a maximum of one option from the list of check boxes.,Onay kutuları listesinden en fazla bir seçenek seçebilirsiniz.
Public Transport,Toplu taşıma
Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,{1} ve {2} Maddesi için Maksimum Örnekler - {0} saklanabilir.
Max Sample Quantity,Maksimum Örnek Miktarı
Source and target warehouse must be different,Kaynak ve hedef depo farklı olmalı
Benefits Applied,Uygulanan Faydalar
Against Journal Entry {0} does not have any unmatched {1} entry,{0} Gazetesi Girişine karşı eşleştirilmemiş {1} giriş yok
Price or product discount slabs are required,Fiyat veya ürün indirimi levhaları gereklidir
Set a Target,Bir hedef seç
Attendance Record {0} exists against Student {1},{0} Öğrenci Kaydı {0} Öğrenci aleyhinde
Date of Transaction,İşlem tarihi
Cancel Subscription,Aboneliği iptal et
Net Salary Amount,Net Maaş Tutarı
Liability,Yükümlülük
Bank A/C No.,Banka A / C No.
Discharge Note,Deşarj Notu
Action if Accumulated Monthly Budget Exceeded on MR,MR&#39;da Birikmiş Aylık Bütçenin Aşılması durumunda İşlem
Asset Movement,Varlık Hareketi
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Kredi Notu otomatik olarak oluşturulamadı, lütfen &#39;Kredi Notu Ver&#39; seçeneğinin işaretini kaldırın ve tekrar gönderin"
Per Month,Her ay
Routing Name,Yönlendirme Adı
Common Name,Yaygın isim
Measurable,Ölçülebilir
LMS Title,LMS Başlığı
Loan Management,Kredi Yönetimi
Support Analtyics,Destek Analitiği
Consumable Total Amount,Tüketilebilir Toplam Tutar
Enable Template,Şablonu Etkinleştir
Customer LPO,Müşteri LPO
Website Image {0} attached to Item {1} cannot be found,{1} Öğesine ekli {0} Web Sitesi Resmi bulunamadı
Planned,planlı
Custodian,bekçi
Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,Maliyet Merkezine dayalı filtre yalnızca Maliyet Merkezi olarak Karşı Karşı Bütçe seçiliyse uygulanabilir
Quoted Item Comparison,Alıntılanan Ürün Karşılaştırma
Employee Advance,Çalışan Gelişimi
Inward supplies liable to reverse charge (other than 1 & 2 above),Ters sarj yapmakla yükümlü iç sarf malzemeleri (yukarıdaki 1 ve 2 hariç)
Shopping Cart,Alışveriş kartı
User {0} does not exist,{0} kullanıcısı mevcut değil
Loans and Advances (Assets),Krediler ve Avanslar (Varlıklar)
Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.,"{0} satırı: Bu önceden bir giriş ise, lütfen {1} Hesabına göre &#39;İlerlemiş&#39; seçeneğini işaretleyin."
Designation (optional),Atama (isteğe bağlı)
Total Principal Amount,Toplam Ana Tutar
Customer / Lead Address,Müşteri / Satış Adresi
Soap & Detergent,Sabun ve Deterjan
Purchase Analytics,Analytics Satın Alın
Opportunity,fırsat
Prefered Contact Email,Tercih Edilen İletişim E-postası
Opening Accounting Balance,Muhasebe Bakiyesini açma
[Select],[Seç]
MAT-RECO-.YYYY.-,MAT-Reco-.YYYY.-
Master Data,Ana veriler
Yet to appear,Henüz görünmek için
Customers in Queue,Kuyruktaki Müşteriler
Supplier Details,Tedarikçi Detayları
No gain or loss in the exchange rate,Döviz kurunda kazanç veya kayıp yok
GSTR-1,GSTR-1
Total Billable Hours,Toplam Faturalanabilir Saat
Represents Company,Şirketi temsil eder
Company Address,şirket adresi
Lead Name,Kurşun Adı
Diseases & Fertilizers,Hastalıklar ve Gübreler
Item {0} must be a Sub-contracted Item,"{0} maddesi, Taahhütlü bir Madde olmalıdır"
Purchase Receipt Items,Makbuz Kalemleri Satın Alma
Ignore Existing Projected Quantity,Mevcut Öngörülen Miktarı Yoksay
Supervisor,gözetmen
Salary Detail,Maaş Detayı
Budget Against,Bütçeye Karşı
Add Letterhead,Antetli Kağıt Ekle
Templates of supplier scorecard criteria.,Tedarikçi puan kartı kriterlerinin şablonları.
Default Finance Book,Varsayılan Finans Defteri
Please specify Company,Lütfen şirketi belirtin
Total contribution percentage should be equal to 100,Toplam katkı yüzdesi 100&#39;e eşit olmalıdır
Webhooks Secret,Webhooks Sırrı
Asset Depreciations and Balances,Varlık Amortisman ve Bakiyeleri
New Batch Qty,Yeni Toplu Miktar
Import of goods,Mal ithalatı
Raw Material Item Code,Hammadde Ürün Kodu
Purchase Invoice {0} is already submitted,Satınalma Fatura {0} zaten gönderildi
Student Email,Öğrenci e-postası
BOM recursion: {0} cannot be parent or child of {2},"BOM özyinelemesi: {0}, {2} öğesinin ebeveyni veya çocuğu olamaz"
Get Items from Healthcare Services,Sağlık Hizmetlerinden Ürün Alın
Stock Entry {0} is not submitted,{0} stok girişi gönderilmedi
Item Attribute Value,Öğe Özellik Değeri
Volunteer Skills,Gönüllü Beceriler
Cannot enroll more than {0} students for this student group.,Bu öğrenci grubu için {0} dan fazla öğrenci kayıt olamaz.
Costing Details,Maliyet ayrıntıları
Sales Invoice {0} has already been submitted,{0} satış faturası gönderildi
Accounting Entries,Muhasebe Girişleri
Internal Transfer,İç transfer
Stock Details,Stok Detayları
Is Carry Forward,Taşıma İleri mi
Product Enquiry,Ürün sorgulama
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
Evaluation Period,Değerlendirme Dönemi
Volunteer Skill,Gönüllü Beceri
Order Confirmation No,Sipariş Onayı No
POS,POS
Self-Study,Bireysel çalışma
Above,yukarıdaki
Action Doctype,Eylem Doktipi
Allow Print Before Pay,Ödeme Yapmadan Önce Yazdırmaya İzin Ver
Select Items to Manufacture,Üretilecek Öğeleri Seçin
Leave Approver Name,Onaylayan Adı Bırak
Shareholder,Hissedar
Agreement Status,Anlaşma Durumu
Default settings for selling transactions.,Satış işlemleri için varsayılan ayarlar.
Please select Student Admission which is mandatory for the paid student applicant,Lütfen ücretli öğrenci adayı için zorunlu olan Öğrenci Kabulünü seçin.
Select BOM,Malzeme Listesi Seç
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","{0} çakışmalarının zamanlamaları, çakışan yuvaları atladıktan sonra devam etmek ister misiniz?"
Customer or Supplier Details,Müşteri veya Tedarikçi Detayları
Debit Account,Borç hesabı
Trial Period End Date Cannot be before Trial Period Start Date,Deneme Süresi Bitiş Tarihi Deneme Süresi Başlangıç Tarihi&#39;nden önce olamaz
Rented,kiralanmış
Employee Group Table,Çalışan Grup Masası
HR Manager,İK Yöneticisi
Details of Outward Supplies and inward supplies liable to reverse charge,Dışa Sarf Malzemelerinin ve geri beslemeden sorumlu olan iç sarf malzemelerinin ayrıntıları
Cheque/Reference No,Kontrol / Referans No
Assessment Result,Değerlendirme Sonucu
New Contact,Yeni bağlantı
Opportunities,Fırsatlar
Net Cash from Operations,Operasyonlardan Net Nakit
Leave Encashment,Encashment bırakın
Source warehouse is mandatory for row {0},{0} satırı için kaynak deposu zorunludur
After Date,Tarihten Sonra
ITC Available (whether in full op part),ITC Available (tam bölümlerinde olsun)
Row {0}: Activity Type is mandatory.,{0} Satırı: Etkinlik Türü zorunludur.
Consultant,Danışman
Select an employee to get the employee advance.,Çalışanın ilerlemesini almak için bir çalışan seçin.
"Asset cannot be cancelled, as it is already {0}","Varlık, zaten {0} olduğu gibi iptal edilemez."
Wrong Password,Yanlış şifre
STO-ITEM-.YYYY.-,STO-MADDE-.YYYY.-
Update Account Number / Name,Hesap Numarasını / Adını Güncelle
Use Custom Cash Flow Format,Özel Nakit Akışı Formatı Kullan
Opening Invoices,Faturaları Açmak
Send to Warehouse,Depoya Gönder
Event Status,Etkinlik Durumu
Total completed qty must be greater than zero,Tamamlanan toplam adet sıfırdan büyük olmalıdır
Chargeable,Ücretli
Anytime,İstediğin zaman
Student Batch-Wise Attendance,Öğrenci Yetiştirme Partisine Devam
Normal Test Template,Normal Test Şablonu
Tree of financial Cost Centers.,Finansal Maliyet Merkezleri Ağacı.
"in Minutes
Updated via 'Time Log'",Dakikada &#39;Zaman Günlüğü&#39; ile Güncelleniyor
Bin,Çöp Kutusu
Invoice Number,Fatura numarası
Fulfillment User,Yerine Getirme Kullanıcı
Planned End Time,Planlanan Bitiş Zamanı
Section Code,Bölüm Kodu
Monitor Progress,İlerlemeyi İzleme
Select Batch No,Parti No Seç
Payroll Number,Bordro Numarası
Include UOM,UOM&#39;u dahil et
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Seçilen Satınalma Fişleri için Borsa Defter Girişleri ve GL Girişleri
Update Print Format,Baskı Formatını Güncelle
Siblings,Kardeşler
Hold Invoice,Faturayı Tut
Row {0}: Invalid reference {1},{0} satırı: Geçersiz {1} referansı
Profitability Analysis,Karlılık Analizi
New Account Name,Yeni Hesap Adı
Expense Proof,Gider kanıtı
Served,sunulan
Member,üye
Practitioner Service Unit Schedule,Uygulayıcı Hizmet Birimi Programı
Wire Transfer,Elektronik transfer
Against Account,Hesaba Karşı
Projects Settings,Proje Ayarları
Actual Qty {0} / Waiting Qty {1},Gerçek Miktar {0} / Bekleme Miktarı {1}
{0} {1}: Account {2} cannot be a Group,{0} {1}: {2} hesabı bir Grup olamaz
Prescription Duration,Reçete Süresi
Row {0}: Debit entry can not be linked with a {1},{0} Satırı: Borç girişi bir {1} ile ilişkilendirilemez
Intro Video,Tanıtım Videosu
Is Paid,Ödendi
Debit,borç
Item Balance (Simple),Öğe Bakiyesi (Basit)
Purchase orders help you plan and follow up on your purchases,"Satınalma siparişleri, satın alımlarınızı planlamanıza ve takip etmenize yardımcı olur"
Project Type,Proje tipi
Student Batch Name,Öğrenci Grubu Adı
Qty to Receive,Alınacak Miktar
Previous Business Day,Önceki İş Günü
Sponsored Amount,Sponsor Miktarı
Please wait 3 days before resending the reminder.,Lütfen hatırlatıcıyı tekrar göndermeden önce 3 gün bekleyin.
Qty as per Stock UOM,Stok Başına Miktar
Quantity,miktar
Estimated Arrival,tahmini varış
Trial Balance for Party,Parti için Deneme Dengesi
Employee Separation Template,Çalışan Ayrılık Şablonu
Unit,birim
Maximum benefit amount of component {0} exceeds {1},{0} bileşeninin maksimum fayda tutarı {1} &#39;i aşıyor
Venture Capital,Girişim Sermayesi
Fiscal Year End Date should be one year after Fiscal Year Start Date,"Mali Yıl Sonu Tarihi, Mali Yıl Başlama Tarihi&#39;nden bir yıl sonra olmalıdır"
Daily Reminders,Günlük Hatırlatıcılar
Default Sales Unit of Measure,Varsayılan Satış Ölçü Birimi
Rate of Depreciation,Amortisman Oranı
Post Description Key,Gönderi Açıklama Anahtarı
Minimum Total Spent,Minimum Toplam Harcanan
Period Score,Dönem Puanı
Can't create standard criteria. Please rename the criteria,Standart ölçütler oluşturulamıyor. Lütfen kriterleri yeniden adlandır
Arrival Datetime,Varış Saati
Student LMS Activity,Öğrenci LMS Etkinliği
Quantity Difference,Miktar Farkı
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,"Satır # {0}: Tahsis Edilen Tutar, kalan tutardan büyük olamaz."
Timesheet Detail,Zaman Çizelgesi Ayrıntısı
Proficiency,yeterlik
Sent To,A gönderildi
Hub Publishing Details,Hub Yayın Detayları
"Student Batches help you track attendance, assessments and fees for students","Öğrenci Grupları, öğrencilerin katılımını, değerlendirmelerini ve ücretlerini izlemenize yardımcı olur"
Declared Amount,Beyan Edilen Tutar
Auto close Opportunity after 15 days,15 gün sonra fırsatı otomatik olarak kapat
Issue,Konu
Availability Timeslot,Kullanılabilirlik Zaman Çizelgesi
Program Abbreviation,Program Kısaltma
Project Start Date,Proje Başlangıç Tarihi
Additional DIscount Amount,Ek Bakiye Tutarı
Item {0} not found in 'Raw Materials Supplied' table in Purchase Order {1},"Satınalma Siparişinde {1}, &#39;Hammadde Tedarik Edildi&#39; tablosunda {0} bulunamadı"
Manage cost of operations,İşlem maliyetini yönet
You are not authorized to set Frozen value,Dondurulmuş değeri ayarlama yetkiniz yok
Lapsed,Sona
Investments,Yatırımlar
Date of Birth,Doğum tarihi
You need to be a user with System Manager and Item Manager roles to register on Marketplace.,Marketplace&#39;e kaydolmak için Sistem Yöneticisi ve Öğe Yöneticisi rollerine sahip bir kullanıcı olmanız gerekir.
Item Attribute Values,Öğe Özellik Değerleri
Please save the patient first,Lütfen önce hastayı kurtarın
Half Day Date should be between From Date and To Date,"Yarım Gün Tarih, Tarih ile Tarih arasında olmalıdır."
Expected Discharge,Beklenen Boşalma
Travel Type,Seyahat Türü
Customer is required,Müşteri gerekli
Invalid quantity specified for item {0}. Quantity should be greater than 0.,{0} öğesi için geçersiz miktar belirtildi. Miktar 0&#39;dan büyük olmalıdır.
As Supervisor,Danışman olarak
Employees,Çalışanlar
Billing Status,Fatura Durumu
Please select Category first,Lütfen önce kategori seçiniz
BOM Browser,BOM Tarayıcı
Create Student Groups,Öğrenci Grupları Oluştur
In Minutes,Dakikalar içinde
Net Pay cannot be less than 0,Net Ödeme 0&#39;dan az olamaz
Schedules,Programları
Employee Training,Çalışan eğitimi
Rate of Interest (%) / Year,Faiz Oranı (%) / Yıl
Require Result Value,Sonuç Değeri İste
Loan Type,Kredi Türü
Item Code required at Row No {0},{0} Satırında Ürün Kodu gerekli
Identification of the package for the delivery (for print),Teslimat için paketin tanımlanması (baskı için)
Assessment Name,Değerlendirme Adı
Departure Datetime,Datetime Kalkış
From Warehouse,Depodan
Amount {0} {1} against {2} {3},{2} {3} ile {0} {1} tutarında
Create Variant,Varyant Yarat
Fulfilment Terms and Conditions,Yerine Getirme Şartları ve Koşulları
Date of Commencement should be greater than Date of Incorporation,Başlama Tarihi Kuruluş Tarihinden Büyük olmalıdır
