Pension Funds,Pensioenfonds
Item Code required at Row No {0},Itemkode benodig by ry nr {0}
Identification of the package for the delivery (for print),Identifikasie van die pakket vir die aflewering (vir druk)
Assessment Name,Assesseringsnaam
Departure Datetime,Vertrek Datum Tyd
From Warehouse,Uit pakhuis
Amount {0} {1} against {2} {3},Bedrag {0} {1} teen {2} {3}
Create Variant,Skep Variant
Fulfilment Terms and Conditions,Voorwaardes en Voorwaardes
Date of Commencement should be greater than Date of Incorporation,Datum van inwerkingtreding moet groter wees as datum van inlywing
Price or Product Discount,Prys of Produk afslag
Reading 1,Lees 1
Maximum Age,Maksimum ouderdom
Payroll Periods,Payroll Periods
Transferred Quantity,Oordragte hoeveelheid
Marketplace Settings,Marketplace-instellings
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Aankoopbestellings word nie toegelaat vir {0} as gevolg van &#39;n telkaart wat staan van {1}.
Price List not selected,Pryslys nie gekies nie
Workstation is closed on the following dates as per Holiday List: {0},Werkstasie is gesluit op die volgende datums soos per Vakansie Lys: {0}
"Reselect, if the chosen address is edited after save","Herstel, as die gekose adres geredigeer word na die stoor"
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,Verstekeenheid van item vir item {0} kan nie direk verander word nie omdat jy reeds &#39;n transaksie (s) met &#39;n ander UOM gemaak het. Jy sal &#39;n nuwe item moet skep om &#39;n ander standaard UOM te gebruik.
Changing Customer Group for the selected Customer is not allowed.,"Om kliëntgroep vir die gekose kliënt te verander, is nie toegelaat nie."
Creation Document Type,Skepping dokument tipe
Available Batch Qty at Warehouse,Beskikbare joernaal by pakhuis
This is a root territory and cannot be edited.,Hierdie is &#39;n wortelgebied en kan nie geredigeer word nie.
Surgical History,Chirurgiese Geskiedenis
Tree of Quality Procedures.,Boom van gehalteprosedures.
Contact HTML,Kontak HTML
Employee Information,Werknemersinligting
Examiner,eksaminator
Actual Amount,Werklike Bedrag
Fulfilled,Vervul
Row {0}: Enter location for the asset item {1},Ry {0}: Gee plek vir die bateitem {1}
View Timesheet,Bekyk tydrooster
Taxes and Charges Calculation,Belasting en Koste Berekening
Action Document,Aksie Dokument
Procedure Prescription,Prosedure Voorskrif
Guardian Name,Voognaam
Successfully Reconciled,Suksesvol versoen
Period Name,Periode Naam
Please pull items from Delivery Note,Trek asseblief items van afleweringsnotas
Content Question,Inhoud Vraag
In Stock: ,Op voorraad:
Please save before assigning task.,Stoor asseblief voor die toewysing van die taak.
Company is manadatory for company account,Maatskappy is manadatory vir maatskappy rekening
Delivery Warehouse,Delivery Warehouse
Enable Shopify,Aktiveer Shopify
Additional information regarding the patient,Bykomende inligting rakende die pasiënt
Purchase Receipts,Aankoopontvangste
New Employee,Nuwe Werknemer
Update Auto Repeat Reference,Dateer outomaties herhaal verwysing
Fees,fooie
Student Group Name,Student Groep Naam
Employee,werknemer
Available-for-use Date should be after purchase date,Beskikbaar vir gebruik Datum moet na aankoopdatum wees
Please define grade for Threshold 0%,Definieer asseblief graad vir Drempel 0%
"Apps using current key won't be able to access, are you sure?","Programme wat die huidige sleutel gebruik, sal nie toegang hê nie, is jy seker?"
Minutes,Minute
Correct,korrekte
Total Declared Amount,Totale verklaarde bedrag
Material,materiaal
Is Inpatient,Is binnepasiënt
Encashment Amount,Encashment Bedrag
Conversion Rate,Gesprekskoers
CEO,hoof uitvoerende beampte
Set tasks in this project as cancelled?,Stel take in hierdie projek as gekanselleer?
Reserved Qty for sub contract,Voorgeskrewe hoeveelheid vir subkontrak
Create Payment Entry,Maak betalinginskrywing
Submit Proof,Dien Bewys in
Credit Months,Kredietmaande
Providing,Verskaffing
Total Billing Amount,Totale faktuurbedrag
Maintenance Visit,Onderhoud Besoek
Country of Origin,Land van oorsprong
Agriculture Analysis Criteria,Landbou Analise Kriteria
Additional Salary Component Exists.,Bykomende Salaris-komponent bestaan.
Grocery,kruideniersware
Minimum Seating,Minimum sitplek
Furry,Harige
"Can not filter based on Account, if grouped by Account","Kan nie filter op grond van rekening, indien gegroepeer volgens rekening nie"
Bank Entries,Bankinskrywings
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,Ingelyfde Analise
Valid From Date must be lesser than Valid Upto Date.,Geldig vanaf datum moet minder wees as geldige datum datum.
Salary Component,Salaris Komponent
Maintenance Team Members,Onderhoudspanlede
Minimum Age,Minimum ouderdom
Available Selling,Beskikbaar verkoop
Taxes and Charges Deducted,Belasting en heffings afgetrek
Create Lab Test,Maak Lab Test
Hotel Settings,Hotel Stellings
Select Transaction,Kies transaksie
Declare Lost,Verklaar Verlore
If different than customer address,As anders as kliënt adres
Chart Tree,Grafiekboom
Contract,kontrak
Please select the Multiple Tier Program type for more than one collection rules.,Kies asseblief die Meervoudige Tier Program tipe vir meer as een versameling reëls.
{0} for {1},{0} vir {1}
For Quantity (Manufactured Qty) is mandatory,Vir Hoeveelheid (Vervaardigde Aantal) is verpligtend
"e.g. ""Primary School"" or ""University""",bv. &quot;Laerskool&quot; of &quot;Universiteit&quot;
Apply Multiple Pricing Rules,Pas meerdere prysreëls toe
Review Invitation Sent,Hersien uitnodiging gestuur
No of Months,Aantal maande
Serial Nos Required for Serialized Item {0},Serial Nos Required for Serialized Item {0}
Bill of Materials (BOM),Wetsontwerp (BOM)
Allow Stale Exchange Rates,Staaf wisselkoerse toe
Website Description,Webwerf beskrywing
Expense Details,Uitgawe Besonderhede
From Range has to be less than To Range,Van bereik moet minder wees as om te bereik
Products to be shown on website homepage,Produkte wat op die tuisblad van die webwerf gewys word
Is Master Data Processed,Word hoofdata verwerk
Quantity  that must be bought or sold per UOM,Hoeveelheid wat per UOM gekoop of verkoop moet word
Total Sales Amount (via Sales Order),Totale verkoopsbedrag (via verkooporder)
Box,Boks
Default Cost Center,Verstek kostepunt
Billed Amt,Billed Amt
Please set default {0} in Company {1},Stel asseblief die standaard {0} in Maatskappy {1}
Distance from left edge,Afstand van linkerkant
Item 4,Item 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",Voorskot betaal teen {0} {1} kan nie groter wees as Grand Total {2}
Income Account,Inkomsterekening
All Warehouses,Alle pakhuise
Signee Details,Signee Besonderhede
Procurement,verkryging
Check this if you want to show in website,Kontroleer dit as jy op die webwerf wil wys
Fiscal Year {0} not found,Fiskale jaar {0} nie gevind nie
Bank Statement Settings,Bankstaatinstellings
Score (0-5),Telling (0-5)
Attribute {0} selected multiple times in Attributes Table,Attribuut {0} het verskeie kere gekies in Attributes Table
Debit Note Issued,Debiet Nota Uitgereik
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",Kies asseblief Item waar &quot;Voorraaditem&quot; is &quot;Nee&quot; en &quot;Is verkoopitem&quot; is &quot;Ja&quot; en daar is geen ander Produkpakket nie.
Employee {0} of grade {1} have no default leave policy,Werknemer {0} van graad {1} het geen verlofverlofbeleid nie
Leave Policy Detail,Verlaat beleidsdetail
Warehouse not found in the system,Pakhuis nie in die stelsel gevind nie
OP Consulting Charge,OP Konsultasiekoste
Measurable Goal,Meetbare doel
Invoices,fakture
Currency Exchange,Geldwissel
Fortnightly,tweeweeklikse
"Material Request not created, as quantity for Raw Materials already available.","Materiaal Versoek nie geskep nie, as hoeveelheid vir Grondstowwe wat reeds beskikbaar is."
Creation User,Skeppingsgebruiker
"Record of all communications of type email, phone, chat, visit, etc.","Rekord van alle kommunikasie van tipe e-pos, telefoon, klets, besoek, ens."
Asset Settings,Bate instellings
Worked On Holiday,Op vakansie gewerk
Either location or employee must be required,Enige plek of werknemer moet vereis word
Item {0} is cancelled,Item {0} is gekanselleer
Course End Date,Kursus Einddatum
Opportunity From field is mandatory,Geleentheid Van veld is verpligtend
Warning: Leave application contains following block dates,Waarskuwing: Laat aansoek bevat die volgende blokdatums
Preventive Maintenance,Voorkomende instandhouding
Institute Abbreviation,Instituut Afkorting
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry","Verskilrekening moet &#39;n Bate / Aanspreeklikheidsrekening wees, aangesien hierdie Voorraadversoening &#39;n Openingsinskrywing is"
Contract End Date must be greater than Date of Joining,Kontrak Einddatum moet groter wees as Datum van aansluiting
Default Leave Policy,Verstekverlofbeleid
Select Users,Kies gebruikers
Net Hour Rate,Netto uurkoers
Age,ouderdom
Event Details,Gebeurtenisbesonderhede
Accumulated Monthly,Opgehoop maandeliks
Save the document first.,Stoor die dokument eerste.
Update Cost,Werk koste
Fully Delivered,Volledig afgelewer
Please enter company first,Voer asseblief die maatskappy eerste in
Confirmed orders from Customers.,Bevestigde bestellings van kliënte.
Dosage Strength,Dosis Sterkte
Fill the form and save it,Vul die vorm in en stoor dit
Enrollment Details,Inskrywingsbesonderhede
Subscription Invoice,Inskrywing Invoice
Total Leaves Encashed,Totale blare ingesluit
Verified By,Bevestig deur
Get Invoices,Kry fakture
Settled,gevestig
Re-open,Heropen
Closing Fiscal Year,Afsluiting van fiskale jaar
Release Date,Release Date
Advances,vooruitgang
Specify conditions to calculate shipping amount,Spesifiseer voorwaardes om die versendingsbedrag te bereken
Technology,tegnologie
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Kan slegs ry verwys as die lading tipe &#39;Op vorige rybedrag&#39; of &#39;Vorige ry totaal&#39; is
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Indien gekontroleer, Totale nommer. van werksdae sal vakansiedae insluit, en dit sal die waarde van salaris per dag verminder"
Location Name,Pleknaam
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: Rekening {2} behoort nie aan Maatskappy {3}
Remaining Benefits (Yearly),Resterende Voordele (Jaarliks)
Depreciation Start Date,Waardevermindering Aanvangsdatum
Billing Rate,Rekeningkoers
Warning: Another {0} # {1} exists against stock entry {2},Waarskuwing: Nog {0} # {1} bestaan teen voorraadinskrywings {2}
Please enable Google Maps Settings to estimate and optimize routes,Aktiveer asseblief Google Maps-instellings om roetes te skat en te optimaliseer
Max Score,Maksimum telling
Repayment Start Date cannot be before Disbursement Date.,Terugbetaling Begindatum kan nie voor Uitbetalingsdatum wees nie.
Support Search Source,Ondersteun soekbron
Financial Services,Finansiële dienste
Availability,beskikbaarheid
Tree of Procedures,Boom van Prosedures
Allow Item to be added multiple times in a transaction,Laat item toe om verskeie kere in &#39;n transaksie te voeg
{0} {1} is not submitted,{0} {1} is nie ingedien nie
Backflush raw materials from work-in-progress warehouse,Backflush grondstowwe uit werk-in-progress pakhuis
Maintenance Team Member,Onderhoudspanlid
The minimum distance between rows of plants for optimum growth,Die minimum afstand tussen rye plante vir optimale groei
Health Insurance Name,Gesondheidsversekeringsnaam
Stock Assets,Voorraadbates
Further cost centers can be made under Groups but entries can be made against non-Groups,"Verdere kostepunte kan onder Groepe gemaak word, maar inskrywings kan gemaak word teen nie-groepe"
Upper Income,Boonste Inkomste
Discount Allowed Account,Korting Toegestaan Rekening
Restart Subscription,Herbegin inskrywing
You can not change rate if BOM mentioned agianst any item,U kan nie koers verander as BOM enige item genoem het nie
Please login as another user to register on Marketplace,Log in as &#39;n ander gebruiker om op Marketplace te registreer
Insurance Details,Versekeringsbesonderhede
Past Due Date,Verlede Vervaldatum
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",U kan slegs vir {0} vakatures en begroting {1} \ {2} beplan volgens personeelplan {3} vir moedermaatskappy {4}.
No GST No. found for the Company.,Geen GST No. gevind vir die Maatskappy nie.
From Pin Code,Van PIN-kode
Signed On,Geteken
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Rekeningkundige Inskrywing vir {2} kan slegs in valuta gemaak word: {3}
Assessment Criteria,Assesseringskriteria
Is Billable,Is betaalbaar
User must always select,Gebruiker moet altyd kies
Compensatory leave request days not in valid holidays,Vergoedingsverlof versoek dae nie in geldige vakansiedae
Sum of points for all goals should be 100. It is {0},Som van punte vir alle doelwitte moet 100 wees. Dit is {0}
Scrap Items,Afval items
Result Component,Resultaat Komponent
Please mention Basic and HRA component in Company,Vermeld asseblief Basiese en HRA komponent in Maatskappy
{0} does not belong to Company {1},{0} behoort nie aan Maatskappy {1}
Half Day Date,Halfdag Datum
Billing Address Name,Rekening Adres Naam
GST Itemised Purchase Register,GST Itemized Purchase Register
Alternate Item,Alternatiewe Item
Name of Applicant,Naam van applikant
Earned Leave,Verdien Verlof
June,Junie
Row {0}: Cost center is required for an item {1},Ry {0}: Koste sentrum is nodig vir &#39;n item {1}
Can be approved by {0},Kan goedgekeur word deur {0}
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Eenheid van maat {0} is meer as een keer in die Faktor Tabel ingevoer
Net Rate (Company Currency),Netto koers (Maatskappy Geld)
All BOMs,Alle BOM&#39;s
Days for which Holidays are blocked for this department.,Dae waarvoor vakansiedae vir hierdie departement geblokkeer word.
"Cannot Submit, Employees left to mark attendance","Kan nie inskryf nie, werknemers wat oorgebly het om bywoning te merk"
Quality Inspection Template,Kwaliteit Inspeksie Sjabloon
Result Datetime,Resultaat Datetime
Valuation,waardasie
Student Monthly Attendance Sheet,Student Maandelikse Bywoningsblad
Term End Date,Termyn Einddatum
Child Docname,Kind Docname
Services,dienste
Cannot set quantity less than received quantity,Kan nie hoeveelheid minder as ontvang hoeveelheid bepaal nie
Supplier Part Number,Verskaffer Deelnommer
Standard Selling Rate,Standaard verkoopkoers
Please set an active menu for Restaurant {0},Stel asseblief &#39;n aktiewe spyskaart vir Restaurant {0}
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,Jy moet &#39;n gebruiker wees met Stelselbestuurder en Itembestuurderrolle om gebruikers by Marketplace te voeg.
