DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,{} of {},{} کا {
DocType: Sales Invoice Item,Rate With Margin (Company Currency),مارجن کے ساتھ شرح (کمپنی کی کرنسی)
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Categories,اقسام
apps/erpnext/erpnext/accounts/page/pos/pos.js,Sync Offline Invoices,مطابقت پذیری حاضر انوائس
DocType: Payment Request,Paid,ادائیگی
DocType: Service Level,Default Priority,پہلے سے طے شدہ ترجیح
DocType: Program Fee,Program Fee,پروگرام کی فیس
DocType: BOM Update Tool,"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.",کسی خاص BOM کو دوسرے دوسرے BOM میں تبدیل کریں جہاں اسے استعمال کیا جاتا ہے. یہ پرانے BOM لنک کی جگہ لے لے گی، تازہ کاری کے اخراجات اور نئے BOM کے مطابق &quot;بوم دھماکہ آئٹم&quot; ٹیبل دوبارہ بنائے گا. یہ تمام بی ایمز میں تازہ ترین قیمت بھی اپ ڈیٹ کرتا ہے.
DocType: Employee Skill Map,Employee Skill Map,ملازم مہارت کا نقشہ
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,The following Work Orders were created:,مندرجہ ذیل کام کرنے والوں کو تشکیل دیا گیا تھا:
DocType: Salary Slip,Total in words,الفاظ میں کل
DocType: Inpatient Record,Discharged,ڈسچارج
DocType: Material Request Item,Lead Time Date,لیڈ وقت تاریخ
,Employee Advance Summary,ملازم ایڈورانس خلاصہ
DocType: Asset,Available-for-use Date,استعمال کے لئے دستیاب تاریخ
DocType: Guardian,Guardian Name,سرپرست کا نام
DocType: Cheque Print Template,Has Print Format,پرنٹ کی شکل ہے
DocType: Support Settings,Get Started Sections,شروع حصوں
DocType: Lead,CRM-LEAD-.YYYY.-,CRM- LEAD-YYYY.-
DocType: Invoice Discounting,Sanctioned,منظور
,Base Amount,بیس رقم۔
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.js,Total Contribution Amount: {0},کل شراکت کی رقم: {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Please specify Serial No for Item {1},صف # {0}: شے کے لئے کوئی سیریل کی وضاحت کریں {1}
DocType: Payroll Entry,Salary Slips Submitted,تنخواہ سلپس پیش کی گئی
DocType: Crop Cycle,Crop Cycle,فصل کا سائیکل
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",&#39;پروڈکٹ بنڈل&#39; اشیاء، گودام، سیریل نمبر اور بیچ کے لئے نہیں &#39;پیکنگ کی فہرست کی میز سے غور کیا جائے گا. گودام اور بیچ کسی بھی &#39;پروڈکٹ بنڈل&#39; شے کے لئے تمام پیکنگ اشیاء کے لئے ایک ہی ہیں، ان اقدار بنیادی شے کے ٹیبل میں داخل کیا جا سکتا، اقدار ٹیبل &#39;پیکنگ کی فہرست&#39; کے لئے کاپی کیا جائے گا.
DocType: Amazon MWS Settings,BR,BR
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Place,جگہ سے
DocType: Student Admission,Publish on website,ویب سائٹ پر شائع کریں
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Supplier Invoice Date cannot be greater than Posting Date,سپلائر انوائس تاریخ پوسٹنگ کی تاریخ سے زیادہ نہیں ہو سکتا
DocType: Installation Note,MAT-INS-.YYYY.-,میٹ - انس - .YYYY-
DocType: Subscription,Cancelation Date,منسوخ تاریخ
DocType: Purchase Invoice Item,Purchase Order Item,آرڈر شے کی خریداری
DocType: Agriculture Task,Agriculture Task,زراعت کا کام
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Indirect Income,بالواسطہ آمدنی
DocType: Student Attendance Tool,Student Attendance Tool,طلبا کی حاضری کا آلہ
DocType: Restaurant Menu,Price List (Auto created),قیمت کی فہرست (آٹو تخلیق)
DocType: Pick List Item,Picked Qty,کیٹی کو اٹھایا
DocType: Cheque Print Template,Date Settings,تاریخ کی ترتیبات
apps/erpnext/erpnext/education/doctype/question/question.py,A question must have more than one options,سوال کے پاس ایک سے زیادہ اختیارات ہونے چاہئیں۔
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Variance,بادبانی
DocType: Employee Promotion,Employee Promotion Detail,ملازم فروغ کی تفصیل
DocType: SMS Center,Total Message(s),کل پیغام (ے)
DocType: Share Balance,Purchased,خریدا
DocType: Item Variant Settings,Rename Attribute Value in Item Attribute.,آئٹم کی خصوصیت میں خصوصیت قیمت کا نام تبدیل کریں.
DocType: Purchase Invoice,Additional Discount Percentage,اضافی ڈسکاؤنٹ فی صد
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,View a list of all the help videos,تمام قسم کی مدد ویڈیوز کی ایک فہرست دیکھیں
DocType: Agriculture Analysis Criteria,Soil Texture,مٹی بنت
DocType: Bank Reconciliation,Select account head of the bank where cheque was deposited.,چیک جمع کیا گیا تھا جہاں بینک کے اکاؤنٹ منتخب کریں سر.
DocType: Selling Settings,Allow user to edit Price List Rate in transactions,صارف لین دین میں قیمت کی فہرست کی شرح میں ترمیم کرنے دیں
DocType: Pricing Rule,Max Qty,زیادہ سے زیادہ مقدار
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.js,Print Report Card,رپورٹ کارڈ پرنٹ کریں
apps/erpnext/erpnext/accounts/doctype/c_form/c_form.py,"Row {0}: Invoice {1} is invalid, it might be cancelled / does not exist. \
						Please enter a valid Invoice",صف {0}: انوائس {1}، اسے منسوخ کیا جا سکتا ہے / کوئی وجود نہیں ہے غلط ہے. \ ایک درست انوائس درج کریں
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Payment against Sales/Purchase Order should always be marked as advance,صف {0}: سیلز / خریداری کے آرڈر کے خلاف ادائیگی ہمیشہ پیشگی کے طور پر نشان لگا دیا جائے چاہئے
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Chemical,کیمیکل
DocType: Salary Component Account,Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,پہلے سے طے شدہ بینک / کیش اکاؤنٹ خود کار طریقے تنخواہ جرنل اندراج میں اپ ڈیٹ کیا جائے گا جب اس موڈ کو منتخب کیا گیا.
DocType: Quiz,Latest Attempt,تازہ ترین کوشش۔
DocType: Quiz Result,Quiz Result,کوئز کا نتیجہ۔
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total leaves allocated is mandatory for Leave Type {0},اختتام شدہ کل پتیوں کو چھوڑنے کی قسم {0} کے لئے لازمی ہے.
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Rate cannot be greater than the rate used in {1} {2},صف # {0}: شرح میں استعمال کی شرح سے زیادہ نہیں ہو سکتا {1} {2}
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Rate cannot be greater than the rate used in {1} {2},صف # {0}: شرح میں استعمال کی شرح سے زیادہ نہیں ہو سکتا {1} {2}
apps/erpnext/erpnext/utilities/user_progress.py,Meter,میٹر
DocType: Workstation,Electricity Cost,بجلی کی لاگت
apps/erpnext/erpnext/agriculture/doctype/water_analysis/water_analysis.py,Lab testing datetime cannot be before collection datetime,لیبار ٹیسٹنگ ڈیٹیٹ ٹائم کی تاریخ سے پہلے جمع نہیں ہوسکتی ہے
DocType: Subscription Plan,Cost,لاگت
DocType: HR Settings,Don't send Employee Birthday Reminders,ملازم سالگرہ کی یاددہانیاں نہ بھیجیں
DocType: Expense Claim,Total Advance Amount,مجموعی رقم کی رقم
DocType: Delivery Stop,Estimated Arrival,متوقع آمد
apps/erpnext/erpnext/templates/pages/help.html,See All Articles,تمام مضامین دیکھیں
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Walk In,میں چلنے
DocType: Item,Inspection Criteria,معائنہ کا کلیہ
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js,Transfered,transfered کیا
DocType: BOM Website Item,BOM Website Item,BOM ویب آئٹم
apps/erpnext/erpnext/public/js/setup_wizard.js,Upload your letter head and logo. (you can edit them later).,اپنے خط سر اور علامت (لوگو). (آپ کو بعد ان میں ترمیم کر سکتے ہیں).
DocType: Timesheet Detail,Bill,بل
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,White,وائٹ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Invalid Company for Inter Company Transaction.,انٹر کمپنی کے لین دین کے لئے غلط کمپنی۔
DocType: SMS Center,All Lead (Open),تمام لیڈ (کھولیں) تیار
apps/erpnext/erpnext/accounts/doctype/cash_flow_mapping/cash_flow_mapping.py,You can only select a maximum of one option from the list of check boxes.,آپ چیک بکس کی فہرست سے زیادہ سے زیادہ ایک اختیار منتخب کرسکتے ہیں.
DocType: Purchase Invoice,Get Advances Paid,پیشگی ادا کرنے
DocType: Item,Automatically Create New Batch,خود کار طریقے سے نئی کھیپ بنائیں
DocType: Item,Automatically Create New Batch,خود کار طریقے سے نئی کھیپ بنائیں
DocType: Woocommerce Settings,"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.",صارف جو صارفین ، اشیا اور فروخت کے احکامات تخلیق کرنے کے لئے استعمال ہوگا۔ اس صارف کو متعلقہ اجازت حاصل ہونی چاہئے۔
DocType: Supplier,Represents Company,کمپنی کی واپسی
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Make ,بنائیں
DocType: Student Admission,Admission Start Date,داخلے شروع کرنے کی تاریخ
DocType: Journal Entry,Total Amount in Words,الفاظ میں کل رقم
apps/erpnext/erpnext/hr/doctype/employee/employee_tree.js,New Employee,نیا کارکن
apps/erpnext/erpnext/controllers/selling_controller.py,Order Type must be one of {0},آرڈر کی قسم سے ایک ہونا ضروری {0}
DocType: Lead,Next Contact Date,اگلی رابطہ تاریخ
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Opening Qty,مقدار کھولنے
DocType: Healthcare Settings,Appointment Reminder,تقرری یاد دہانی
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please enter Account for Change Amount,تبدیلی کی رقم کے اکاؤنٹ درج کریں
DocType: Program Enrollment Tool Student,Student Batch Name,Student کی بیچ کا نام
DocType: Holiday List,Holiday List Name,چھٹیوں فہرست کا نام
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Importing Items and UOMs,آئٹمز اور UOMs کی درآمد۔
DocType: Repayment Schedule,Balance Loan Amount,بیلنس قرض کی رقم
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Added to details,تفصیلات میں شامل
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"Sorry,coupon code are exhausted",معذرت ، کوپن کوڈ ختم ہوگیا
DocType: Communication Medium,Catch All,سب کو پکڑو۔
apps/erpnext/erpnext/education/doctype/course_scheduling_tool/course_scheduling_tool.js,Schedule Course,شیڈول کورس
DocType: Budget,Applicable on Material Request,مواد کی درخواست پر لاگو
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Stock Options,اسٹاک اختیارات
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,No Items added to cart,ٹوکری میں شامل نہیں کردہ اشیاء
DocType: Journal Entry Account,Expense Claim,اخراجات کا دعوی
apps/erpnext/erpnext/assets/doctype/asset/asset.js,Do you really want to restore this scrapped asset?,اگر تم واقعی اس کو ختم کر دیا اثاثہ بحال کرنا چاہتے ہیں؟
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Qty for {0},کے لئے مقدار {0}
DocType: Attendance,Leave Application,چھٹی کی درخواست
DocType: Patient,Patient Relation,مریض تعلقات
DocType: Item,Hub Category to Publish,حب زمرہ شائع کرنے کے لئے
DocType: Leave Block List,Leave Block List Dates,بلاک فہرست تاریخوں چھوڑ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Sales Order {0} has reservation for item {1}, you can
		only deliver reserved {1} against {0}. Serial No {2} cannot
		be delivered",سیلز آرڈر {0} کے پاس آئٹم {1} کے لئے بکنگ ہے، آپ صرف {1} کے خلاف {0} محفوظ کر سکتے ہیں. سیریل نمبر {2} پہنچا نہیں جا سکتا
DocType: Sales Invoice,Billing Address GSTIN,بلنگ ایڈریس GSTIN
DocType: Homepage,Hero Section Based On,ہیرو سیکشن آن بیسڈ
DocType: Employee Tax Exemption Proof Submission,Total Eligible HRA Exemption,کل مستحق HRA چھوٹ
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! A GSTIN must have 15 characters.,غلط جی ایس ٹی این! ایک جی ایس ٹی این میں 15 حرف ہونے چاہ.۔
