DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item Code cannot be changed for Serial No.,Kód položky nemůže být změněn pro Serial No.
DocType: Purchase Invoice Item,UOM Conversion Factor,Faktor konverzie MJ
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Please enter Item Code to get Batch Number,"Prosím, zadajte kód položky sa dostať číslo šarže"
DocType: Loyalty Point Entry,Loyalty Point Entry,Zadanie vernostného bodu
DocType: Employee Checkin,Shift End,Shift End
DocType: Stock Settings,Default Item Group,Predvolená skupina položiek
DocType: Job Card Time Log,Time In Mins,Čas v minútach
apps/erpnext/erpnext/config/non_profit.py,Grant information.,Poskytnite informácie.
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.js,This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?,Táto akcia zruší prepojenie tohto účtu s akoukoľvek externou službou integrujúcou ERPNext s vašimi bankovými účtami. Nedá sa vrátiť späť. Ste si istí?
apps/erpnext/erpnext/config/buying.py,Supplier database.,Databáze dodavatelů.
DocType: Contract Template,Contract Terms and Conditions,Zmluvné podmienky
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,You cannot restart a Subscription that is not cancelled.,"Predplatné, ktoré nie je zrušené, nemôžete reštartovať."
DocType: Account,Balance Sheet,Rozvaha
DocType: Leave Type,Is Earned Leave,Získaná dovolenka
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount,Suma objednávky
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Cost Center For Item with Item Code ',"Nákladové středisko u položky s Kód položky """
DocType: Fee Validity,Valid Till,Platný do
DocType: Student Report Generation Tool,Total Parents Teacher Meeting,Celkové stretnutie učiteľov rodičov
apps/erpnext/erpnext/accounts/page/pos/pos.js,"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.","Režim platba nie je nakonfigurovaný. Prosím skontrolujte, či je účet bol nastavený na režim platieb alebo na POS Profilu."
apps/erpnext/erpnext/buying/utils.py,Same item cannot be entered multiple times.,Rovnakú položku nemožno zadávať viackrát.
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,"Further accounts can be made under Groups, but entries can be made against non-Groups","Ďalšie účty môžu byť vyrobené v rámci skupiny, ale údaje je možné proti non-skupín"
DocType: Call Log,Lead,Obchodná iniciatíva
DocType: Email Digest,Payables,Závazky
DocType: Amazon MWS Settings,MWS Auth Token,MWS Auth Token
DocType: Email Campaign,Email Campaign For ,E-mailová kampaň pre
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Stock Entry {0} created,Sklad Vstup {0} vytvoril
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You don't have enought Loyalty Points to redeem,Nemáte dostatok vernostných bodov na vykúpenie
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,Please set associated account in Tax Withholding Category {0} against Company {1},Nastavte priradený účet v kategórii zrážky dane {0} voči spoločnosti {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Row #{0}: Rejected Qty can not be entered in Purchase Return,Riadok # {0}: zamietnutie Množstvo nemôže byť zapísaný do kúpnej Návrat
apps/erpnext/erpnext/stock/doctype/item/item.js,Changing Customer Group for the selected Customer is not allowed.,Zmena zákazníckej skupiny pre vybraného zákazníka nie je povolená.
,Purchase Order Items To Be Billed,Položky vydané objednávky k fakturaci
DocType: Program Enrollment Tool,Enrollment Details,Podrobnosti o registrácii
apps/erpnext/erpnext/stock/doctype/item/item.py,Cannot set multiple Item Defaults for a company.,Nie je možné nastaviť viaceré predvolené položky pre spoločnosť.
DocType: Customer Group,Credit Limits,Úverové limity
DocType: Purchase Invoice Item,Net Rate,Čistá miera
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select a customer,Vyberte zákazníka
DocType: Leave Policy,Leave Allocations,Ponechajte alokácie
DocType: Job Card,Started Time,Čas začiatku
DocType: Purchase Invoice Item,Purchase Invoice Item,Položka přijaté faktury
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,Sériové Ledger Přihlášky a GL položky jsou zveřejňována pro vybrané Nákupní Příjmy
DocType: Student Report Generation Tool,Assessment Terms,Hodnotiace podmienky
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Item 1,Položka 1
DocType: Holiday,Holiday,Dovolená
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Leave Type is madatory,Druh dovolenky je panikavý
DocType: Support Settings,Close Issue After Days,Close Issue po niekoľkých dňoch
,Eway Bill,Eway Bill
apps/erpnext/erpnext/public/js/hub/marketplace.js,You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,"Musíte byť používateľom s funkciami Správca systémov a Správca položiek, pomocou ktorých môžete používateľov pridávať do služby Marketplace."
DocType: Attendance,Early Exit,Skorý východ
DocType: Job Opening,Staffing Plan,Personálny plán
apps/erpnext/erpnext/accounts/doctype/sales_invoice/regional/india_list.js,e-Way Bill JSON can only be generated from a submitted document,E-Way Bill JSON môže byť generovaný iba z predloženého dokumentu
apps/erpnext/erpnext/config/hr.py,Employee Tax and Benefits,Daň z príjmu zamestnancov a výhody
DocType: Bank Guarantee,Validity in Days,Platnosť v dňoch
DocType: Bank Guarantee,Validity in Days,Platnosť v dňoch
apps/erpnext/erpnext/accounts/doctype/c_form/c_form.py,C-form is not applicable for Invoice: {0},C-forma sa nevzťahuje na faktúre: {0}
DocType: Certified Consultant,Name of Consultant,Názov konzultanta
DocType: Payment Reconciliation,Unreconciled Payment Details,Smířit platbě
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Member Activity,Členská aktivita
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Count,Počet objednávok
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Order Count,Počet objednávok
DocType: Global Defaults,Current Fiscal Year,Aktuálny fiškálny rok
DocType: Purchase Invoice,Group same items,Skupina rovnaké položky
DocType: Purchase Invoice,Disable Rounded Total,Vypnúť zaokrúhlovanie sumy spolu
DocType: Marketplace Settings,Sync in Progress,Priebeh synchronizácie
DocType: Department,Parent Department,Rodičovské oddelenie
DocType: Loan Application,Repayment Info,splácanie Info
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,'Entries' cannot be empty,"""Položky"" nemôžu býť prázdne"
DocType: Maintenance Team Member,Maintenance Role,Úloha údržby
apps/erpnext/erpnext/utilities/transaction_base.py,Duplicate row {0} with same {1},Duplicitný riadok {0} s rovnakým {1}
DocType: Marketplace Settings,Disable Marketplace,Zakázať trhovisko
DocType: Quality Meeting,Minutes,minúty
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Your Featured Items,Vaše odporúčané položky
,Trial Balance,Trial Balance
apps/erpnext/erpnext/templates/pages/projects.js,Show Completed,Zobraziť dokončené
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Fiscal Year {0} not found,Fiškálny rok {0} nebol nájdený
apps/erpnext/erpnext/config/help.py,Setting up Employees,Nastavenia pre modul Zamestnanci
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.js,Make Stock Entry,Vykonajte zadanie zásob
DocType: Hotel Room Reservation,Hotel Reservation User,Používateľ rezervácie hotelov
apps/erpnext/erpnext/projects/doctype/project/project.js,Set Status,Nastaviť stav
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please select prefix first,"Prosím, vyberte první prefix"
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Prosím pomenujte Series pre {0} cez Setup&gt; Settings&gt; Naming Series
DocType: Contract,Fulfilment Deadline,Termín splnenia
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Near you,Vo vašom okolí
DocType: Student,O-,O-
DocType: Subscription Settings,Subscription Settings,Nastavenia odberu
DocType: Purchase Invoice,Update Auto Repeat Reference,Aktualizovať referenciu automatického opakovania
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Optional Holiday List not set for leave period {0},Voliteľný prázdninový zoznam nie je nastavený na obdobie dovolenky {0}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Research,Výzkum
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Address 2,Na adresu 2
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Row {0}: From time must be less than to time,Riadok {0}: Čas od času musí byť kratší ako čas
DocType: Maintenance Visit Purpose,Work Done,Odvedenou práci
apps/erpnext/erpnext/controllers/item_variant.py,Please specify at least one attribute in the Attributes table,Uveďte aspoň jeden atribút v tabuľke atribúty
DocType: Announcement,All Students,všetci študenti
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} must be a non-stock item,Item {0} musí byť non-skladová položka
apps/erpnext/erpnext/stock/doctype/batch/batch.js,View Ledger,View Ledger
DocType: Cost Center,Lft,LFT
DocType: Grading Scale,Intervals,intervaly
DocType: Bank Statement Transaction Entry,Reconciled Transactions,Zosúladené transakcie
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Earliest,Najstarší
DocType: Crop Cycle,Linked Location,Prepojená poloha
apps/erpnext/erpnext/stock/doctype/item/item.py,"An Item Group exists with same name, please change the item name or rename the item group","Položková  skupina s rovnakým názvom už existuje. Prosím, zmeňte názov položky alebo premenujte skupinu položiek"
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Get Invocies,Získajte faktúry
DocType: Designation,Skills,zručností
DocType: Crop Cycle,Less than a year,Menej ako rok
apps/erpnext/erpnext/education/report/absent_student_report/absent_student_report.py,Student Mobile No.,Študent Mobile No.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Rest Of The World,Zbytek světa
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,The Item {0} cannot have Batch,Položka {0} nemôže mať dávku
DocType: Crop,Yield UOM,Výnos UOM
,Budget Variance Report,Rozpočet Odchylka Report
DocType: Salary Slip,Gross Pay,Hrubé mzdy
DocType: Item,Is Item from Hub,Je položka z Hubu
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Get Items from Healthcare Services,Získajte položky zo služieb zdravotnej starostlivosti
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: Activity Type is mandatory.,Riadok {0}: typ činnosti je povinná.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Dividends Paid,Dividendy platené
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.js,Accounting Ledger,Účtovné Ledger
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Difference Amount,Rozdiel Suma
DocType: Purchase Invoice,Reverse Charge,Spätné nabíjanie
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Retained Earnings,Nerozdelený zisk
DocType: Job Card,Timing Detail,Časový detail
DocType: Purchase Invoice,05-Change in POS,05-Zmena POS
DocType: Vehicle Log,Service Detail,servis Detail
DocType: BOM,Item Description,Položka Popis
DocType: Student Sibling,Student Sibling,študent Súrodenec
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.py,Payment Mode,Způsob platby
DocType: Purchase Invoice,Supplied Items,Dodávané položky
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please set an active menu for Restaurant {0},Nastavte prosím aktívnu ponuku reštaurácie {0}
apps/erpnext/erpnext/selling/report/sales_partner_commission_summary/sales_partner_commission_summary.py,Commission Rate %,Komisia sadzba%
DocType: Woocommerce Settings,"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Tento sklad sa použije na vytvorenie predajných objednávok. Núdzový sklad je „Obchody“.
DocType: Work Order,Qty To Manufacture,Množství K výrobě
DocType: Email Digest,New Income,new príjmov
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Open Lead,Otvorte potenciálneho zákazníka
DocType: Buying Settings,Maintain same rate throughout purchase cycle,Udržovat stejnou sazbu po celou kupní cyklu
DocType: Opportunity Item,Opportunity Item,Položka Příležitosti
DocType: Quality Action,Quality Review,Kontrola kvality
,Student and Guardian Contact Details,Študent a Guardian Kontaktné údaje
apps/erpnext/erpnext/accounts/doctype/account/account.js,Merge Account,Zlúčiť účet
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Row {0}: For supplier {0} Email Address is required to send email,Riadok {0}: Pre dodávateľov je potrebná {0} E-mailová adresa pre odoslanie e-mailu
DocType: Shift Type,Attendance will be marked automatically only after this date.,Účasť bude automaticky označená až po tomto dátume.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Temporary Opening,Dočasné Otvorenie
,Employee Leave Balance,Zostatok voľna pre zamestnanca
apps/erpnext/erpnext/quality_management/doctype/quality_procedure/quality_procedure_tree.js,New Quality Procedure,Nový postup kvality
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Balance for Account {0} must always be {1},Zostatok na účte {0} musí byť vždy {1}
DocType: Patient Appointment,More Info,Více informací
DocType: Supplier Scorecard,Scorecard Actions,Akcie Scorecard
apps/erpnext/erpnext/utilities/user_progress.py,Example: Masters in Computer Science,Príklad: Masters v informatike
apps/erpnext/erpnext/buying/doctype/supplier_quotation/supplier_quotation.py,Supplier {0} not found in {1},Dodávateľ {0} nebol nájdený v {1}
DocType: Purchase Invoice,Rejected Warehouse,Zamítnuto Warehouse
DocType: GL Entry,Against Voucher,Proti poukazu
DocType: Item Default,Default Buying Cost Center,Výchozí Center Nákup Cost
