DocType: Accounting Period,Period Name,Periodo pavadinimas
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Opening Invoice Item,Atidarymo sąskaitos faktūros punktas
DocType: Request for Quotation Item,Required Date,Reikalinga data
DocType: Accounts Settings,Billing Address,atsiskaitymo Adresas
DocType: Bank Statement Settings,Statement Headers,Pareiškimo antraštės
DocType: Travel Request,Costing,Sąnaudų
DocType: Tax Rule,Billing County,atsiskaitymo apskritis
DocType: Purchase Taxes and Charges,"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","Jei pažymėta, mokesčių suma bus laikoma jau įtrauktas Print Rate / Spausdinti Suma"
DocType: Request for Quotation,Message for Supplier,Pranešimo tiekėjas
DocType: BOM,Work Order,Darbo užsakymas
DocType: Sales Invoice,Total Qty,viso Kiekis
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Email ID,Guardian2 E-mail ID
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Email ID,Guardian2 E-mail ID
DocType: Item,Show in Website (Variant),Rodyti svetainė (variantas)
DocType: Employee,Health Concerns,sveikatos problemas
DocType: Payroll Entry,Select Payroll Period,Pasirinkite Darbo užmokesčio laikotarpis
DocType: Purchase Invoice,Unpaid,neapmokamas
apps/erpnext/erpnext/stock/page/stock_balance/stock_balance.js,Reserved for sale,Skirta pardavimui
DocType: Packing Slip,From Package No.,Nuo paketas Nr
DocType: Item Attribute,To Range,Norėdami Diapazonas
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Securities and Deposits,Vertybiniai popieriai ir užstatai
apps/erpnext/erpnext/stock/doctype/stock_settings/stock_settings.py,"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Nepavyksta pakeisti vertinimo metodą, nes yra sandoriai prieš kai daiktų kuri neturi tai savo vertinimo metodas"
DocType: Student Report Generation Tool,Attended by Parents,Dalyvauja tėvai
apps/erpnext/erpnext/hr/doctype/shift_assignment/shift_assignment.py,Employee {0} has already applied for {1} on {2} : ,Darbuotojas {0} jau kreipėsi dėl {1} {2}:
DocType: Inpatient Record,AB Positive,AB teigiamas
DocType: Job Opening,Description of a Job Opening,Aprašymas apie Darbo skelbimai
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Pending activities for today,Kol veikla šiandien
DocType: Salary Structure,Salary Component for timesheet based payroll.,Pajamos komponentas žiniaraštis pagrįstą darbo užmokesčio.
DocType: Driver,Applicable for external driver,Taikoma išoriniam vairuotojui
DocType: Sales Order Item,Used for Production Plan,Naudojamas gamybos planas
DocType: BOM,Total Cost (Company Currency),Bendros išlaidos (įmonės valiuta)
DocType: Loan,Total Payment,bendras Apmokėjimas
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Cannot cancel transaction for Completed Work Order.,Negalima atšaukti sandorio už užbaigtą darbo užsakymą.
DocType: Manufacturing Settings,Time Between Operations (in mins),Laikas tarp operacijų (minutėmis)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,PO already created for all sales order items,PO jau sukurtas visiems pardavimo užsakymo elementams
DocType: Healthcare Service Unit,Occupied,Okupuotas
DocType: Clinical Procedure,Consumables,Eksploatacinės medžiagos
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.js,Include Default Book Entries,Įtraukite numatytuosius knygų įrašus
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} is cancelled so the action cannot be completed,{0} {1} yra atšaukta ir todėl veiksmai negali būti užbaigtas
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","Planuojamas kiekis: Kiekis, kuriam padidintas darbo užsakymas, tačiau jis dar bus pagamintas."
DocType: Customer,Buyer of Goods and Services.,Pirkėjas prekes ir paslaugas.
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,'employee_field_value' and 'timestamp' are required.,Reikalingi „darbuotojo lauko laukas“ ir „laiko žyma“.
DocType: Journal Entry,Accounts Payable,MOKĖTINOS SUMOS
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,"Šiame mokėjimo prašyme nurodyta {0} suma skiriasi nuo apskaičiuotos visų mokėjimo planų sumos: {1}. Prieš pateikdami dokumentą įsitikinkite, kad tai teisinga."
DocType: Patient,Allergies,Alergijos
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.py,The selected BOMs are not for the same item,Pasirinktos BOMs yra ne to paties objekto
apps/erpnext/erpnext/stock/doctype/item_variant_settings/item_variant_settings.py,Cannot set the field <b>{0}</b> for copying in variants,Neįmanoma nustatyti lauko <b>{0}</b> kopijuoti variantuose
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Item Code,Pakeisti prekės kodą
DocType: Supplier Scorecard Standing,Notify Other,Pranešti apie kitą
DocType: Vital Signs,Blood Pressure (systolic),Kraujo spaudimas (sistolinis)
apps/erpnext/erpnext/controllers/buying_controller.py,{0} {1} is {2},{0} {1} yra {2}
DocType: Item Price,Valid Upto,galioja upto
DocType: Leave Type,Expire Carry Forwarded Leaves (Days),Galiojimas Nešiotis nusiųstų lapų (dienų)
DocType: Training Event,Workshop,dirbtuvė
DocType: Supplier Scorecard Scoring Standing,Warn Purchase Orders,Įspėti pirkimo užsakymus
apps/erpnext/erpnext/utilities/user_progress.py,List a few of your customers. They could be organizations or individuals.,Sąrašas keletą savo klientams. Jie gali būti organizacijos ar asmenys.
DocType: Employee Tax Exemption Proof Submission,Rented From Date,Išnuomotas nuo datos
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Enough Parts to Build,Pakankamai Dalys sukurti
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Please save first,Pirmiausia išsaugokite
DocType: POS Profile User,POS Profile User,POS vartotojo profilis
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Row {0}: Depreciation Start Date is required,Eilutė {0}: būtina nusidėvėjimo pradžios data
DocType: Purchase Invoice Item,Service Start Date,Paslaugos pradžios data
DocType: Subscription Invoice,Subscription Invoice,Prenumeratos sąskaita faktūra
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Income,tiesioginių pajamų
DocType: Patient Appointment,Date TIme,Data TIme
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,"Can not filter based on Account, if grouped by Account","Negali filtruoti pagal sąskaitą, jei sugrupuoti pagal sąskaitą"
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Administrative Officer,administracijos pareigūnas
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Course,Prašome pasirinkti kursai
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Please select Course,Prašome pasirinkti kursai
DocType: Codification Table,Codification Table,Kodifikavimo lentelė
DocType: Timesheet Detail,Hrs,Valandos
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Changes in {0},{0} pokyčiai
DocType: Employee Skill,Employee Skill,Darbuotojų įgūdžiai
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.js,Difference Account,skirtumas paskyra
DocType: Pricing Rule,Discount on Other Item,Nuolaida kitai prekei
DocType: Purchase Invoice,Supplier GSTIN,tiekėjas GSTIN
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,View Form,Peržiūrėti formą
DocType: Work Order,Additional Operating Cost,Papildoma eksploatavimo išlaidos
DocType: Lab Test Template,Lab Routine,&quot;Lab Routine&quot;
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Cosmetics,kosmetika
apps/erpnext/erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.py,Please select Completion Date for Completed Asset Maintenance Log,Prašome pasirinkti baigtinio turto priežiūros žurnalo užbaigimo datą
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} is not the default supplier for any items.,{0} nėra numatytasis bet kurių elementų tiekėjas.
apps/erpnext/erpnext/stock/doctype/item/item.py,"To merge, following properties must be same for both items","Sujungti, šie savybės turi būti tokios pačios tiek daiktų"
DocType: Supplier,Block Supplier,Blokuotojas tiekėjas
DocType: Shipping Rule,Net Weight,Grynas svoris
DocType: Job Opening,Planned number of Positions,Planuojamas pozicijų skaičius
DocType: Employee,Emergency Phone,avarinis telefonas
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,{0} {1} does not exist.,{0} {1} neegzistuoja.
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Buy,nupirkti
,Serial No Warranty Expiry,Serijos Nr Garantija galiojimo
DocType: Sales Invoice,Offline POS Name,Atsijungęs amp Vardas
DocType: Task,Dependencies,Priklausomybės
apps/erpnext/erpnext/utilities/user_progress.py,Student Application,Studento paraiška
DocType: Bank Statement Transaction Payment Item,Payment Reference,Mokėjimo tvarka
DocType: Supplier,Hold Type,Laikykite tipą
apps/erpnext/erpnext/education/doctype/grading_scale/grading_scale.py,Please define grade for Threshold 0%,Prašome apibrėžti kokybės už slenksčio 0%
apps/erpnext/erpnext/education/doctype/grading_scale/grading_scale.py,Please define grade for Threshold 0%,Prašome apibrėžti kokybės už slenksčio 0%
DocType: Bank Statement Transaction Payment Item,Bank Statement Transaction Payment Item,Banko ataskaita Sandorio mokėjimo elementas
DocType: Sales Order,To Deliver,Pristatyti
DocType: Purchase Invoice Item,Item,Prekė
apps/erpnext/erpnext/healthcare/setup.py,High Sensitivity,Didelis jautrumas
apps/erpnext/erpnext/config/non_profit.py,Volunteer Type information.,Savanorio tipo informacija.
DocType: Cash Flow Mapping Template,Cash Flow Mapping Template,Pinigų srautų žemėlapių šablonas
DocType: Travel Request,Costing Details,Kainų detalės
apps/erpnext/erpnext/selling/report/sales_partner_transaction_summary/sales_partner_transaction_summary.js,Show Return Entries,Rodyti grąžinimo įrašus
apps/erpnext/erpnext/accounts/page/pos/pos.js,Serial no item cannot be a fraction,Serijos Nr punktas negali būti frakcija
DocType: Journal Entry,Difference (Dr - Cr),Skirtumas (dr - Cr)
DocType: Bank Guarantee,Providing,Teikti
DocType: Account,Profit and Loss,Pelnas ir nuostoliai
DocType: Tally Migration,Tally Migration,Tally migracija
apps/erpnext/erpnext/healthcare/doctype/lab_test/lab_test.js,"Not permitted, configure Lab Test Template as required","Neleidžiama sukonfigūruoti laboratorijos bandymo šabloną, jei reikia"
DocType: Patient,Risk Factors,Rizikos veiksniai
DocType: Patient,Occupational Hazards and Environmental Factors,Profesiniai pavojai ir aplinkos veiksniai
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Stock Entries already created for Work Order ,Daliniai įrašai jau sukurta darbo užsakymui
apps/erpnext/erpnext/templates/pages/cart.html,See past orders,Peržiūrėkite ankstesnius užsakymus
apps/erpnext/erpnext/public/js/hub/pages/Selling.vue,{0} conversations,{0} pokalbiai
DocType: Vital Signs,Respiratory rate,Kvėpavimo dažnis
apps/erpnext/erpnext/config/help.py,Managing Subcontracting,valdymas Subranga
DocType: Vital Signs,Body Temperature,Kūno temperatūra
DocType: Project,Project will be accessible on the website to these users,Projektas bus prieinama tinklalapyje šių vartotojų
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},"Negalima atšaukti {0} {1}, nes serijos numeris {2} nepriklauso sandėlyje {3}"
DocType: Detected Disease,Disease,Liga
DocType: Company,Default Deferred Expense Account,Numatytoji atidėto išlaidų sąskaita
apps/erpnext/erpnext/config/projects.py,Define Project type.,Nurodykite projekto tipą.
DocType: Supplier Scorecard,Weighting Function,Svorio funkcija
DocType: Employee Tax Exemption Proof Submission,Total Actual Amount,Bendra faktinė suma
DocType: Healthcare Practitioner,OP Consulting Charge,&quot;OP Consulting&quot; mokestis
apps/erpnext/erpnext/utilities/user_progress.py,Setup your ,Nustatykite savo
DocType: Student Report Generation Tool,Show Marks,Rodyti ženklus
DocType: Support Settings,Get Latest Query,Gauti naujausią užklausą
DocType: Quotation,Rate at which Price list currency is converted to company's base currency,"Norma, pagal kurią Kainoraštis valiuta konvertuojama į įmonės bazine valiuta"
apps/erpnext/erpnext/setup/doctype/company/company.py,Account {0} does not belong to company: {1},Sąskaita {0} nepriklauso įmonės: {1}
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbreviation already used for another company,Santrumpą jau naudoja kitai bendrovei
DocType: Selling Settings,Default Customer Group,Pagal nutylėjimą klientų grupei
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Payment Tems,Mokėjimo įmokos
DocType: Employee,IFSC Code,IFSC kodas
DocType: Global Defaults,"If disable, 'Rounded Total' field will not be visible in any transaction",Jei išjungti &quot;suapvalinti sumą&quot; laukas nebus matomas bet koks sandoris
DocType: BOM,Operating Cost,Operacinė Kaina
DocType: Crop,Produced Items,Pagaminti daiktai
DocType: Bank Statement Transaction Entry,Match Transaction to Invoices,Derinti operaciją su sąskaitomis faktūromis
apps/erpnext/erpnext/erpnext_integrations/exotel_integration.py,Error in Exotel incoming call,Klaida įeinant į „Exotel“ skambutį
DocType: Sales Order Item,Gross Profit,Bendrasis pelnas
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Unblock Invoice,Atblokuoti sąskaitą faktūrą
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,Increment cannot be 0,"Prieaugis negali būti 0,"
DocType: Company,Delete Company Transactions,Ištrinti bendrovės verslo sandoriai
DocType: Production Plan Item,Quantity and Description,Kiekis ir aprašymas
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Reference No and Reference Date is mandatory for Bank transaction,Nuorodos Nr ir nuoroda data yra privalomas banko sandorio
DocType: Purchase Receipt,Add / Edit Taxes and Charges,Įdėti / Redaguoti mokesčių ir rinkliavų
DocType: Payment Entry Reference,Supplier Invoice No,Tiekėjas sąskaitoje Nr
DocType: Territory,For reference,prašymą priimti prejudicinį sprendimą
DocType: Healthcare Settings,Appointment Confirmation,Paskyrimo patvirtinimas
DocType: Inpatient Record,HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot delete Serial No {0}, as it is used in stock transactions","Negalite trinti Serijos Nr {0}, kaip ji yra naudojama akcijų sandorių"
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Closing (Cr),Uždarymo (CR)
