Pension Funds,Mirovinski fondovi
Fill the form and save it,Ispunite obrazac i spremite ga
Enrollment Details,Pojedinosti o upisu
Subscription Invoice,Račun pretplate
Total Leaves Encashed,Ukupno je ostavljeno uključeno
Verified By,Potvrđeno od strane
Get Invoices,Nabavite dostavnice
Settled,Obavljene
Re-open,Ponovo otvoriti
Closing Fiscal Year,Završna fiskalna godina
Release Date,Datum izlaska
Advances,napredak
Specify conditions to calculate shipping amount,Navedite uvjete za izračunavanje iznosa otpreme
Technology,Tehnologija
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Može uputiti redak samo ako je vrsta naplate &quot;Na prethodni iznos retka&quot; ili &quot;Ukupno retka&quot;
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Ako je označeno, Ukupno br. Radni dani uključivat će blagdane, a to će smanjiti vrijednost plaće po danu"
Location Name,Naziv mjesta
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: Račun {2} ne pripada tvrtki {3}
Remaining Benefits (Yearly),Preostale koristi (godišnje)
Depreciation Start Date,Datum početka amortizacije
Billing Rate,Stopa naplate
Warning: Another {0} # {1} exists against stock entry {2},Upozorenje: postoji još {0} # {1} protiv stavke zaliha {2}
Please enable Google Maps Settings to estimate and optimize routes,Omogućite Google Maps Settings za procjenu i optimizaciju ruta
Max Score,Najveći broj bodova
Repayment Start Date cannot be before Disbursement Date.,Datum početka otplate ne može biti prije datuma isplate.
Support Search Source,Podrška za izvor pretraživanja
Financial Services,Financijske usluge
Availability,dostupnost
Tree of Procedures,Stablo postupaka
Allow Item to be added multiple times in a transaction,Dopusti stavku da bude dodana više puta u transakciji
{0} {1} is not submitted,{0} {1} nije poslan
Backflush raw materials from work-in-progress warehouse,Ispraznite sirovine iz skladišta u tijeku
Maintenance Team Member,Član tima za održavanje
The minimum distance between rows of plants for optimum growth,Minimalna udaljenost između redova biljaka za optimalan rast
Health Insurance Name,Naziv zdravstvenog osiguranja
Stock Assets,Imovina dionica
Further cost centers can be made under Groups but entries can be made against non-Groups,"Daljnja mjesta troška mogu se izraditi u grupi, ali unosi se mogu vršiti protiv ne-grupa"
Upper Income,Gornji dohodak
Discount Allowed Account,Račun dopušten za popust
Restart Subscription,Ponovno pokrenite Pretplatu
You can not change rate if BOM mentioned agianst any item,Ne možete promijeniti stopu ako BOM spominje bilo koju stavku
Please login as another user to register on Marketplace,Prijavite se kao drugi korisnik da biste se registrirali na tržištu
Insurance Details,Detalji osiguranja
Past Due Date,Datum dospijeća
"You can only plan for upto {0} vacancies and budget {1} \
				for {2} as per staffing plan {3} for parent company {4}.",Možete planirati do {0} slobodnih radnih mjesta i proračuna {1} za {2} prema planu osoblja {3} za nadređenu tvrtku {4}.
No GST No. found for the Company.,Za tvrtku nije pronađen GST broj.
From Pin Code,Iz PIN koda
Signed On,Prijavljeno je
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: unos za računovodstvo za {2} može biti samo u valuti: {3}
Assessment Criteria,Kriteriji ocjenjivanja
Is Billable,Je naplativ
User must always select,Korisnik mora uvijek odabrati
Compensatory leave request days not in valid holidays,Zahtjev za kompenzacijskim dopustom nije važeći
Sum of points for all goals should be 100. It is {0},Zbroj bodova za sve ciljeve trebao bi biti 100. To je {0}
Scrap Items,Stavke bilješke
Result Component,Komponenta rezultata
Please mention Basic and HRA component in Company,Navedite osnovnu i HRA komponentu u tvrtki
{0} does not belong to Company {1},{0} ne pripada tvrtki {1}
Half Day Date,Datum polu-dana
Billing Address Name,Naziv adrese za naplatu
GST Itemised Purchase Register,Registar nabave po stavkama GST
Alternate Item,Alternativna stavka
Name of Applicant,Naziv podnositelja zahtjeva
Earned Leave,Zasluženi odlazak
June,lipanj
Row {0}: Cost center is required for an item {1},Redak {0}: Mjesto troška je potrebno za stavku {1}
Can be approved by {0},Može se odobriti do {0}
Unit of Measure {0} has been entered more than once in Conversion Factor Table,Jedinica mjere {0} unesena je više puta u tablicu faktora konverzije
Net Rate (Company Currency),Neto stopa (valuta tvrtke)
All BOMs,Sve sastavnice
Days for which Holidays are blocked for this department.,Dani za koje su praznici blokirani za ovaj odjel.
"Cannot Submit, Employees left to mark attendance","Ne može se poslati, zaposlenici su ostavljeni da obilježe prisutnost"
Quality Inspection Template,Predložak za provjeru kvalitete
Result Datetime,Vrijeme trajanja rezultata
Valuation,Vrijednost
Student Monthly Attendance Sheet,Mjesečni pregled studenata
Term End Date,Datum završetka termina
Child Docname,Ime djeteta
Services,usluge
Cannot set quantity less than received quantity,Nije moguće postaviti količinu manju od primljene količine
Supplier Part Number,Broj dijela dobavljača
Standard Selling Rate,Standardna stopa prodaje
Please set an active menu for Restaurant {0},Postavite aktivni izbornik za restoran {0}
You need to be a user with System Manager and Item Manager roles to add users to Marketplace.,Morate biti korisnik s ulogama Upravitelja sustava i Upravitelja stavki da biste dodali korisnike na Marketplace.
Asset Finance Book,Knjiga o imovini
Employee Transfer,Prijenos zaposlenika
Sales Funnel,Tok za prodaju
Water Analysis,Analiza vode
Accounts Frozen Upto,Računi zamrznuti do
There is nothing to edit.,Nema ništa za uređivanje.
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Operacija {0} dulja od svih raspoloživih radnih sati na radnoj stanici {1}, razbiti operaciju u više operacija"
Do not update variants on save,Nemojte ažurirati varijante spremanja
Threshold,Prag
% Amount Billed,% Naplaćeni iznos
Resolved By,Rješeno do
"Add users to your organization, other than yourself.","Dodajte korisnike u svoju organizaciju, osim sebe."
Default Company,Zadana tvrtka
Cash Account will used for Sales Invoice creation,Novčani račun koristit će se za kreiranje fakture prodaje
Sales Order {0} is {1},Prodajni nalog {0} je {1}
Delay in payment (Days),Odgoda plaćanja (Dani)
Enter depreciation details,Unesite detalje amortizacije
Expected Delivery Date should be after Sales Order Date,Očekivani datum isporuke trebao bi biti nakon datuma prodajnog naloga
Invalid Attribute,Nevažeći atribut
Please select BOM against item {0},Odaberite BOM u odnosu na stavku {0}
Invoice Type,Vrsta dostavnice
Price List Master,Cjenovnik Master
Lost Opportunity,Izgubljena prilika
Maintenance Date,Datum održavanja
Afternoon,Poslijepodne
Nutrition Values,Vrijednosti prehrane
Presence of a fever (temp &gt; 38.5 °C/101.3 °F or sustained temp &gt; 38 °C/100.4 °F),"Prisutnost vrućice (temp&gt; 38,5 ° C / 101,3 ° F ili produžena temp&gt; 38 ° C / 100,4 ° F)"
ITC Reversed,ITC obrnuto
Collect Progress,Prikupi napredak
Energy,energija
Items To Be Requested,Stavke koje treba zatražiti
Ca/K,Ca / K
Work Order already created for all items with BOM,Radni nalog je već izrađen za sve stavke s BOM-om
Billed Amount,Naplaćeni iznos
Current Odometer reading entered should be greater than initial Vehicle Odometer {0},Trenutačno uneseno očitavanje odometra treba biti veće od početnog broja odometra {0}
Employee Transfer Property,Posao prijenosa zaposlenika
Pending Activities,Aktivnosti na čekanju
List a few of your customers. They could be organizations or individuals.,Navedite nekoliko svojih klijenata. To mogu biti organizacije ili pojedinci.
Bank Account Info,Podaci o bankovnom računu
Guardian1 Name,Ime Guardian1
Variable Based On Taxable Salary,Varijabla na temelju oporezive plaće
Accounting Period,Obračunsko razdoblje
Standard Working Hours,Standardno radno vrijeme
In Stock,Na lageru
Market Place Account Group,Grupa računa tržišta
Before reconciliation,Prije pomirenja
Fees Category,Kategorija naknade
%  Delivered,% Isporučeno
Redemption Cost Center,Centar troškova za iskupljenje
Respiratory rate,Brzina disanja
Mandatory field - Get Students From,Obvezno polje - Odvojite studente
Item Classification,Klasifikacija predmeta
Is Existing Asset,Postoji postojeća imovina
Cancel Material Visits {0} before cancelling this Maintenance Visit,Poništite posjete materijala {0} prije otkazivanja ove posjete za održavanje
Workstation Name,Naziv radne stanice
Row #{0}: Status must be {1} for Invoice Discounting {2},Redak {{0}: status mora biti {1} za sniženje dostavnice {2}
Material Transfer,Prijenos materijala
% Installed,% Instalirano
Agriculture Task,Zadatak poljoprivrede
Dosage Form,Oblik doziranja
Select the program first,Najprije odaberite program
Expected Start Date,Očekivani datum početka
Share Transfer,Dijeljenje prijenosa
Leave Management,Napusti upravljanje
Total Payable Interest,Ukupna kamata na koju se plaća
Current Address,Trenutna adresa
Cannot {0} {1} {2} without any negative outstanding invoice,Nije moguće {0} {1} {2} bez negativne nepodmirene dostavnice
Transaction not allowed against stopped Work Order {0},Transakcija nije zabranjena protiv zaustavljenog radnog naloga {0}
Warehouses with existing transaction can not be converted to ledger.,Skladišta s postojećom transakcijom ne mogu se pretvoriti u knjigu.
Deduct Tax For Unsubmitted Tax Exemption Proof,Porez na odbitak za nepotvrđeni dokaz o oslobađanju od poreza
Clearance Date updated,Ažuriran je datum odobrenja
Delivery Stops,Zaustavljanje isporuke
Setup Progress,Postavljanje napretka
Ordered Items To Be Billed,Naručene stavke za naplatu
To Amount,Na iznos
Is Return (Debit Note),Je li povrat (zaduženje)
Getting Started,Početak rada
Merge,Sjediniti
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Nije moguće promijeniti datum početka fiskalne godine i datum završetka fiskalne godine nakon spremanja fiskalne godine.
Get Material Request,Zatražite zahtjev za materijal
Invoice No,Račun br
Max Qty,Maks. Količina
Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},Redak {0}: dodijeljeni iznos {1} mora biti manji ili jednak iznosu unosa uplate {2}
Piecework,Rad plaćen na akord
Drop Ship,Ispusti brod
Hub User,Korisnik Hub-a
No Result,Nema rezultata
Match Transaction to Invoices,Uskladite transakciju s računima
Commission,komisija
Sales Order Item,Stavka prodajnog naloga
Actual Date,Stvarni datum
Maintenance start date can not be before delivery date for Serial No {0},Datum početka održavanja ne može biti prije datuma isporuke za serijski broj {0}
Row {0}: Exchange Rate is mandatory,Redak {0}: Tečaj je obvezan
Select Supplier Address,Odaberite adresu dobavljača
Please enter API Consumer Secret,Unesite tajnu API-ja za API
Program Enrollment Fee,Naknada za upis programa
Warranty Expiry Date,Datum isteka jamstva
Hotel Room Pricing,Cijene hotelskih soba
"Outward taxable supplies(other than zero rated, nil rated and exempted","Vanjski oporezivi isporuke (osim nultih, nulti i izuzeti)"
Resolution By,Razlučivost Do
Customer Territory,Teritorij korisnika
Last Communication,Posljednja komunikacija
Total Billed Hours,Ukupni broj obračunskih sati
Current invoice {0} is missing,Trenutačna faktura {0} nedostaje
Patient Registration,Registracija pacijenata
Supplier Invoice No exists in Purchase Invoice {0},Broj dostavnice dostavnice postoji u fakturi kupovine {0}
Workday,Radni dan
No Items added to cart,Nema stavki dodanih u košaricu
Target Qty,Ciljna količina
"To merge, following properties must be same for both items",Za spajanje sljedeća svojstva moraju biti ista za obje stavke
Drug Prescription,Recept za lijekove
Buildings,Građevine
Application Date,Datum prijave
Result,Proizlaziti
Leave Block List Allowed,Dopusti blokirani popis
Row # {0}: Rate cannot be greater than the rate used in {1} {2},Redak # {0}: stopa ne može biti veća od stope koja se koristi u {1} {2}
Blanket Order,Redoslijed pokrivača
Attendance for employee {0} is already marked,Sudjelovanje zaposlenika {0} već je označeno
Assessment Result record {0} already exists.,Procjena Rezultat zapisa {0} već postoji.
Rounding Adjustment,Podešavanje zaokruživanja
Quality Review Table,Tablica pregleda kvalitete
Membership Expiry Date,Datum isteka članstva
Expected Value After Useful Life,Očekivana vrijednost nakon korisnog života
November,studeni
Rate of Interest,Kamatna stopa
Bank Statement Transaction Payment Item,Stavka plaćanja transakcijskog računa
Waitlisted,na listi čekanja
You need to enable Shopping Cart,Morate omogućiti košaricu za kupnju
Leave Status Notification Template,Ostavite predložak obavijesti o statusu
Leave Without Pay,Ostavite bez plaćanja
Actual Qty (at source/target),Stvarna količina (na izvoru / meti)
Tax ID,Porezni broj
See past orders,Pogledajte prethodne narudžbe
Current Qty,Trenutni broj
UOM Conversion factor is required in row {0},U redu {0} potreban je konverzija UOM-a
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",Tablica s detaljima o porezima preuzeta iz glavne stavke kao niz i pohranjena u tom polju. Koristi se za poreze i naknade
Key Responsibility Area,Područje ključne odgovornosti
Sample Quantity,Uzorak količine
Expense Claim,Trošak potraživanja
Opening Date and Closing Date should be within same Fiscal Year,Datum otvaranja i datum zatvaranja trebaju biti u istoj fiskalnoj godini
Silt Composition (%),Sastav mulja (%)
Tax Withholding Rate,Stopa zadržavanja poreza
Default Tax Template,Zadani predložak poreza
Transfer Asset,Prijenos imovine
Opp/Lead %,Opp / Lead%
Please cancel Purchase Invoice {0} first,Prvo poništite fakturu kupnje {0}
Complete Job,Dovršite posao
Select Possible Supplier,Odaberite Mogući dobavljač
Customer Groups,Korisničke grupe
Hub Category,Kategorija središta
