DocType: Accounting Period,Period Name,Όνομα περιόδου
DocType: Item Group,Item Group Defaults,Προεπιλογές ομάδας στοιχείων
apps/erpnext/erpnext/assets/doctype/asset_maintenance/asset_maintenance.js,Please save before assigning task.,Αποθηκεύστε πριν από την εκχώρηση της εργασίας.
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Balance Value,Αξία ισολογισμού
DocType: Lab Test,Lab Technician,Τεχνικός εργαστηρίου
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Sales Price List,Τιμοκατάλογος πωλήσεων
DocType: Healthcare Settings,"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Εάν επιλεγεί, θα δημιουργηθεί ένας πελάτης, χαρτογραφημένος στον Ασθενή. Τα τιμολόγια ασθενών θα δημιουργηθούν έναντι αυτού του Πελάτη. Μπορείτε επίσης να επιλέξετε τον υπάρχοντα Πελάτη ενώ δημιουργείτε τον Ασθενή."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,Customer isn't enrolled in any Loyalty Program,Ο πελάτης δεν είναι εγγεγραμμένος σε κανένα πρόγραμμα αφοσίωσης
DocType: Bank Reconciliation,Account Currency,Νομισματική Μονάδα
DocType: Lab Test,Sample ID,Αναγνωριστικό δείγματος
apps/erpnext/erpnext/accounts/general_ledger.py,Please mention Round Off Account in Company,Παρακαλείστε να αναφέρετε στρογγυλεύουν Λογαριασμό Εταιρεία
DocType: Purchase Receipt,Range,Εύρος
DocType: Supplier,Default Payable Accounts,Προεπιλεγμένοι λογαριασμοί πληρωτέων
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is not active or does not exist,Ο υπάλληλος {0} δεν είναι ενεργός ή δεν υπάρχει
DocType: Fee Structure,Components,εξαρτήματα
DocType: Support Search Source,Search Term Param Name,Όνομα ονόματος παραμέλου αναζήτησης
DocType: Item Barcode,Item Barcode,Barcode είδους
DocType: Delivery Trip,In Transit,Στη διαμετακόμιση
DocType: Woocommerce Settings,Endpoints,Τελικά σημεία
DocType: Shopping Cart Settings,Show Configure Button,Εμφάνιση πλήκτρου διαμόρφωσης
DocType: Quality Inspection Reading,Reading 6,Μέτρηση 6
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot {0} {1} {2} without any negative outstanding invoice,"Δεν είναι δυνατή η {0} {1} {2}, χωρίς οποιαδήποτε αρνητική εκκρεμών τιμολογίων"
DocType: Share Transfer,From Folio No,Από τον αριθμό Folio
DocType: Purchase Invoice Advance,Purchase Invoice Advance,Προκαταβολή τιμολογίου αγοράς
DocType: Shift Type,Every Valid Check-in and Check-out,Κάθε έγκυρο check-in και check-out
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Credit entry can not be linked with a {1},Γραμμή {0} : μια πιστωτική καταχώρηση δεν μπορεί να συνδεθεί με ένα {1}
apps/erpnext/erpnext/config/accounting.py,Define budget for a financial year.,Καθορισμός του προϋπολογισμού για ένα οικονομικό έτος.
DocType: Shopify Tax Account,ERPNext Account,Λογαριασμός ERPNext
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.py,Provide the academic year and set the starting and ending date.,Παρέχετε το ακαδημαϊκό έτος και ορίστε την ημερομηνία έναρξης και λήξης.
apps/erpnext/erpnext/controllers/accounts_controller.py,{0} is blocked so this transaction cannot proceed,"Το {0} είναι μπλοκαρισμένο, αυτή η συναλλαγή να μην μπορεί να προχωρήσει"
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on MR,Δράση εάν ο συσσωρευμένος μηνιαίος προϋπολογισμός υπερβαίνει την τιμή MR
DocType: Employee,Permanent Address Is,Η μόνιμη διεύθυνση είναι
DocType: Work Order Operation,Operation completed for how many finished goods?,Για πόσα τελικά προϊόντα ολοκληρώθηκε η λειτουργία;
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Healthcare Practitioner {0} not available on {1},Ο επαγγελματίας υγείας {0} δεν είναι διαθέσιμος στις {1}
DocType: Payment Terms Template,Payment Terms Template,Πρότυπο όρων πληρωμής
apps/erpnext/erpnext/public/js/setup_wizard.js,The Brand,Το εμπορικό σήμα
DocType: Employee Tax Exemption Proof Submission,Rented To Date,Νοικιασμένο μέχρι σήμερα
DocType: Manufacturing Settings,Allow Multiple Material Consumption,Επιτρέψτε πολλαπλή κατανάλωση υλικού
DocType: Employee,Exit Interview Details,Λεπτομέρειες συνέντευξης εξόδου
DocType: Item,Is Purchase Item,Είναι είδος αγοράς
DocType: Bank Statement Transaction Invoice Item,Purchase Invoice,Τιμολόγιο αγοράς
DocType: Manufacturing Settings,Allow multiple Material Consumption against a Work Order,Επιτρέψτε την πολλαπλή κατανάλωση υλικού έναντι μιας εντολής εργασίας
DocType: GL Entry,Voucher Detail No,Αρ. λεπτομερειών αποδεικτικού
DocType: Email Digest,New Sales Invoice,Νέο Τιμολόγιο πωλήσεων
DocType: Stock Entry,Total Outgoing Value,Συνολική εξερχόμενη αξία
DocType: Healthcare Practitioner,Appointments,Εφόδια
apps/erpnext/erpnext/quality_management/doctype/quality_review/quality_review_list.js,Action Initialised,Ενέργεια Αρχικοποιήθηκε
apps/erpnext/erpnext/public/js/account_tree_grid.js,Opening Date and Closing Date should be within same Fiscal Year,Ημερομηνία ανοίγματος και καταληκτική ημερομηνία θα πρέπει να είναι εντός της ίδιας Χρήσεως
DocType: Lead,Request for Information,Αίτηση για πληροφορίες
DocType: Course Activity,Activity Date,Ημερομηνία δραστηριότητας
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,{} of {},{} του {}
DocType: Sales Invoice Item,Rate With Margin (Company Currency),Τιμή με περιθώριο (νόμισμα εταιρείας)
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Categories,Κατηγορίες
apps/erpnext/erpnext/accounts/page/pos/pos.js,Sync Offline Invoices,Συγχρονισμός Τιμολόγια Αποσυνδεδεμένος
DocType: Payment Request,Paid,Πληρωμένο
DocType: Service Level,Default Priority,Προεπιλεγμένη προτεραιότητα
DocType: Program Fee,Program Fee,Χρέωση πρόγραμμα
DocType: BOM Update Tool,"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.
It also updates latest price in all the BOMs.","Αντικαταστήστε ένα συγκεκριμένο BOM σε όλα τα άλλα BOM όπου χρησιμοποιείται. Θα αντικαταστήσει τον παλιό σύνδεσμο BOM, θα ενημερώσει το κόστος και θα αναγεννηθεί ο πίνακας &quot;BOM Explosion Item&quot; σύμφωνα με το νέο BOM. Επίσης, ενημερώνει την τελευταία τιμή σε όλα τα BOM."
DocType: Employee Skill Map,Employee Skill Map,Χάρτης Δεξιοτήτων Εργαζομένων
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,The following Work Orders were created:,Οι ακόλουθες Εντολές εργασίας δημιουργήθηκαν:
DocType: Salary Slip,Total in words,Σύνολο ολογράφως
DocType: Inpatient Record,Discharged,Εκφορτίστηκε
DocType: Material Request Item,Lead Time Date,Ημερομηνία ανοχής χρόνου
,Employee Advance Summary,Προσωρινή σύνοψη προσωπικού
DocType: Asset,Available-for-use Date,Ημερομηνία διαθέσιμη για χρήση
DocType: Guardian,Guardian Name,Όνομα Guardian
DocType: Cheque Print Template,Has Print Format,Έχει Εκτύπωση Format
DocType: Support Settings,Get Started Sections,Ξεκινήστε τις ενότητες
DocType: Lead,CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
DocType: Invoice Discounting,Sanctioned,Καθιερωμένος
,Base Amount,Βάση Βάσης
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.js,Total Contribution Amount: {0},Συνολικό ποσό συμβολής: {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row #{0}: Please specify Serial No for Item {1},Γραμμή # {0}: παρακαλώ ορίστε σειριακό αριθμό για το είδος {1}
DocType: Payroll Entry,Salary Slips Submitted,Υποβολή μισθών
DocType: Crop Cycle,Crop Cycle,Κύκλος καλλιέργειας
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.","Για τα στοιχεία «Προϊόν Bundle», Αποθήκη, Αύξων αριθμός παρτίδας και Δεν θα θεωρηθεί από την «Packing List» πίνακα. Αν Αποθήκης και Μαζική Δεν είναι ίδιες για όλα τα είδη συσκευασίας για τη θέση του κάθε «Πακέτο Προϊόντων», οι αξίες αυτές μπορούν να εγγραφούν στον κύριο πίνακα Στοιχείο, οι τιμές θα αντιγραφούν στο «Packing List» πίνακα."
DocType: Amazon MWS Settings,BR,BR
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,From Place,Από τον τόπο
DocType: Student Admission,Publish on website,Δημοσιεύει στην ιστοσελίδα
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Supplier Invoice Date cannot be greater than Posting Date,Τιμολόγιο προμηθευτή ημερομηνία αυτή δεν μπορεί να είναι μεγαλύτερη από την απόσπαση Ημερομηνία
DocType: Installation Note,MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
DocType: Subscription,Cancelation Date,Ημερομηνία ακύρωσης
DocType: Purchase Invoice Item,Purchase Order Item,Είδος παραγγελίας αγοράς
DocType: Agriculture Task,Agriculture Task,Γεωργική εργασία
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Indirect Income,Έμμεσα έσοδα
DocType: Student Attendance Tool,Student Attendance Tool,Εργαλείο φοίτηση μαθητή
DocType: Restaurant Menu,Price List (Auto created),Τιμοκατάλογος (Δημιουργήθηκε αυτόματα)
DocType: Pick List Item,Picked Qty,Επιλογή ποσότητας
DocType: Cheque Print Template,Date Settings,Ρυθμίσεις ημερομηνίας
