DocType: Accounting Period,Period Name,Název období
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Wrapping up,Obalte se
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Notify Customers via Email,Informujte zákazníky e-mailem
DocType: Item,Batch Number Series,Číselná řada šarží
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person.py,Another Sales Person {0} exists with the same Employee id,Další prodeje osoba {0} existuje se stejným id zaměstnance
DocType: Employee Advance,Claimed Amount,Požadovaná částka
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Expire Allocation,Vyprší přidělení
DocType: QuickBooks Migrator,Authorization Settings,Nastavení oprávnění
DocType: Travel Itinerary,Departure Datetime,Čas odletu
apps/erpnext/erpnext/hub_node/api.py,No items to publish,Žádné položky k publikování
DocType: Customer,CUST-.YYYY.-,CUST-.YYYY.-
DocType: Travel Request Costing,Travel Request Costing,Náklady na cestování
apps/erpnext/erpnext/config/healthcare.py,Masters,Masters
DocType: Employee Onboarding,Employee Onboarding Template,Šablona zaměstnanců na palubě
DocType: Assessment Plan,Maximum Assessment Score,Maximální skóre Assessment
apps/erpnext/erpnext/config/accounting.py,Update Bank Transaction Dates,Transakční Data aktualizace Bank
apps/erpnext/erpnext/config/projects.py,Time Tracking,Time Tracking
DocType: Purchase Invoice,DUPLICATE FOR TRANSPORTER,DUPLIKÁT PRO TRANSPORTER
apps/erpnext/erpnext/hr/doctype/employee_advance/employee_advance.py,Row {0}# Paid Amount cannot be greater than requested advance amount,Řádek {0} # Placená částka nesmí být vyšší než požadovaná částka
DocType: Fiscal Year Company,Fiscal Year Company,Fiskální rok Společnosti
DocType: Packing Slip Item,DN Detail,DN Detail
DocType: Training Event,Conference,Konference
DocType: Employee Grade,Default Salary Structure,Výchozí platová struktura
DocType: Stock Entry,Send to Warehouse,Odeslat do skladu
apps/erpnext/erpnext/hr/report/daily_work_summary_replies/daily_work_summary_replies.py,Replies,Odpovědi
DocType: Timesheet,Billed,Fakturováno
DocType: Batch,Batch Description,Popis Šarže
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.js,Creating student groups,Vytváření studentských skupin
apps/erpnext/erpnext/accounts/utils.py,"Payment Gateway Account not created, please create one manually.","Platební brána účet nevytvořili, prosím, vytvořte ručně."
DocType: Supplier Scorecard,Per Year,Za rok
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Not eligible for the admission in this program as per DOB,Není způsobilý pro přijetí do tohoto programu podle DOB
DocType: Sales Invoice,Sales Taxes and Charges,Prodej Daně a poplatky
DocType: Supplier Scorecard Period,PU-SSP-.YYYY.-,PU-SSP-.YYYY.-
DocType: Vital Signs,Height (In Meter),Výška (v metru)
DocType: Student,Sibling Details,sourozenec Podrobnosti
DocType: Vehicle Service,Vehicle Service,servis vozidel
DocType: Employee,Reason for Resignation,Důvod rezignace
DocType: Sales Invoice,Credit Note Issued,Dobropisu vystaveného
DocType: Task,Weight,Hmotnost
DocType: Payment Reconciliation,Invoice/Journal Entry Details,Faktura / Zápis do deníku Podrobnosti
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,{0} bank transaction(s) created,Bylo vytvořeno {0} bankovních transakcí
apps/erpnext/erpnext/accounts/utils.py,{0} '{1}' not in Fiscal Year {2},{0} '{1}' není v fiskálním roce {2}
DocType: Buying Settings,Settings for Buying Module,Nastavení pro nákup modul
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Asset {0} does not belong to company {1},Aktiva {0} nepatří do společnosti {1}
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter Purchase Receipt first,"Prosím, zadejte první doklad o zakoupení"
DocType: Buying Settings,Supplier Naming By,Dodavatel Pojmenování By
DocType: Activity Type,Default Costing Rate,Výchozí kalkulace Rate
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Maintenance Schedule,Plán údržby
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Pak se pravidla pro tvorbu cen jsou odfiltrovány založeny na zákazníka, skupiny zákazníků, území, dodavatel, dodavatel typ, kampaň, obchodní partner atd"
DocType: Employee Promotion,Employee Promotion Details,Podrobnosti o podpoře zaměstnanců
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Inventory,Čistá Změna stavu zásob
DocType: Employee,Passport Number,Číslo pasu
DocType: Invoice Discounting,Accounts Receivable Credit Account,Kreditní účet účtů pohledávek
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Relation with Guardian2,Souvislost s Guardian2
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Manager,Manažer
DocType: Payment Entry,Payment From / To,Platba z / do
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,From Fiscal Year,Od fiskálního roku
apps/erpnext/erpnext/selling/doctype/customer/customer.py,New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},Nový úvěrový limit je nižší než aktuální dlužné částky za zákazníka. Úvěrový limit musí být aspoň {0}
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please set account in Warehouse {0},Nastavte prosím účet ve skladu {0}
apps/erpnext/erpnext/controllers/trends.py,'Based On' and 'Group By' can not be same,"""Založeno na"" a ""Seskupeno podle"", nemůže být stejné"
DocType: Sales Person,Sales Person Targets,Obchodník cíle
DocType: GSTR 3B Report,December,prosinec
DocType: Work Order Operation,In minutes,V minutách
DocType: Production Plan,"If enabled, then system will create the material even if the raw materials are available","Pokud je povoleno, systém vytvoří materiál, i když jsou suroviny k dispozici"
apps/erpnext/erpnext/templates/pages/cart.html,See past quotations,Zobrazit minulé nabídky
DocType: Issue,Resolution Date,Rozlišení Datum
DocType: Lab Test Template,Compound,Sloučenina
DocType: Opportunity,Probability (%),Pravděpodobnost (%)
apps/erpnext/erpnext/patches/v11_0/add_default_dispatch_notification_template.py,Dispatch Notification,Oznámení o odeslání
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Select Property,Vyberte vlastnost
DocType: Course Activity,Course Activity,Aktivita kurzu
DocType: Student Batch Name,Batch Name,Batch Name
DocType: Fee Validity,Max number of visit,Maximální počet návštěv
DocType: Accounting Dimension Detail,Mandatory For Profit and Loss Account,Povinné pro účet zisků a ztrát
,Hotel Room Occupancy,Hotel Occupancy
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Please set default Cash or Bank account in Mode of Payment {0},Prosím nastavte výchozí v hotovosti nebo bankovním účtu v způsob platby {0}
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Enroll,Zapsat
DocType: GST Settings,GST Settings,Nastavení GST
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Currency should be same as Price List Currency: {0},Měna by měla být stejná jako měna ceníku: {0}
DocType: Selling Settings,Customer Naming By,Zákazník Pojmenování By
DocType: Student Leave Application,Will show the student as Present in Student Monthly Attendance Report,Ukáže studenta přítomnému v Student měsíční návštěvnost Zpráva
DocType: Depreciation Schedule,Depreciation Amount,odpisy Částka
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Convert to Group,Převést do skupiny
DocType: Activity Cost,Activity Type,Druh činnosti
DocType: Request for Quotation,For individual supplier,Pro jednotlivé dodavatele
DocType: BOM Operation,Base Hour Rate(Company Currency),Základna hodinová sazba (Company měny)
,Qty To Be Billed,Množství k vyúčtování
apps/erpnext/erpnext/stock/report/supplier_wise_sales_analytics/supplier_wise_sales_analytics.py,Delivered Amount,Dodává Částka
DocType: Coupon Code,Gift Card,Dárková poukázka
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Reserved Qty for Production: Raw materials quantity to make manufacturing items.,Vyhrazeno Množství pro výrobu: Množství surovin pro výrobu výrobních položek.
DocType: Loyalty Point Entry Redemption,Redemption Date,Datum vykoupení
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,This bank transaction is already fully reconciled,Tato bankovní transakce je již plně sladěna
DocType: Sales Invoice,Packing List,Balící list
apps/erpnext/erpnext/config/buying.py,Purchase Orders given to Suppliers.,Nákupní Objednávky odeslané Dodavatelům.
DocType: Contract,Contract Template,Šablona smlouvy
DocType: Clinical Procedure Item,Transfer Qty,Množství přenosu
DocType: Purchase Invoice Item,Asset Location,Umístění majetku
apps/erpnext/erpnext/projects/report/billing_summary.py, From Date can not be greater than To Date,Od data nemůže být větší než do dne
DocType: Tax Rule,Shipping Zipcode,Poštovní směrovací číslo
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Publishing,Publikování
DocType: Accounts Settings,Report Settings,Nastavení přehledů
DocType: Activity Cost,Projects User,Projekty uživatele
apps/erpnext/erpnext/stock/report/itemwise_recommended_reorder_level/itemwise_recommended_reorder_level.py,Consumed,Spotřeba
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,{0}: {1} not found in Invoice Details table,{0}: {1} nebyla nalezena v tabulce Podrobnosti Faktury
DocType: Asset,Asset Owner Company,Společnost vlastníků aktiv
DocType: Company,Round Off Cost Center,Zaokrouhlovací nákladové středisko
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Maintenance Visit {0} must be cancelled before cancelling this Sales Order,Údržba Navštivte {0} musí být zrušena před zrušením této prodejní objednávky
apps/erpnext/erpnext/templates/pages/help.html,What do you need help with?,S čím potřebuješ pomoci?
DocType: Employee Checkin,Shift Start,Shift Start
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Material Transfer,Přesun materiálu
DocType: Cost Center,Cost Center Number,Číslo nákladového střediska
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_variable/supplier_scorecard_variable.py,Could not find path for ,Nelze najít cestu pro
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Opening (Dr),Opening (Dr)
DocType: Compensatory Leave Request,Work End Date,Datum ukončení práce
DocType: Loan,Applicant,Žadatel
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Posting timestamp must be after {0},Časová značka zadání musí být po {0}
,GST Itemised Purchase Register,GST Itemised Purchase Register
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is a limited liability company,"Platí, pokud je společnost společností s ručením omezeným"
DocType: Course Scheduling Tool,Reschedule,Změna plánu
DocType: Item Tax Template,Item Tax Template,Šablona daně z položky
DocType: Loan,Total Interest Payable,Celkem splatných úroků
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for Hold,Důvod pozastavení
DocType: Landed Cost Taxes and Charges,Landed Cost Taxes and Charges,Přistál nákladů daně a poplatky
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Řádek {0}: Nastavte prosím na důvod osvobození od daně v daních z prodeje a poplatcích
DocType: Quality Goal Objective,Quality Goal Objective,Cíl kvality
DocType: Work Order Operation,Actual Start Time,Skutečný čas začátku
DocType: Purchase Invoice Item,Deferred Expense Account,Odložený nákladový účet
DocType: BOM Operation,Operation Time,Čas operace
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Finish,Dokončit
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Base,Báze
DocType: Timesheet,Total Billed Hours,Celkem Předepsané Hodiny
DocType: Pricing Rule Item Group,Pricing Rule Item Group,Skupina položek cenových pravidel
DocType: Travel Itinerary,Travel To,Cestovat do
apps/erpnext/erpnext/config/accounting.py,Exchange Rate Revaluation master.,Velitel přehodnocení směnného kurzu.
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Write Off Amount,Odepsat Částka
DocType: Leave Block List Allow,Allow User,Umožňuje uživateli
DocType: Journal Entry,Bill No,Bill No
DocType: Company,Gain/Loss Account on Asset Disposal,Zisk / ztráty na majetku likvidaci
DocType: Vehicle Log,Service Details,Podrobnosti o službě
DocType: Lab Test Template,Grouped,Skupinové
DocType: Selling Settings,Delivery Note Required,Delivery Note Povinné
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Submitting Salary Slips...,Odeslání platebních karet ...
DocType: Bank Guarantee,Bank Guarantee Number,Číslo bankovní záruky
DocType: Assessment Criteria,Assessment Criteria,Kritéria hodnocení
DocType: BOM Item,Basic Rate (Company Currency),Basic Rate (Company měny)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA",Při vytváření účtu pro podřízenou společnost {0} nebyl nadřazený účet {1} nalezen. Vytvořte prosím nadřazený účet v odpovídající COA
apps/erpnext/erpnext/support/doctype/issue/issue.js,Split Issue,Split Issue
DocType: Student Attendance,Student Attendance,Student Účast
