Pension Funds,年金基金
Please select weekly off day,週休日を選択してください
Applicable After (Working Days),適用日後（営業日）
Hrs,時間
Supplier Scorecard Criteria,サプライヤスコアカード基準
FR,FR
Date of Joining must be greater than Date of Birth,入会日は生年月日より大きくなければなりません
Invoice Date,請求書の日付
Create Lab Test(s) on Sales Invoice Submit,売上請求書にラボテストを作成する
"No active BOM found for item {0}. Delivery by \
						Serial No cannot be ensured",品目{0}のアクティブな部品表は見つかりませんでした。 \シリアル番号による配達は保証できません
Post Graduate,大学院ポスト
Account {0} has been entered multiple times,アカウント{0}が複数回入力されました
Pay Against Benefit Claim,給付請求に対する支払い
Principal Amount,元本金額
Main,メイン
Serial No {0} does not exist,シリアル番号{0}は存在しません
Please select Program,プログラムを選択してください
Schedule Discharge,スケジュール放電
"Set items shelf life in days, to set expiry based on manufacturing_date plus self life",製造日と自己寿命に基づいて有効期限を設定するには、日数で品目の有効期間を設定します。
Get Payment Entries,支払いエントリを取得する
Max Retry Limit,最大再試行制限
Endpoint,終点
Cost Center is required in row {0} in Taxes table for type {1},タイプ{1}の税テーブルの行{0}に原価センタが必要です
Currency Exchange must be applicable for Buying or for Selling.,外貨両替は、購入または販売に適用される必要があります。
Cheque Width,幅をチェック
Secret,秘密の
Current Order,現在の注文
Item must be added using 'Get Items from Purchase Receipts' button,アイテムは「購入領収書からアイテムを取得」ボタンを使用して追加する必要があります
Delay Days,遅延日数
Default Income Account,デフォルトの収入アカウント
Get prescribed procedures,所定の手続きを受ける
Market Segment,市場セグメント
Set as Completed,完了として設定
Completed Qty can not be greater than 'Qty to Manufacture',完成した数量は「製造する数量」より大きくすることはできません
Service Level.,サービスレベル
MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
Year Start Date,年の開始日
(Hour Rate / 60) * Actual Operation Time,（時給/ 60）*実稼働時間
Received Date,受領日
Financial / accounting year.,財務/会計年度
Pricing Rule,価格設定ルール
Optional Holiday List not set for leave period {0},休暇期間{0}にオプションの休日リストが設定されていません
Please set User ID field in an Employee record to set Employee Role,従業員ロールの設定には、従業員レコードのユーザーIDフィールドを設定してください
Time To Resolve,解決する時間
Training Event,研修イベント
"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""",成人の通常の安静時血圧は、収縮期で約120 mmHg、拡張期で約80 mmHgで、「120/80 mmHg」と略されます。
System will fetch all the entries if limit value is zero.,限界値がゼロの場合、システムはすべてのエントリーを取り出します。
Copy From Item Group,明細グループからコピー
Bank Remittance,銀行送金
"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting/cancelling this entry",項目{0}の評価率が見つかりません。{1} {2}の会計入力を行うために必要です。品目が{1}のゼロ評価率の品目として取引されている場合は、{1}品目表にその旨を記載してください。それ以外の場合は、アイテムレコードの明細または言及評価率について、入庫取引を作成してから、このエントリを送信またはキャンセルしてください。
Half day date should be in between from date and to date,半日の日付は、開始日と終了日の間になければなりません。
Accrual Journal Entry for salaries from {0} to {1},{0}から{1}の給与の見越日誌入力
Material Receipt,入庫
Re-allocate Leaves,葉を再割り当て
To Date should be within the Fiscal Year. Assuming To Date = {0},現在までは会計年度内にする必要があります。 To Date = {0}と仮定
Employee Promotion Details,社員プロモーションの詳細
Project Status,プロジェクト状況
Account with existing transaction can not be deleted,既存の取引のあるアカウントは削除できません
This is a root supplier group and cannot be edited.,これはルートサプライヤグループであり、編集できません。
Could not find path for ,のパスが見つかりませんでした
Item Customer Detail,商品の詳細
Assessment  Mark (Out of 10),評価マーク（10点満点）
ACC-SH-.YYYY.-,ACC-SH-YYYY-
LabTest Approver,LabTest承認者
Is Milestone,マイルストーンです
Get Students,学生をゲット
Self-Driving Vehicle,自動運転車
Item {0} must be a Fixed Asset Item,アイテム{0}は固定資産アイテムである必要があります
Office Rent,オフィス賃料
In Maintenance,メンテナンス中
Cannot change Variant properties after stock transaction. You will have to make a new Item to do this.,株式取引後にバリアントプロパティを変更することはできません。これを行うには新しいアイテムを作る必要があります。
Unpaid,未払い
Update Account Name / Number,アカウント名/番号を更新する
Intern,インターン
Show only POS,POSのみを表示
Custody,親権
From Date cannot be greater than To Date,開始日を終了日より大きくすることはできません
