Pension Funds,Fundusze emerytalne
Please Set Supplier Group in Buying Settings.,Ustaw grupę dostawców w ustawieniach zakupu.
Temporary Opening Account,Konto do tymczasowego otwarcia
Cash/Bank Account,Gotówka / konto bankowe
Quality Meeting Table,Tabela jakości spotkań
The Term Start Date cannot be earlier than the Year Start Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,"Termin rozpoczęcia nie może być wcześniejszy niż data rozpoczęcia roku akademickiego, z którym termin jest powiązany (rok akademicki {}). Popraw daty i spróbuj ponownie."
Ageing Range 1,Zakres starzenia się 1
Tax Exemption Proofs,Dowody zwolnienia z podatku
Price List Currency,Waluta cennika
Batch: ,Partia:
Total Advance,Całkowita zaliczka
Emergency Phone,Telefon alarmowy
Check Out,Sprawdzić
Loan Period,Okres kredytowania
Conversion Factor,Współczynnik konwersji
Operating Cost(Company Currency),Koszt operacyjny (waluta firmy)
"Settings for online shopping cart such as shipping rules, price list etc.","Ustawienia koszyka online, takie jak zasady wysyłki, cennik itp."
Edit Publishing Details,Edytuj szczegóły publikowania
Soil Texture Criteria,Kryteria tekstury gleby
Select Department...,Wybierz dział ...
Currency should be same as Price List Currency: {0},Waluta powinna być taka sama jak waluta cennika: {0}
Row #{0}: Please specify Serial No for Item {1},Wiersz # {0}: proszę podać numer seryjny dla przedmiotu {1}
Minimum Permissible Value,Minimalna dopuszczalna wartość
Source Warehouse Address,Adres magazynu źródłowego
Compensatory Leave Request,Wniosek o urlop wyrównawczy
Mobile No.,Nr telefonu komórkowego
July,lipiec
Eligible ITC,Kwalifikujące się ITC
Density (if liquid),Gęstość (jeśli ciecz)
External Work History,Zewnętrzna historia pracy
Outgoing,Towarzyski
Add Quote,Dodaj cytat
Discharge,Rozładować się
MWS Auth Token,MWS Auth Token
"Food, Beverage & Tobacco","Żywność, napoje i tytoń"
Course Schedule,Harmonogram kursu
Item Wise Tax Detail,Szczegóły podatkowe przedmiotu mądrego
Supplies made to UIN holders,Materiały dla posiadaczy UIN
Request for Quotations,Zapytanie ofertowe
Currency can not be changed after making entries using some other currency,Waluty nie można zmienić po dokonaniu wpisów za pomocą innej waluty
Cannot set quantity less than delivered quantity,Nie można ustawić ilości mniejszej niż dostarczona ilość
Bank/Cash transactions against party or for internal transfer,Transakcje bankowe / gotówkowe przeciwko stronom lub na przelew wewnętrzny
Disabled template must not be default template,Wyłączony szablon nie może być szablonem domyślnym
Mark Absent,Oznacz nieobecny
Statistical Component,Komponent statystyczny
Reserved Quantity,Zarezerwowana ilość
Insurance Company,Firma ubezpieczeniowa
Note: Item {0} entered multiple times,Uwaga: pozycja {0} została wprowadzona wiele razy
Collection Datetime,Kolekcja Datetime
Total Achieved,Łącznie osiągnięte
Topic,Temat
Promotion Date,Data promocji
Account Details,Szczegóły Konta
Allow user to edit Rate,Zezwalaj użytkownikowi na edycję kursu
Result Emailed,Wynik wysłany pocztą e-mail
View Leads,Zobacz potencjalnych klientów
Visited yet,Odwiedziłem jeszcze
Terms,Warunki
Disbursed Amount cannot be greater than Loan Amount {0},Kwota wypłacona nie może być większa niż kwota pożyczki {0}
Issued,Wydany
Schedule Admission,Harmonogram przyjęcia
No contacts added yet.,Nie dodano jeszcze żadnych kontaktów.
Create Print Format,Utwórz format wydruku
Policy number,Numer polisy
Against Voucher,Przeciw kuponowi
Payment Reference,Referencje płatności
Student Mobile No.,Student Mobile No.
Cheque Print Template,Sprawdź szablon wydruku
For how much spent = 1 Loyalty Point,Za ile wydano = 1 punkt lojalnościowy
Email Digest: ,Podsumowanie wiadomości e-mail:
Show Inclusive Tax In Print,Pokaż Inclusive Tax In Print
Include All Assessment Group,Dołącz całą grupę oceniającą
Employee Benefits,Świadczenia pracownicze
This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?,Ten dokument jest przekroczony o {0} {1} dla elementu {4}. Czy robisz inny {3} przeciwko temu samemu {2}?
Is Optional Leave,Czy opcjonalny urlop
Is Finance Cost,Czy koszt finansowy
Doors,Drzwi
Customer Settings,Ustawienia klienta
Include Exploded Items,Dołącz eksplodowane przedmioty
Evaluate,Oceniać
Is Free Item,Jest darmowym przedmiotem
Total Present,Total Present
Is Item from Hub,Czy przedmiot pochodzi z Hub
Quality Procedure.,Procedura jakości.
No of Shares,Liczba akcji
Row {0}: Qty not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),Wiersz {0}: ilość niedostępna dla {4} w magazynie {1} w czasie księgowania wpisu ({2} {3})
Preventive,Zapobiegawczy
Forum URL,Adres URL forum
Employee and Attendance,Pracownik i frekwencja
Vital Signs,Oznaki życia
Academics User,Użytkownik akademicki
Get Items from BOM,Pobierz przedmioty z BOM
Serial No is mandatory for Item {0},Numer seryjny jest obowiązkowy dla przedmiotu {0}
Get Items from Prescriptions,Pobierz przedmioty z recept
Cannot cancel {0} {1} because Serial No {2} does not belong to the warehouse {3},"Nie można anulować {0} {1}, ponieważ numer seryjny {2} nie należy do hurtowni {3}"
View Orders,Wyświetl zamówienia
Number Of Positions,Liczba pozycji
Walk In,Wejść
Import Sales Invoice from Shopify if Payment is marked,"Importuj fakturę sprzedaży z Shopify, jeśli płatność jest zaznaczona"
Certification Status,Status certyfikacji
Source Location is required for the asset {0},Lokalizacja źródła jest wymagana dla zasobu {0}
Encashment Date,Data założenia
Please select Completion Date for Completed Asset Maintenance Log,Wybierz datę ukończenia dla dziennika konserwacji kompletnych zasobów
Allow Users,Zezwalaj użytkownikom
Chart Of Accounts,Plan kont
Customer is mandatory if 'Opportunity From' is selected as Customer,"Klient jest obowiązkowy, jeśli wybrano opcję „Opportunity From”"
Primary Address,adres główny
Room Name,Nazwa pokoju
Tax Id: ,Identyfikator podatkowy:
Creation Document No,Dokument tworzenia nr
Projected,Przewidywane
Rejected Qty,Odrzucona ilość
Free Item,Bezpłatny przedmiot
Is Payable,Jest płatny
Allow Stock Consumption,Zezwalaj na zużycie zapasów
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,Termin akademicki z tym „rokiem akademickim” {0} i „nazwą terminu” {1} już istnieje. Zmień te wpisy i spróbuj ponownie.
Initiated,Zapoczątkowany
Blanket Orders from Costumers.,Zamówienia zbiorcze od klientów.
Used for Production Plan,Używany do planu produkcji
Ageing Range 2,Zakres starzenia się 2
Time logs are required for job card {0},Dzienniki czasu są wymagane dla karty pracy {0}
Vehicle Log,Dziennik pojazdu
Grading Scale Intervals,Interwały skali skarpy
Report Settings,Ustawienia raportu
Point-of-Sale Profile,Profil punktu sprzedaży
Lab Test Groups,Grupy testowe laboratorium
Default Valuation Method,Domyślna metoda wyceny
Safety Stock,Zapasy bezpieczeństwa
Print settings updated in respective print format,Ustawienia drukowania zaktualizowane w odpowiednim formacie wydruku
Issues,Zagadnienia
Student Application,Zgłoszenie studenckie
Extra Large,Bardzo duży
Remaining Balance,Pozostałe saldo
Industry,Przemysł
Cheque/Reference Date,Data sprawdzenia / odniesienia
Stock Manager,Menedżer akcji
No items to be received are overdue,"Nie ma żadnych przedmiotów, które można odebrać"
Grant information.,Udziel informacji.
Please set Company filter blank if Group By is 'Company',"Ustaw filtr firmowy pusty, jeśli Grupuj według to „Firma”"
Sync has been temporarily disabled because maximum retries have been exceeded,"Synchronizacja została tymczasowo wyłączona, ponieważ przekroczono maksymalną liczbę ponownych prób"
{0} {1} is cancelled or stopped,{0} {1} zostało anulowane lub zatrzymane
Has Certificate,Ma certyfikat
"Search by item code, serial number, batch no or barcode","Wyszukaj według kodu towaru, numeru seryjnego, numeru partii lub kodu kreskowego"
Multiple Item prices.,Ceny wielu przedmiotów.
Request for Quotation,Zapytanie ofertowe
Current Valuation Rate,Aktualna stopa wyceny
Shipping County,Hrabstwo żeglugowe
Perception Analysis,Analiza percepcji
Item {0} is not active or end of life has been reached,Pozycja {0} nie jest aktywna lub został osiągnięty koniec życia
Single Variant,Pojedynczy wariant
Row #{0}: Reference Document Type must be one of Expense Claim or Journal Entry,Wiersz # {0}: Typ dokumentu referencyjnego musi być jednym z oświadczeń o wydatkach lub zapisów do dziennika
Print Language,Język wydruku
Pricing Rule Help,Pomoc dotycząca reguł cenowych
Contact List,Lista kontaktów
Better Prospects,Lepsze perspektywy
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',Harmonogram konserwacji nie jest generowany dla wszystkich elementów. Kliknij „Generuj harmonogram”
Itemwise Discount,Zniżka rzeczowa
Patient Encounter,Spotkanie pacjenta
Define various loan types,Zdefiniuj różne typy pożyczek
Supplier Type,Typ dostawcy
Total Collected: {0},Łącznie zebrane: {0}
Credit Card,Karta kredytowa
SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
Supplier Scorecard Setup,Konfiguracja karty wyników dostawcy
Amazon MWS Settings,Ustawienia Amazon MWS
Walking,Pieszy
Requested Numbers,Żądane numery
Freight and Forwarding Account,Konto frachtowe i spedycyjne
Please select a Company,Wybierz firmę
Row {0}: {1} must be greater than 0,Wiersz {0}: {1} musi być większy niż 0
Upload your letter head and logo. (you can edit them later).,Prześlij swoją literę i logo. (możesz je później edytować).
Create Separate Payment Entry Against Benefit Claim,Utwórz oddzielny wpis płatności przed roszczeniem o zasiłek
Did not find any item called {0},Nie znaleziono żadnego elementu o nazwie {0}
Nationality,Narodowość
Scrap %,Złom%
Inspection Criteria,Kryteria inspekcji
Failed to setup company,Nie udało się skonfigurować firmy
Debit To account must be a Balance Sheet account,Konto debetowe musi być kontem bilansowym
Number of Order,Liczba zamówień
"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} jest powiązane z {2}, ale konto Party to {3}"
Items,Przedmiotów
I,ja
Work-in-Progress Warehouse is required before Submit,Przed wysyłką wymagana jest hurtownia pracy w toku
"Sales Order {0} has reservation for item {1}, you can
		only deliver reserved {1} against {0}. Serial No {2} cannot
		be delivered","Zamówienie sprzedaży {0} ma rezerwację dla przedmiotu {1}, możesz dostarczyć tylko zarezerwowane {1} przeciwko {0}. Nie można dostarczyć numeru seryjnego {2}"
Monitoring Frequency,Monitorowanie częstotliwości
Closing Balance,Bilans zamknięcia
Cost of Sold Asset,Koszt aktywów sprzedanych
Row #{0}: Rejected Qty can not be entered in Purchase Return,Wiersz # {0}: Odrzucona ilość nie może być wprowadzona w Zwrocie zakupu
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
JSON Output,Wyjście JSON
Increment cannot be 0,Przyrost nie może wynosić 0
BOM {0} must be submitted,BOM {0} musi zostać przesłany
Synch Orders,Synchronizuj zamówienia
Disburse Loan,Wypłata pożyczki
Delivered by Supplier (Drop Ship),Dostarczone przez dostawcę (Drop Ship)
Place Order,Złożyć zamówienie
Place of Issue,Miejsce wydania
Transporter Details,Szczegóły transportera
Gross and Net Profit Report,Raport zysku brutto i netto
Appraisal Template Title,Tytuł szablonu oceny
Work Orders Created: {0},Zlecenia robocze utworzone: {0}
To Warehouse (Optional),Do magazynu (opcjonalnie)
Physician,Lekarz
Until,Aż do
Leave Policy Details,Opuść szczegóły polityki
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Przykład:</b> SAL- {first_name} - {date_of_birth.year} <br> Spowoduje to wygenerowanie hasła takiego jak SAL-Jane-1972
To make recurring documents,Aby tworzyć dokumenty cykliczne
PDC/LC Ref,PDC / LC Ref
Update Series Number,Aktualizuj numer serii
Leave unchecked if you don't want to consider batch while making course based groups. ,"Pozostaw niezaznaczone, jeśli nie chcesz rozważać partii podczas tworzenia grup opartych na kursie."
Maximum Score,Maksymalny wynik
Website Filter Field,Pole filtru witryny
Probationary Period,Okres próbny
Require Full Funding,Wymagaj pełnego finansowania
Manufacturing Date,Data produkcji
Group your students in batches,Grupuj swoich uczniów partiami
Bimonthly,Dwumiesięczny
Depreciation Eliminated due to disposal of assets,Amortyzacja wyeliminowana z powodu zbycia aktywów
Purposes,Cele
Shipments,Przesyłki
New Academic Term,Nowy okres akademicki
Nothing is included in gross,Nic nie jest wliczone w brutto
New Warehouse Name,Nowa nazwa magazynu
Show Return Entries,Pokaż wpisy zwrotne
Soil Type,Typ gleby
Multiple Tier Program,Program wielopoziomowy
The BOM which will be replaced,"BOM, która zostanie zastąpiona"
Risk Factors,Czynniki ryzyka
Reserved for sale,Zarezerwowane na sprzedaż
Prescriptions,Recepty
Bills raised to Customers.,Rachunki podniesione do klientów.
Seminar,Seminarium
Credit ({0}),Kredyt ({0})
Subscription Plans,Plany subskrypcji
March,Marsz
Split Batch,Podziel partię
House Name,Nazwa domu
Outstanding for {0} cannot be less than zero ({1}),Wyjątek dla {0} nie może być mniejszy niż zero ({1})
Petrol,Benzyna
Bypass credit limit check at Sales Order,Sprawdzenie limitu kredytowego obejścia w zleceniu sprzedaży
Employee External Work History,Zewnętrzna historia pracownicza
Expense Approver Mandatory In Expense Claim,Obowiązkowe zatwierdzenie wydatku w wydatkach
"Optional. Sets company's default currency, if not specified.","Opcjonalny. Ustawia domyślną walutę firmy, jeśli nie jest określona."
Monthly Repayment Amount cannot be greater than Loan Amount,Kwota spłaty miesięcznej nie może być większa niż kwota pożyczki
