DocType: Accounting Period,Period Name,Nama Periode
DocType: Diagnosis,Diagnosis,Diagnosa
apps/erpnext/erpnext/patches/v4_0/create_price_list_if_missing.py,Standard Buying,Standar Pembelian
DocType: Attendance Request,Explanation,Penjelasan
DocType: GL Entry,Against,Terhadap
DocType: Item Default,Sales Defaults,Default Penjualan
DocType: Sales Order Item,Work Order Qty,Perintah Kerja Qty
DocType: Item Default,Default Selling Cost Center,Standar Pusat Biaya Jual
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Disc,Cakram
DocType: Buying Settings,Material Transferred for Subcontract,Material Ditransfer untuk Subkontrak
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Date,Tanggal Pemesanan Pembelian
DocType: Email Digest,Purchase Orders Items Overdue,Item Pesanan Pembelian terlambat
apps/erpnext/erpnext/accounts/page/pos/pos.js,ZIP Code,Kode Pos
apps/erpnext/erpnext/controllers/selling_controller.py,Sales Order {0} is {1},Sales Order {0} adalah {1}
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Select interest income account in loan {0},Pilih akun pendapatan bunga dalam pinjaman {0}
DocType: Opportunity,Contact Info,Informasi Kontak
apps/erpnext/erpnext/config/help.py,Making Stock Entries,Membuat Entri Persediaan
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Cannot promote Employee with status Left,Tidak dapat mempromosikan Karyawan dengan status Kiri
DocType: Packing Slip,Net Weight UOM,Uom Berat Bersih
DocType: Item Default,Default Supplier,Supplier Standar
DocType: Loan,Repayment Schedule,Jadwal pembayaran
DocType: Shipping Rule Condition,Shipping Rule Condition,Kondisi / Aturan Pengiriman
apps/erpnext/erpnext/hr/doctype/payroll_period/payroll_period.py,End Date can not be less than Start Date,Tanggal Berakhir tidak boleh lebih awal dari Tanggal Mulai
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice can't be made for zero billing hour,Faktur tidak dapat dilakukan selama nol jam penagihan
DocType: Company,Date of Commencement,Tanggal dimulainya
DocType: Sales Person,Select company name first.,Pilih nama perusahaan terlebih dahulu.
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Email sent to {0},Email dikirim ke {0}
apps/erpnext/erpnext/config/buying.py,Quotations received from Suppliers.,Penawaran Diterima dari Supplier
DocType: Quality Goal,January-April-July-October,Januari-April-Juli-Oktober
apps/erpnext/erpnext/config/manufacturing.py,Replace BOM and update latest price in all BOMs,Ganti BOM dan perbarui harga terbaru di semua BOM
apps/erpnext/erpnext/controllers/selling_controller.py,To {0} | {1} {2},Untuk {0} | {1} {2}
apps/erpnext/erpnext/setup/doctype/supplier_group/supplier_group.js,This is a root supplier group and cannot be edited.,Ini adalah grup pemasok akar dan tidak dapat diedit.
DocType: Sales Invoice,Driver Name,Nama pengemudi
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.py,Average Age,Rata-rata Usia
DocType: Education Settings,Attendance Freeze Date,Tanggal Pembekuan Kehadiran
DocType: Payment Request,Inward,Batin
apps/erpnext/erpnext/utilities/user_progress.py,List a few of your suppliers. They could be organizations or individuals.,Daftar beberapa Supplier Anda. Mereka bisa menjadi organisasi atau individu.
DocType: Accounting Dimension,Dimension Defaults,Default Dimensi
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Minimum Lead Age (Days),Minimum Umur Prospek (Hari)
apps/erpnext/erpnext/assets/report/fixed_asset_register/fixed_asset_register.py,Available For Use Date,Tersedia Untuk Digunakan Tanggal
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,All BOMs,Semua BOMs
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Create Inter Company Journal Entry,Buat Entri Jurnal Perusahaan Inter
DocType: Company,Parent Company,Perusahaan utama
apps/erpnext/erpnext/hotels/doctype/hotel_room_reservation/hotel_room_reservation.py,Hotel Rooms of type {0} are unavailable on {1},Kamar Hotel tipe {0} tidak tersedia pada {1}
apps/erpnext/erpnext/config/manufacturing.py,Compare BOMs for changes in Raw Materials and Operations,Bandingkan BOM untuk perubahan Bahan Baku dan Operasi
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.js,Document {0} successfully uncleared,Dokumen {0} berhasil dihapus
DocType: Healthcare Practitioner,Default Currency,Standar Mata Uang
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Reconcile this account,Rekonsiliasi akun ini
apps/erpnext/erpnext/controllers/selling_controller.py,Maximum discount for Item {0} is {1}%,Diskon maksimum untuk Item {0} adalah {1}%
DocType: Chart of Accounts Importer,Attach custom Chart of Accounts file,Lampirkan bagan Akun kustom file
DocType: Asset Movement,From Employee,Dari Karyawan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Import of services,Impor layanan
DocType: Driver,Cellphone Number,Nomor ponsel
DocType: Project,Monitor Progress,Pantau Kemajuan
DocType: Pricing Rule Item Code,Pricing Rule Item Code,Kode Item Aturan Harga
apps/erpnext/erpnext/controllers/accounts_controller.py,Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Peringatan: Sistem tidak akan memeriksa overbilling karena jumlahnya untuk Item {0} pada {1} adalah nol
DocType: Journal Entry,Make Difference Entry,Buat Entri Perbedaan
DocType: Supplier Quotation,Auto Repeat Section,Bagian Ulangi Otomatis
DocType: Service Level Priority,Response Time,Waktu merespon
DocType: Upload Attendance,Attendance From Date,Absensi Kehadiran dari Tanggal
DocType: Appraisal Template Goal,Key Performance Area,Area Kinerja Kunci
DocType: Program Enrollment,Transportation,Transportasi
apps/erpnext/erpnext/controllers/item_variant.py,Invalid Attribute,Atribut yang tidak valid
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} must be submitted,{0} {1} harus dikirim
apps/erpnext/erpnext/selling/doctype/campaign/campaign_dashboard.py,Email Campaigns,Kampanye Email
DocType: Sales Partner,To Track inbound purchase,Untuk Melacak pembelian masuk
DocType: Buying Settings,Default Supplier Group,Grup Pemasok Default
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Quantity must be less than or equal to {0},Kuantitas harus kurang dari atau sama dengan {0}
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Maximum amount eligible for the component {0} exceeds {1},Jumlah maksimum yang memenuhi syarat untuk komponen {0} melebihi {1}
DocType: Department Approver,Department Approver,Persetujuan Departemen
DocType: QuickBooks Migrator,Application Settings,Pengaturan aplikasi
DocType: SMS Center,Total Characters,Jumlah Karakter
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Creating Company and Importing Chart of Accounts,Membuat Perusahaan dan Mengimpor Bagan Akun
DocType: Employee Advance,Claimed,Diklaim
DocType: Crop,Row Spacing,Row Spacing
apps/erpnext/erpnext/controllers/buying_controller.py,Please select BOM in BOM field for Item {0},Silakan pilih BOM BOM di lapangan untuk Item {0}
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,There isn't any item variant for the selected item,Tidak ada varian item untuk item yang dipilih
DocType: C-Form Invoice Detail,C-Form Invoice Detail,C-Form Faktur Detil
DocType: Payment Reconciliation Invoice,Payment Reconciliation Invoice,Rekonsiliasi Faktur Pembayaran
DocType: Clinical Procedure,Procedure Template,Template Prosedur
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Publish Items,Publikasikan Item
apps/erpnext/erpnext/selling/report/sales_person_commission_summary/sales_person_commission_summary.py,Contribution %,Kontribusi%
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Sesuai dengan Setelan Pembelian jika Pesanan Pembelian Diperlukan == &#39;YA&#39;, maka untuk membuat Purchase Invoice, pengguna harus membuat Purchase Order terlebih dahulu untuk item {0}"
,HSN-wise-summary of outward supplies,HSN-bijaksana-ringkasan persediaan luar
DocType: Company,Company registration numbers for your reference. Tax numbers etc.,Nomor registrasi perusahaan untuk referensi Anda. Nomor pajak dll
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To State,Untuk menyatakan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Distributor,Distributor
DocType: Asset Finance Book,Asset Finance Book,Buku Aset Keuangan
DocType: Shopping Cart Shipping Rule,Shopping Cart Shipping Rule,Aturan Pengiriman Belanja Shoping Cart
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_settings.py,Please setup a default bank account for company {0},Harap siapkan rekening bank default untuk perusahaan {0}
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set 'Apply Additional Discount On',Silahkan mengatur &#39;Terapkan Diskon tambahan On&#39;
DocType: Party Tax Withholding Config,Applicable Percent,Persen yang Berlaku
,Ordered Items To Be Billed,Item Pesanan Tertagih
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,From Range has to be less than To Range,Dari Rentang harus kurang dari Untuk Rentang
DocType: Global Defaults,Global Defaults,Standar Global
apps/erpnext/erpnext/projects/doctype/project/project.py,Project Collaboration Invitation,Proyek Kolaborasi Undangan
DocType: Salary Slip,Deductions,Pengurangan
DocType: Setup Progress Action,Action Name,Nama Aksi
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Start Year,Mulai Tahun
apps/erpnext/erpnext/hr/doctype/loan_application/loan_application.js,Create Loan,Buat Pinjaman
DocType: Purchase Invoice,Start date of current invoice's period,Tanggal faktur periode saat ini mulai
DocType: Shift Type,Process Attendance After,Proses Kehadiran Setelah
,IRS 1099,IRS 1099
DocType: Salary Slip,Leave Without Pay,Cuti Tanpa Bayar
DocType: Payment Request,Outward,Ke luar
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On {0} Creation,Pada {0} Pembuatan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,State/UT Tax,Pajak Negara / UT
,Trial Balance for Party,Trial Balance untuk Partai
,Gross and Net Profit Report,Laporan Laba Kotor dan Laba Bersih
apps/erpnext/erpnext/config/quality_management.py,Tree of Procedures,Pohon Prosedur
DocType: Lead,Consultant,Konsultan
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Parents Teacher Meeting Attendance,Pertemuan Orangtua Guru Kehadiran
DocType: Salary Slip,Earnings,Pendapatan
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Finished Item {0} must be entered for Manufacture type entry,Selesai Stok Barang {0} harus dimasukkan untuk jenis Produksi entri
apps/erpnext/erpnext/config/help.py,Opening Accounting Balance,Saldo Pembukaan Akuntansi
,GST Sales Register,Daftar Penjualan GST
DocType: Sales Invoice Advance,Sales Invoice Advance,Uang Muka Faktur Penjualan
apps/erpnext/erpnext/public/js/setup_wizard.js,Select your Domains,Pilih Bidang Usaha Anda
apps/erpnext/erpnext/erpnext_integrations/doctype/shopify_settings/sync_product.py,Shopify Supplier,Pemasok Shopify
DocType: Bank Statement Transaction Entry,Payment Invoice Items,Item Faktur Pembayaran
DocType: Payroll Entry,Employee Details,Detail Karyawan
DocType: Amazon MWS Settings,CN,CN
DocType: Item Variant Settings,Fields will be copied over only at time of creation.,Fields akan disalin hanya pada saat penciptaan.
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Row {0}: asset is required for item {1},Baris {0}: aset diperlukan untuk item {1}
apps/erpnext/erpnext/projects/doctype/task/task.py,'Actual Start Date' can not be greater than 'Actual End Date','Tanggal Mulai Sebenarnya' tidak bisa lebih besar dari 'Tanggal Selesai Sebenarnya'
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Management,Manajemen
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.js,Show {0},Tampilkan {0}
DocType: Cheque Print Template,Payer Settings,Pengaturan Wajib
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,No pending Material Requests found to link for the given items.,Tidak ada Permintaan Material yang tertunda ditemukan untuk menautkan untuk item yang diberikan.
apps/erpnext/erpnext/public/js/utils/party.js,Select company first,Pilih perusahaan terlebih dahulu
apps/erpnext/erpnext/accounts/general_ledger.py,Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Akun: <b>{0}</b> adalah modal sedang dalam proses dan tidak dapat diperbarui oleh Entri Jurnal
apps/erpnext/erpnext/education/doctype/quiz/quiz.py,Compare List function takes on list arguments,Fungsi Bandingkan Daftar mengambil argumen daftar
DocType: Item Attribute Value,"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""","Ini akan ditambahkan ke Item Code dari varian. Sebagai contoh, jika Anda adalah singkatan ""SM"", dan kode Stok Barang adalah ""T-SHIRT"", kode item varian akan ""T-SHIRT-SM"""
DocType: Salary Slip,Net Pay (in words) will be visible once you save the Salary Slip.,Pay Bersih (dalam kata-kata) akan terlihat setelah Anda menyimpan Slip Gaji.
DocType: Delivery Note,Is Return,Retur Barang
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.py,Caution,Peringatan
apps/erpnext/erpnext/hr/doctype/upload_attendance/upload_attendance.js,Import Successful,Impor Berhasil
apps/erpnext/erpnext/config/quality_management.py,Goal and Procedure,Sasaran dan Prosedur
apps/erpnext/erpnext/agriculture/doctype/disease/disease.py,Start day is greater than end day in task '{0}',Hari mulai lebih besar dari hari akhir tugas &#39;{0}&#39;
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Return / Debit Note,Nota Retur / Debit
DocType: Price List Country,Price List Country,Negara Daftar Harga
DocType: Sales Invoice,Set Source Warehouse,Tetapkan Gudang Sumber
DocType: Tally Migration,UOMs,UOMs
DocType: Account Subtype,Account Subtype,Subtipe Akun
apps/erpnext/erpnext/stock/utils.py,{0} valid serial nos for Item {1},{0} nomor seri berlaku untuk Item {1}
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item Code cannot be changed for Serial No.,Item Code tidak dapat diubah untuk Serial Number
DocType: Purchase Invoice Item,UOM Conversion Factor,Faktor Konversi UOM
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Please enter Item Code to get Batch Number,Masukkan Item Code untuk mendapatkan Nomor Batch
DocType: Loyalty Point Entry,Loyalty Point Entry,Entry Point Loyalitas
DocType: Employee Checkin,Shift End,Shift End
DocType: Stock Settings,Default Item Group,Standar Item Grup
DocType: Job Card Time Log,Time In Mins,Time In Mins
apps/erpnext/erpnext/config/non_profit.py,Grant information.,Berikan informasi.
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.js,This action will unlink this account from any external service integrating ERPNext with your bank accounts. It cannot be undone. Are you certain ?,Tindakan ini akan memutuskan tautan akun ini dari layanan eksternal yang mengintegrasikan ERPNext dengan rekening bank Anda. Itu tidak bisa diurungkan. Apakah Anda yakin ?
apps/erpnext/erpnext/config/buying.py,Supplier database.,Database Supplier.
DocType: Contract Template,Contract Terms and Conditions,Syarat dan Ketentuan Kontrak
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,You cannot restart a Subscription that is not cancelled.,Anda tidak dapat memulai ulang Langganan yang tidak dibatalkan.
