Pension Funds,የጡረታ ፈንዶች
Reading 1,ንባብ 1
Maximum Age,ከፍተኛ ዕድሜ
Payroll Periods,የደመወዝ ክፍያዎች
Transferred Quantity,የተላለፈበት ብዛት
Marketplace Settings,የገበያ ቦታ ቅንብሮች
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,የግዢ ትዕዛዞች በ {1} ውጤት መስጫ ነጥብ ምክንያት ለ {0} አይፈቀዱም.
Price List not selected,የዋጋ ዝርዝር አልተመረጠም
Workstation is closed on the following dates as per Holiday List: {0},የመስሪያ ማቆያ ጣቢያ በሚቀጥሉት ቀናት ይዘጋል: {0}
"Reselect, if the chosen address is edited after save",የተመረጠውን አድራሻ ከተመረጠ በኋላ የተመረጠው አድራሻ ከተስተካከለ አይምረጡ
Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You will need to create a new Item to use a different Default UOM.,ከሌላ UOM ጋር አንዳንድ ልውውጥ (ዎች) ስላደረጉበት ለንጥል {0} ልኬት ነባሪ መለኪያ ሊለወጥ አይችልም. የተለየ ነባሪ UOM ለመጠቀም አዲስ ንጥል መፍጠር ይኖርብዎታል.
Changing Customer Group for the selected Customer is not allowed.,ለተመረጠው ደንበኛ የደንበኞች ቡድን መቀየር አይፈቀድም.
Creation Document Type,የፈጠራ ሰነድ አይነት
Available Batch Qty at Warehouse,በገቢ መጋዘን ውስጥ የሚገኝ የተገኘ ብዛት
This is a root territory and cannot be edited.,ይህ ስርዓት ግዛት እና አርትዕ ሊደረግ አይችልም.
Surgical History,የቀዶ ጥገና ታሪክ
Tree of Quality Procedures.,የጥራት ሂደቶች ዛፍ.
Contact HTML,HTML ይገናኙ
Employee Information,የተቀጣሪ መረጃ
Examiner,ገምጋሚ
Actual Amount,ትክክለኛው መጠን
Fulfilled,ተጠናቅቋል
Row {0}: Enter location for the asset item {1},ረድፍ {0}: ለንብረቱ ነገር {1} ቦታ ያስገቡ
View Timesheet,የጊዜ ሠንጠረዥ ይመልከቱ
Taxes and Charges Calculation,ግብር እና ክፍያዎች ሒሳብ
Action Document,የእርምጃ ሰነድ
Procedure Prescription,የመድሐኒት ማዘዣ
Guardian Name,የአሳዳጊ ስም
Successfully Reconciled,በተሳካ ሁኔታ ተመግቧል
Period Name,የጊዜ ስም
Please pull items from Delivery Note,እባክዎ ንጥሎችን ከማድረሻ ማስታወሻ ላይ ይጎትቱ
Content Question,የይዘት ጥያቄ
In Stock: ,ለሽያጭ የቀረበ እቃ:
Please save before assigning task.,እባክዎ ስራ ከመመደባቸው በፊት ያስቀምጡ.
Company is manadatory for company account,ኩባንያ ለኩባንያ መዝገብ ነው
Delivery Warehouse,የማጓጓዣ ማከማቻ
Enable Shopify,Shopify ን አንቃ
Additional information regarding the patient,በሽተኛውን በተመለከተ ተጨማሪ መረጃ
Purchase Receipts,የግዢ ደረሰኞች
New Employee,አዲስ ተቀጣሪ
Update Auto Repeat Reference,ራስ-ሰር ተደጋጋሚ ማጣቀሻን ያዘምኑ
Fees,ክፍያዎች
Student Group Name,የተማሪ ቡድን ስም
Employee,ሠራተኛ
Available-for-use Date should be after purchase date,ሊገኝ የሚችልበት ቀን ከግዢ ቀን በኋላ መሆን አለበት
Please define grade for Threshold 0%,እባክዎ ለክፍል ደረጃ 0%
"Apps using current key won't be able to access, are you sure?","የአሁኑን ቁልፍ የሚጠቀሙ መተግበሪያዎች መዳረስ አይችሉም, እርግጠኛ ነዎት?"
Minutes,ደቂቃዎች
Correct,ትክክል
Total Declared Amount,ጠቅላላ የተጣራ ገንዘብ
Material,ቁሳዊ
Is Inpatient,ታካሚ ነው
Encashment Amount,የክፍያ መጠን
Conversion Rate,የልወጣ ብዛት
CEO,ዋና ሥራ አስኪያጅ
Set tasks in this project as cancelled?,እንደተሰለሉት በዚህ ፕሮጀክት ውስጥ ሥራዎችን ያዋቅሩ?
Reserved Qty for sub contract,ለንዑስ ኮንትራት የተያዘው ብዛት
Create Payment Entry,የክፍያ መግቢያ ይፍጠሩ
Submit Proof,ማረጋገጫ ያቅርቡ
Credit Months,የክፍያ ቆይታ
Providing,መስጠት
Total Billing Amount,ጠቅላላ የሂሳብ አከፋፈል መጠን
Maintenance Visit,የጥገና ጉብኝት
Country of Origin,የትውልድ ቦታ
Agriculture Analysis Criteria,የግብርና ትንተና መስፈርት
Additional Salary Component Exists.,ተጨማሪ የደመወዝ ክፍል ውስጥ ይገኛል.
Grocery,ግሮሰሪ
Minimum Seating,አነስተኛ ቦታ መያዝ
Furry,ድብደባ
"Can not filter based on Account, if grouped by Account",መለያው ላይ በመደመር መለያውን መሰረት በማድረግ ማጣራት አይቻልም
Bank Entries,የባንክ ግብሮች
Sandy Clay Loam,Sandy Clay Loam
LInked Analysis,LInked Analysis
Valid From Date must be lesser than Valid Upto Date.,ልክ ቀን ከፀናበት ጀምሮ ከተጸደቀው ቀን በኋላ ያነሰ መሆን አለበት.
Salary Component,የደመወዝ ክፍል
Maintenance Team Members,የጥገና ቡድን አባላት
Minimum Age,ትንሹ የእድሜ
Available Selling,ሊሸጥ የሚቻል
Taxes and Charges Deducted,ግብር እና ክፍያዎች ተቀናሽ ይደረጋሉ
Create Lab Test,የቤተ ሙከራ ሙከራ ይፍጠሩ
Hotel Settings,የሆቴል ቅንጅቶች
Select Transaction,ግብይት ይምረጡ
Declare Lost,የተረሳ መሆኑን ይናገሩ
If different than customer address,ከደንበኛ አድራሻ የተለየ
Chart Tree,ገበታ ዛፍ
Contract,ኮንትራት
Please select the Multiple Tier Program type for more than one collection rules.,እባክዎ ከአንድ በላይ የዚህ ስብስብ ደንቦችን ለማግኘት በርካታ የቴስት ፕሮግራምን ይምረጡ.
{0} for {1},{0} ለ {1}
For Quantity (Manufactured Qty) is mandatory,ለቁጥር (የተጣነ ሂሳብ) ግዴታ ነው
"e.g. ""Primary School"" or ""University""",ለምሳሌ &quot;የመጀመሪያ ደረጃ ትምህርት ቤት&quot; ወይም &quot;ዩኒቨርሲቲ&quot;
Apply Multiple Pricing Rules,በርካታ የዋጋ አሰጣጥ ደንቦችን ይተግብሩ
Review Invitation Sent,የግብዓት ግብዣ ተልኳል
No of Months,የወሮች ብዛት
Serial Nos Required for Serialized Item {0},ለዝቅተኛ ንጥል ነገር የሚፈለግባቸው ተከታታይ ግዴታዎች {0}
Bill of Materials (BOM),የሂሳብ ሰነዶች (ቦም)
Allow Stale Exchange Rates,የተለመዱ ትውልዶች ፍቀድ
Website Description,የድር ጣቢያ መግለጫ
Expense Details,የወጪ ዝርዝር
From Range has to be less than To Range,ከክልል ጀምሮ ከክልል በታች መሆን አለበት
Products to be shown on website homepage,በድረገፅ መነሻ ገጽ ላይ የሚታዩ ምርቶች
Is Master Data Processed,ዋናው መረጃ ሂደት ነው
Quantity  that must be bought or sold per UOM,በ UOM ሊገዛ ወይም ሊሸጥ የሚችል ቁጥር
Total Sales Amount (via Sales Order),ጠቅላላ የሽያጭ መጠን (በሽያጭ ትእዛዝ)
Box,ሳጥን
Default Cost Center,ነባሪ ዋጋ ማዕከል
Billed Amt,ሂሳብ የተከፈለ
Please set default {0} in Company {1},እባክዎ ነባሪ {0} በኩባንያ ውስጥ {1} ያዘጋጁ
Distance from left edge,ከግራ ጫፍ ርቀት
Item 4,ንጥል 4
"Advance paid against {0} {1} cannot be greater \
						than Grand Total {2}",ከ {0} {1} የተከፈለ ቅድመ ወልደ [ከጠቅላላው ድምር {2} የበለጠ ሊሆን አይችልም
Income Account,የገቢ መለያ
All Warehouses,ሁሉም መጋዘኖች
Signee Details,የዋና ዝርዝሮች
Procurement,ግዥ
Check this if you want to show in website,በድር ጣቢያ ውስጥ ማሳየት ከፈለጉ ይህንን ያረጋግጡ
Fiscal Year {0} not found,የፋይናንስ ዓመት {0} አልተገኘም
Bank Statement Settings,የባንክ መግለጫ መግለጫዎች
Score (0-5),ውጤት (0-5)
Attribute {0} selected multiple times in Attributes Table,ባህሪ {0} በባህሪ ሰንጠረዥ ውስጥ ብዙ ጊዜ ተመርጧል
Debit Note Issued,የዕዳ ክፍያ ማስታወሻ ተሰጥቷል
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",እባክዎ &quot;የሸቀጥ እቃ&quot; &quot;አይደለም&quot; እና &quot;የሽያጭ እቃ&quot; ነው &quot;እና&quot; ሌላ የምርት ጥቅል የለም
Employee {0} of grade {1} have no default leave policy,የክፍል {0} የክፍል ደረጃ {1} ምንም ነባሪ መውጫ መምሪያ የለውም
Leave Policy Detail,የፖሊሲ ዝርዝርን ይተው
Warehouse not found in the system,መጋዘን በሲስተሙ አልተገኘም
OP Consulting Charge,የ OP የምክር ክፍያ
Measurable Goal,ሊለካ የሚችል ግብ
Invoices,ደረሰኞች
Currency Exchange,የምንዛሬ ልውውጥ
Fortnightly,በየሁለት ሳምንቱ
Serial No {0} not in stock,Serial No {0} በክምችት ውስጥ አይገኝም
"Material Request not created, as quantity for Raw Materials already available.",የንብረት ጥሬ እቃዎች ቀድሞውኑ እምብዛም አልተገኙም.
Creation User,የፈጠራ ተጠቃሚ
"Record of all communications of type email, phone, chat, visit, etc.","ስለ ኢሜል, ስልክ, ውይይት, ጉብኝት, ወዘተ ሁሉ የመገናኛዎች መዝግብ."
Asset Settings,የቋሚ ቅንጅቶች
Worked On Holiday,በበዓላት ሰርተዋል
Either location or employee must be required,ቦታው ወይም ሰራተኛ መሆን አለበት
Item {0} is cancelled,እቃ {0} ተሰርዟል
Course End Date,የኮርስ መጨረሻ ቀን
Opportunity From field is mandatory,የመስክ እድል ከመስክ የግድ ነው
Warning: Leave application contains following block dates,ማስጠንቀቂያ: ትግበራ የሚከተሉትን እገዳዎች ያካትታል
Preventive Maintenance,የመከላከያ ጥገና
Institute Abbreviation,ተቋም የምህፃረ ቃል
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry",ይህ የክሬዲት ማረሚያ (Reconciliation) ክፍት መግቢያ እንደመሆኑ መጠን የብቸኝነት መለያው የሀብት / ኃላፊነት ዓይነት መለያ መሆን አለበት
Contract End Date must be greater than Date of Joining,የውል ማብቂያ ቀን ከተቀላቀለበት ቀን በላይ መሆን አለበት
Default Leave Policy,ነባሪ መመሪያ ይተው
Select Users,ተጠቃሚዎችን ይምረጡ
Net Hour Rate,Net Hour Rate
Age,ዕድሜ
Event Details,የክስተት ዝርዝሮች
Accumulated Monthly,የተጠራቀመው ወርሃዊ
Save the document first.,ሰነዱን መጀመሪያ ያስቀምጡ.
Update Cost,ዋጋ አዘምን
Fully Delivered,ሙሉ ለሙሉ ደርሷል
Please enter company first,እባክዎ መጀመሪያ ኩባንያ ይግቡ
Confirmed orders from Customers.,ከደንበኞች የተረጋገጡ ትዕዛዞች.
Dosage Strength,የመመገቢያ ኃይል
Fill the form and save it,ቅጹን ይሙሉ እና ያስቀምጡት
Enrollment Details,የመመዝገቢያ ዝርዝሮች
Subscription Invoice,የምዝገባ ደረሰኝ
Total Leaves Encashed,ጠቅላላ ቅጠሎች ተቀላቀሉ
Verified By,የተረጋገጠው በ
Get Invoices,ደረሰኞች ያግኙ
Settled,ተስተካክሏል
Re-open,ድጋሚ ክፈት
Closing Fiscal Year,የፋይናንስ ዓመት መዝጋት
Release Date,ይፋዊ ቀኑ
Advances,ማሻሻያዎች
Specify conditions to calculate shipping amount,የመላኪያውን መጠን ለማስላት ሁኔታዎችን ይግለጹ
Technology,ቴክኖሎጂ
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',የክፍያው ዓይነት «በቀድሞው ረድፍ» ወይም «የቀደመ ረድፍ ጠቅላላ» ከሆነ &lt;
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","ምልክት ከተደረገበት ጠቅላላ ድምር. የሥራ ቀናት ማኮላትን ያካትታል, ይህም የደመወዝ ክፍያ ዋጋን ይቀንሳል"
Location Name,የአካባቢ ስም
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: መለያ {2} የኩባንያውን አይደለም {3}
Remaining Benefits (Yearly),ቀሪ ጥቅሞች (ዓመታዊ)
Depreciation Start Date,የዋጋ ቅነሳ መጀመሪያ ቀን
Billing Rate,የክፍያ መጠን
Warning: Another {0} # {1} exists against stock entry {2},ማስጠንቀቂያ: ሌላ {0} # {1} በክምችት ማስገባት {2} ላይ ይኖራል
Please enable Google Maps Settings to estimate and optimize routes,መስመሮችን ለመገመት እና ለማመቻቸት እባክዎ የ Google ካርታዎች ቅንብሮችን ያንቁ
Max Score,ከፍተኛ ውጤት
Repayment Start Date cannot be before Disbursement Date.,የምላሽ መጀመሪያ ቀን ከክፍያ ቀን በፊት ሊሆን አይችልም.
Support Search Source,የፍለጋ ምንጭ ድጋፍ
Financial Services,የፋይናንስ አገልግሎቶች
Availability,መገኘቱ
Tree of Procedures,የአሠራር ዛፍ
Allow Item to be added multiple times in a transaction,በአንድ ግብይት ላይ ንጥል ብዙ ጊዜ እንዲጨምር ይፈቀድለት
{0} {1} is not submitted,{0} {1} አልገባም
Backflush raw materials from work-in-progress warehouse,ከሥራ-በሂደት ማከማቻ መጋዘን ውስጥ ጥሬ እቃዎችን መመለስ
Maintenance Team Member,የጥገና ቡድን አባል
The minimum distance between rows of plants for optimum growth,ምርጥ የዕድገት ደረጃዎች መካከል ባሉ አነስተኛ ደረጃዎች መካከል ያለው አነስተኛ ርቀት
Health Insurance Name,የጤና ኢንሹራንስ ስም
Stock Assets,የደምፍ እሴቶች
Further cost centers can be made under Groups but entries can be made against non-Groups,ተጨማሪ የዋጋ ማእከሎች በቡድኖች ውስጥ ሊደረጉ ይችላሉ ሆኖም ግን ቡድኖች ባልሆኑ ላይ እንዲገቡ ይደረጋል
Upper Income,ከፍተኛ ገቢ
Discount Allowed Account,ቅናሽ የተፈቀዱ መለያ
Restart Subscription,የደንበኝነት ምዝገባን ዳግም ያስጀምሩ
You can not change rate if BOM mentioned agianst any item,BOM ከተጠቀሰው ማንኛውም ንጥል ከሆነ ደረጃን መለወጥ አይችሉም
Please login as another user to register on Marketplace,እባክዎ በ Marketplace ላይ ለመመዝገብ እባክዎ ሌላ ተጠቃሚ ይግቡ
Insurance Details,የኢንሹራንስ ዝርዝሮች
Past Due Date,ያለፈ ጊዜ ያለፈበት ቀን
No GST No. found for the Company.,ለኩባንያው ምንም የ GST አይገኘም.
From Pin Code,ከፒን ኮድ
Signed On,የተፈረመበት
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: የሂሳብ መዝገብ ማስያዝ ለ {2} ሊደረጉ የሚችሉት በመገበያያ ገንዘብ ነው {3}
Assessment Criteria,የምዘና መስፈርት
Is Billable,ሊከፈል የሚችል ነው
User must always select,ተጠቃሚ ሁል ጊዜ መምረጥ አለበት
